Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5210209363,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,1. Column A lists all of your contest entries for this draftgroup
5210215408,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,2. Your current lineup is listed next to each entry (blank for reservations)
5210215409,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5210215410,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5210215411,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,5. For faster processing only include entries you are changing in the file you upload
5210215412,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,
5210215413,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5210215424,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Payton Tolle (43764439),Payton Tolle,43764439,P,8800,CWS@BOS 08/06/2026 07:10PM ET,BOS,17.85
5210215425,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,RP,AJ Smith-Shawver (43764440),AJ Smith-Shawver,43764440,P,8600,MIA@ATL 08/06/2026 07:15PM ET,ATL,10.15
5210215426,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Eury Perez (43764441),Eury Perez,43764441,P,8600,MIA@ATL 08/06/2026 07:15PM ET,MIA,17.08
,,,,,,,,,,,,,,,SP,Sandy Alcantara (43764442),Sandy Alcantara,43764442,P,8600,MIA@ATL 08/06/2026 07:15PM ET,MIA,16.58
,,,,,,,,,,,,,,,SP,Michael Wacha (43764248),Michael Wacha,43764248,P,8500,MIN@KC 08/06/2026 07:40PM ET,KC,15.74
,,,,,,,,,,,,,,,SP,Taj Bradley (43764443),Taj Bradley,43764443,P,8400,MIN@KC 08/06/2026 07:40PM ET,MIN,18.34
,,,,,,,,,,,,,,,SP,Corbin Burnes (43764445),Corbin Burnes,43764445,P,8300,SD@ARI 08/06/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Sean Burke (43764444),Sean Burke,43764444,P,8300,CWS@BOS 08/06/2026 07:10PM ET,CWS,18.54
,,,,,,,,,,,,,,,SP,Jake Bennett (43764446),Jake Bennett,43764446,P,8300,CWS@BOS 08/06/2026 07:10PM ET,BOS,16.51
,,,,,,,,,,,,,,,RP,Michael King (43764447),Michael King,43764447,P,8000,SD@ARI 08/06/2026 09:40PM ET,SD,15.05
,,,,,,,,,,,,,,,SP,Joe Musgrove (43764448),Joe Musgrove,43764448,P,8000,SD@ARI 08/06/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Robbie Ray (43764449),Robbie Ray,43764449,P,8000,SD@ARI 08/06/2026 09:40PM ET,SD,15.94
,,,,,,,,,,,,,,,SP,Bailey Ober (43764249),Bailey Ober,43764249,P,7900,MIN@KC 08/06/2026 07:40PM ET,MIN,12.71
,,,,,,,,,,,,,,,SP,Pablo Lopez (43764450),Pablo Lopez,43764450,P,7900,MIN@KC 08/06/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43764451),Mick Abel,43764451,P,7900,MIN@KC 08/06/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,RP,Martin Perez (43764250),Martin Perez,43764250,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,12.26
,,,,,,,,,,,,,,,RP,Owen Murphy (43764452),Owen Murphy,43764452,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,5.2
,,,,,,,,,,,,,,,SP,Bryce Elder (43764453),Bryce Elder,43764453,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,14.94
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43764454),Reynaldo Lopez,43764454,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Tyler Mahle (43764455),Tyler Mahle,43764455,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,11.92
,,,,,,,,,,,,,,,SP,JR Ritchie (43764456),JR Ritchie,43764456,P,7600,MIA@ATL 08/06/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,Randy Dobnak (43764457),Randy Dobnak,43764457,P,7500,MIN@KC 08/06/2026 07:40PM ET,KC,12.92
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43764458),Brandon Pfaadt,43764458,P,7400,SD@ARI 08/06/2026 09:40PM ET,ARI,8.76
,,,,,,,,,,,,,,,SP,Michael Soroka (43764459),Michael Soroka,43764459,P,7300,SD@ARI 08/06/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43764460),Eduardo Rodriguez,43764460,P,7300,SD@ARI 08/06/2026 09:40PM ET,ARI,15.10
,,,,,,,,,,,,,,,SP,Luis Castillo (43764251),Luis Castillo,43764251,P,7300,CWS@BOS 08/06/2026 07:10PM ET,CWS,10.49
,,,,,,,,,,,,,,,RP,David Sandlin (43764461),David Sandlin,43764461,P,7300,CWS@BOS 08/06/2026 07:10PM ET,CWS,12.62
,,,,,,,,,,,,,,,SP,Davis Martin (43764462),Davis Martin,43764462,P,7300,CWS@BOS 08/06/2026 07:10PM ET,CWS,14.20
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43764463),Jonathan Cannon,43764463,P,7300,CWS@BOS 08/06/2026 07:10PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Shane Smith (43764464),Shane Smith,43764464,P,7300,CWS@BOS 08/06/2026 07:10PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Walker Buehler (43764252),Walker Buehler,43764252,P,7000,SD@ARI 08/06/2026 09:40PM ET,SD,10.44
,,,,,,,,,,,,,,,SP,JP Sears (43764465),JP Sears,43764465,P,7000,SD@ARI 08/06/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,German Marquez (43764466),German Marquez,43764466,P,7000,SD@ARI 08/06/2026 09:40PM ET,SD,7.59
,,,,,,,,,,,,,,,SP,Lucas Giolito (43764467),Lucas Giolito,43764467,P,7000,SD@ARI 08/06/2026 09:40PM ET,SD,6.16
,,,,,,,,,,,,,,,SP,Connor Prielipp (43764468),Connor Prielipp,43764468,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,13.50
,,,,,,,,,,,,,,,RP,Jack Anderson (43764469),Jack Anderson,43764469,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Zebby Matthews (43764470),Zebby Matthews,43764470,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,12.63
,,,,,,,,,,,,,,,SP,Dean Kremer (43764471),Dean Kremer,43764471,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,11.23
,,,,,,,,,,,,,,,SP,David Festa (43764472),David Festa,43764472,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,RP,Kendry Rojas (43764473),Kendry Rojas,43764473,P,6900,MIN@KC 08/06/2026 07:40PM ET,MIN,7.43
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43764474),Patrick Sandoval,43764474,P,6800,CWS@BOS 08/06/2026 07:10PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Tanner Houck (43764475),Tanner Houck,43764475,P,6800,CWS@BOS 08/06/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43764476),Kutter Crawford,43764476,P,6800,CWS@BOS 08/06/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,RP,Eduardo Rivera (43764477),Eduardo Rivera,43764477,P,6800,CWS@BOS 08/06/2026 07:10PM ET,BOS,5.02
,,,,,,,,,,,,,,,RP,Janson Junk (43764253),Janson Junk,43764253,P,6600,MIA@ATL 08/06/2026 07:15PM ET,MIA,11.69
,,,,,,,,,,,,,,,SP,Robby Snelling (43764478),Robby Snelling,43764478,P,6600,MIA@ATL 08/06/2026 07:15PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Grant Holmes (43764479),Grant Holmes,43764479,P,6600,MIA@ATL 08/06/2026 07:15PM ET,ATL,12.64
,,,,,,,,,,,,,,,RP,Joey Wentz (43764480),Joey Wentz,43764480,P,6600,MIA@ATL 08/06/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43764481),Hurston Waldrep,43764481,P,6600,MIA@ATL 08/06/2026 07:15PM ET,ATL,2.33
,,,,,,,,,,,,,,,RP,Tyler Phillips (43764482),Tyler Phillips,43764482,P,6600,MIA@ATL 08/06/2026 07:15PM ET,MIA,7.16
,,,,,,,,,,,,,,,SP,Cole Ragans (43764483),Cole Ragans,43764483,P,6500,MIN@KC 08/06/2026 07:40PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Noah Cameron (43764484),Noah Cameron,43764484,P,6500,MIN@KC 08/06/2026 07:40PM ET,KC,14.44
,,,,,,,,,,,,,,,RP,Seth Lugo (43764485),Seth Lugo,43764485,P,6500,MIN@KC 08/06/2026 07:40PM ET,KC,11.59
,,,,,,,,,,,,,,,RP,Kohl Drake (43764254),Kohl Drake,43764254,P,6300,SD@ARI 08/06/2026 09:40PM ET,ARI,8.88
,,,,,,,,,,,,,,,SP,Ryne Nelson (43764486),Ryne Nelson,43764486,P,6300,SD@ARI 08/06/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Merrill Kelly (43764487),Merrill Kelly,43764487,P,6300,SD@ARI 08/06/2026 09:40PM ET,ARI,10.60
,,,,,,,,,,,,,,,RP,Jose Urquidy (43764488),Jose Urquidy,43764488,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,0.81
,,,,,,,,,,,,,,,RP,Trevor Richards (43764489),Trevor Richards,43764489,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,4.28
,,,,,,,,,,,,,,,SP,Erick Fedde (43764490),Erick Fedde,43764490,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,9.55
,,,,,,,,,,,,,,,RP,Mike Vasil (43764491),Mike Vasil,43764491,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Joe Rock (43764492),Joe Rock,43764492,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,6.21
,,,,,,,,,,,,,,,RP,Anthony Kay (43764493),Anthony Kay,43764493,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,11.22
,,,,,,,,,,,,,,,RP,Grant Taylor (43764494),Grant Taylor,43764494,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,5.61
,,,,,,,,,,,,,,,SP,Noah Schultz (43764495),Noah Schultz,43764495,P,6300,CWS@BOS 08/06/2026 07:10PM ET,CWS,9.43
,,,,,,,,,,,,,,,OF,Fernando Tatis Jr. (43764255),Fernando Tatis Jr.,43764255,OF,6000,SD@ARI 08/06/2026 09:40PM ET,SD,8.31
,,,,,,,,,,,,,,,SP,Griffin Canning (43764496),Griffin Canning,43764496,P,6000,SD@ARI 08/06/2026 09:40PM ET,SD,7.22
,,,,,,,,,,,,,,,SP,Randy Vasquez (43764497),Randy Vasquez,43764497,P,6000,SD@ARI 08/06/2026 09:40PM ET,SD,9.23
,,,,,,,,,,,,,,,RP,Jhony Brito (43764498),Jhony Brito,43764498,P,6000,SD@ARI 08/06/2026 09:40PM ET,SD,4.33
,,,,,,,,,,,,,,,SP,Kyle Hart (43764499),Kyle Hart,43764499,P,6000,SD@ARI 08/06/2026 09:40PM ET,SD,3.70
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43764500),Yoendrys Gomez,43764500,P,5900,MIN@KC 08/06/2026 07:40PM ET,MIN,2.88
,,,,,,,,,,,,,,,RP,Marco Raya (43764501),Marco Raya,43764501,P,5900,MIN@KC 08/06/2026 07:40PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43764502),Mike Paredes,43764502,P,5900,MIN@KC 08/06/2026 07:40PM ET,MIN,5.34
,,,,,,,,,,,,,,,SP,Brayan Bello (43764503),Brayan Bello,43764503,P,5800,CWS@BOS 08/06/2026 07:10PM ET,BOS,9.20
,,,,,,,,,,,,,,,SP,Johan Oviedo (43764504),Johan Oviedo,43764504,P,5800,CWS@BOS 08/06/2026 07:10PM ET,BOS,1.45
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43764256),Bobby Witt Jr.,43764256,SS,5800,MIN@KC 08/06/2026 07:40PM ET,KC,9.21
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43764257),Ronald Acuna Jr.,43764257,OF,5700,MIA@ATL 08/06/2026 07:15PM ET,ATL,8.64
,,,,,,,,,,,,,,,RP,Victor Mederos (43764505),Victor Mederos,43764505,P,5600,MIA@ATL 08/06/2026 07:15PM ET,ATL,3.66
,,,,,,,,,,,,,,,RP,Didier Fuentes (43764506),Didier Fuentes,43764506,P,5600,MIA@ATL 08/06/2026 07:15PM ET,ATL,4.81
,,,,,,,,,,,,,,,RP,Dax Fulton (43764507),Dax Fulton,43764507,P,5600,MIA@ATL 08/06/2026 07:15PM ET,MIA,5.02
,,,,,,,,,,,,,,,SP,Adam Mazur (43764508),Adam Mazur,43764508,P,5600,MIA@ATL 08/06/2026 07:15PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Ryan Gusto (43764509),Ryan Gusto,43764509,P,5600,MIA@ATL 08/06/2026 07:15PM ET,MIA,6.68
,,,,,,,,,,,,,,,SP,Bradley Blalock (43764510),Bradley Blalock,43764510,P,5600,MIA@ATL 08/06/2026 07:15PM ET,MIA,0
,,,,,,,,,,,,,,,1B,Munetaka Murakami (43764258),Munetaka Murakami,43764258,1B,5600,CWS@BOS 08/06/2026 07:10PM ET,CWS,9.41
,,,,,,,,,,,,,,,C,Ryan Jeffers (43764259),Ryan Jeffers,43764259,C,5500,MIN@KC 08/06/2026 07:40PM ET,MIN,8.40
,,,,,,,,,,,,,,,RP,Connor Thomas (43764511),Connor Thomas,43764511,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,-10.18
,,,,,,,,,,,,,,,RP,Stephen Kolek (43764512),Stephen Kolek,43764512,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,11.51
,,,,,,,,,,,,,,,RP,Ryan Bergert (43764513),Ryan Bergert,43764513,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,SP,Alec Marsh (43764514),Alec Marsh,43764514,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,SP,Ben Kudrna (43764515),Ben Kudrna,43764515,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (43764516),Daniel Lynch IV,43764516,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,3.10
,,,,,,,,,,,,,,,RP,Luinder Avila (43764517),Luinder Avila,43764517,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,6.98
,,,,,,,,,,,,,,,RP,Mitch Spence (43764518),Mitch Spence,43764518,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,-9.27
,,,,,,,,,,,,,,,RP,Mason Black (43764519),Mason Black,43764519,P,5500,MIN@KC 08/06/2026 07:40PM ET,KC,3.10
,,,,,,,,,,,,,,,OF,Corbin Carroll (43764260),Corbin Carroll,43764260,OF,5400,SD@ARI 08/06/2026 09:40PM ET,ARI,8.74
,,,,,,,,,,,,,,,SP,Dylan Ray (43764520),Dylan Ray,43764520,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Gerardo Carrillo (43764521),Gerardo Carrillo,43764521,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,8.05
,,,,,,,,,,,,,,,SP,Cristian Mena (43764522),Cristian Mena,43764522,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Mitch Bratt (43764523),Mitch Bratt,43764523,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,9.74
,,,,,,,,,,,,,,,SP,Zac Gallen (43764524),Zac Gallen,43764524,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,6.44
,,,,,,,,,,,,,,,SP,Jose Cabrera (43764525),Jose Cabrera,43764525,P,5300,SD@ARI 08/06/2026 09:40PM ET,ARI,6.09
,,,,,,,,,,,,,,,1B,Willson Contreras (43764261),Willson Contreras,43764261,1B,5300,CWS@BOS 08/06/2026 07:10PM ET,BOS,8.79
,,,,,,,,,,,,,,,3B,Manny Machado (43764262),Manny Machado,43764262,3B,5200,SD@ARI 08/06/2026 09:40PM ET,SD,7.44
,,,,,,,,,,,,,,,OF,Byron Buxton (43764370),Byron Buxton,43764370,OF,5200,MIN@KC 08/06/2026 07:40PM ET,MIN,9.39
,,,,,,,,,,,,,,,3B,Miguel Vargas (43764263),Miguel Vargas,43764263,3B,5100,CWS@BOS 08/06/2026 07:10PM ET,CWS,8.88
,,,,,,,,,,,,,,,1B,Matt Olson (43764264),Matt Olson,43764264,1B,5000,MIA@ATL 08/06/2026 07:15PM ET,ATL,9.10
,,,,,,,,,,,,,,,2B,Ketel Marte (43764265),Ketel Marte,43764265,2B,4900,SD@ARI 08/06/2026 09:40PM ET,ARI,7.88
,,,,,,,,,,,,,,,OF,Wilyer Abreu (43764268),Wilyer Abreu,43764268,OF,4800,CWS@BOS 08/06/2026 07:10PM ET,BOS,8.05
,,,,,,,,,,,,,,,2B/OF,Kody Clemens (43764266),Kody Clemens,43764266,2B/OF,4800,MIN@KC 08/06/2026 07:40PM ET,MIN,7.56
,,,,,,,,,,,,,,,OF,Jackson Merrill (43764270),Jackson Merrill,43764270,OF,4700,SD@ARI 08/06/2026 09:40PM ET,SD,7.67
,,,,,,,,,,,,,,,C,Drake Baldwin (43764269),Drake Baldwin,43764269,C,4700,MIA@ATL 08/06/2026 07:15PM ET,ATL,8.72
,,,,,,,,,,,,,,,SS,Colson Montgomery (43764272),Colson Montgomery,43764272,SS,4600,CWS@BOS 08/06/2026 07:10PM ET,CWS,7.46
,,,,,,,,,,,,,,,C,Carter Jensen (43764271),Carter Jensen,43764271,C,4600,MIN@KC 08/06/2026 07:40PM ET,KC,6.64
