Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232127817,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,1. Column A lists all of your contest entries for this draftgroup
5232127818,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,2. Your current lineup is listed next to each entry (blank for reservations)
5232127819,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232127820,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232127821,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,5. For faster processing only include entries you are changing in the file you upload
5232127822,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,
5232127823,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5232127834,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,RP,Andrew Alvarez (43947449),Andrew Alvarez,43947449,P,7300,COL@WSH 08/27/2026 01:05PM ET,WSH,10.94
5232127835,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Jackson Kent (43947450),Jackson Kent,43947450,P,7300,COL@WSH 08/27/2026 01:05PM ET,WSH,6.05
5232127836,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Cade Povich (43947451),Cade Povich,43947451,P,6800,BAL@STL 08/27/2026 02:15PM ET,BAL,10.19
5232127837,MLB $1K Base Hit [Single Entry] (Early),194501885,$12,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Quinn Mathews (43947350),Quinn Mathews,43947350,P,6700,BAL@STL 08/27/2026 02:15PM ET,STL,7.5
5232127520,MLB $3K Chin Music [Single Entry] (Early),194501886,$5,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,RP,Matthew Liberatore (43947452),Matthew Liberatore,43947452,P,6700,BAL@STL 08/27/2026 02:15PM ET,STL,11.61
,,,,,,,,,,,,,,,SP,Michael McGreevy (43947453),Michael McGreevy,43947453,P,6700,BAL@STL 08/27/2026 02:15PM ET,STL,11.80
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43947454),Hunter Dobbins,43947454,P,6700,BAL@STL 08/27/2026 02:15PM ET,STL,13.5
,,,,,,,,,,,,,,,SP,Richard Fitts (43947455),Richard Fitts,43947455,P,6700,BAL@STL 08/27/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,SS,CJ Abrams (43947352),CJ Abrams,43947352,SS,6500,COL@WSH 08/27/2026 01:05PM ET,WSH,9.85
,,,,,,,,,,,,,,,SP,Gabriel Hughes (43947351),Gabriel Hughes,43947351,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,7.56
,,,,,,,,,,,,,,,OF,James Wood (43947414),James Wood,43947414,OF,6000,COL@WSH 08/27/2026 01:05PM ET,WSH,10.82
,,,,,,,,,,,,,,,SP,Chase Dollander (43947456),Chase Dollander,43947456,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,13.1
,,,,,,,,,,,,,,,SP,Mason Adams (43947457),Mason Adams,43947457,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,13.4
,,,,,,,,,,,,,,,SP,Pierson Ohl (43947458),Pierson Ohl,43947458,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,0
,,,,,,,,,,,,,,,RP,Zach Agnos (43947459),Zach Agnos,43947459,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,3.19
,,,,,,,,,,,,,,,SP,Sean Sullivan (43947460),Sean Sullivan,43947460,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,1.89
,,,,,,,,,,,,,,,RP,Tanner Gordon (43947461),Tanner Gordon,43947461,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,8.27
,,,,,,,,,,,,,,,SP,Kyle Freeland (43947462),Kyle Freeland,43947462,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,9.00
,,,,,,,,,,,,,,,SP,Michael Lorenzen (43947463),Michael Lorenzen,43947463,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,4.48
,,,,,,,,,,,,,,,RP,Jose Quintana (43947464),Jose Quintana,43947464,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,6.05
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (43947465),Tomoyuki Sugano,43947465,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,9.91
,,,,,,,,,,,,,,,SP,Ryan Feltner (43947466),Ryan Feltner,43947466,P,6000,COL@WSH 08/27/2026 01:05PM ET,COL,7.86
,,,,,,,,,,,,,,,OF,Jordan Walker (43947353),Jordan Walker,43947353,OF,5800,BAL@STL 08/27/2026 02:15PM ET,STL,9.43
,,,,,,,,,,,,,,,RP,Keegan Akin (43947467),Keegan Akin,43947467,P,5800,BAL@STL 08/27/2026 02:15PM ET,BAL,1.53
,,,,,,,,,,,,,,,SP,Chris Bassitt (43947468),Chris Bassitt,43947468,P,5800,BAL@STL 08/27/2026 02:15PM ET,BAL,9.07
,,,,,,,,,,,,,,,SP,Trey Gibson (43947469),Trey Gibson,43947469,P,5800,BAL@STL 08/27/2026 02:15PM ET,BAL,5.73
,,,,,,,,,,,,,,,SP,Tekoah Roby (43947470),Tekoah Roby,43947470,P,5700,BAL@STL 08/27/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,SP,Brycen Mautz (43947471),Brycen Mautz,43947471,P,5700,BAL@STL 08/27/2026 02:15PM ET,STL,3.15
,,,,,,,,,,,,,,,RP,Cooper Hjerpe (43947472),Cooper Hjerpe,43947472,P,5700,BAL@STL 08/27/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,1B,Pete Alonso (43947354),Pete Alonso,43947354,1B,5500,BAL@STL 08/27/2026 02:15PM ET,BAL,9.03
,,,,,,,,,,,,,,,SP,Luis Perales (43947473),Luis Perales,43947473,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,-1.7
,,,,,,,,,,,,,,,SP,Josiah Gray (43947474),Josiah Gray,43947474,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,0
,,,,,,,,,,,,,,,SP,DJ Herz (43947475),DJ Herz,43947475,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Miles Mikolas (43947476),Miles Mikolas,43947476,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,5.63
,,,,,,,,,,,,,,,SP,Mitchell Parker (43947477),Mitchell Parker,43947477,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,3.42
,,,,,,,,,,,,,,,RP,Matt Waldron (43947478),Matt Waldron,43947478,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,3.65
,,,,,,,,,,,,,,,RP,Max Kranick (43947479),Max Kranick,43947479,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,1.01
,,,,,,,,,,,,,,,RP,Brad Lord (43947480),Brad Lord,43947480,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,5.73
,,,,,,,,,,,,,,,RP,Paxton Schultz (43947481),Paxton Schultz,43947481,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,2.29
,,,,,,,,,,,,,,,RP,Eddy Yean (43947482),Eddy Yean,43947482,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,3.67
,,,,,,,,,,,,,,,RP,Zak Kent (43947483),Zak Kent,43947483,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,1.92
,,,,,,,,,,,,,,,RP,Will Dion (43947484),Will Dion,43947484,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,6.18
,,,,,,,,,,,,,,,RP,Carson Palmquist (43947485),Carson Palmquist,43947485,P,5300,COL@WSH 08/27/2026 01:05PM ET,WSH,1.78
,,,,,,,,,,,,,,,1B,Alec Burleson (43947355),Alec Burleson,43947355,1B,5300,BAL@STL 08/27/2026 02:15PM ET,STL,8.49
,,,,,,,,,,,,,,,C,Hunter Goodman (43947356),Hunter Goodman,43947356,C,5100,COL@WSH 08/27/2026 01:05PM ET,COL,8.93
,,,,,,,,,,,,,,,SS,Gunnar Henderson (43947357),Gunnar Henderson,43947357,SS,5000,BAL@STL 08/27/2026 02:15PM ET,BAL,7.5
,,,,,,,,,,,,,,,OF,Jake McCarthy (43947358),Jake McCarthy,43947358,OF,4800,COL@WSH 08/27/2026 01:05PM ET,COL,8.5
,,,,,,,,,,,,,,,2B/SS,JJ Wetherholt (43947359),JJ Wetherholt,43947359,2B/SS,4700,BAL@STL 08/27/2026 02:15PM ET,STL,7.91
,,,,,,,,,,,,,,,3B,Christian Encarnacion-Strand (43947361),Christian Encarnacion-Strand,43947361,3B,4600,BAL@STL 08/27/2026 02:15PM ET,BAL,7.68
,,,,,,,,,,,,,,,OF/SS,Cole Carrigg (43947362),Cole Carrigg,43947362,SS/OF,4500,COL@WSH 08/27/2026 01:05PM ET,COL,7.95
,,,,,,,,,,,,,,,OF,Mickey Moniak (43947364),Mickey Moniak,43947364,OF,4400,COL@WSH 08/27/2026 01:05PM ET,COL,7.52
,,,,,,,,,,,,,,,OF,Daylen Lile (43947365),Daylen Lile,43947365,OF,4300,COL@WSH 08/27/2026 01:05PM ET,WSH,7.44
,,,,,,,,,,,,,,,3B,Jordan Westburg (43947415),Jordan Westburg,43947415,3B,4300,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,OF,Dylan Crews (43947366),Dylan Crews,43947366,OF,4200,COL@WSH 08/27/2026 01:05PM ET,WSH,6.54
,,,,,,,,,,,,,,,C,Ivan Herrera (43947367),Ivan Herrera,43947367,C,4100,BAL@STL 08/27/2026 02:15PM ET,STL,7.56
,,,,,,,,,,,,,,,RP,Blake Adams (43947487),Blake Adams,43947487,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,-11.95
,,,,,,,,,,,,,,,RP,Eiberson Castellano (43947488),Eiberson Castellano,43947488,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,7.75
,,,,,,,,,,,,,,,RP,RJ Petit (43947489),RJ Petit,43947489,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,0
,,,,,,,,,,,,,,,RP,Blas Castano (43947490),Blas Castano,43947490,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,4.85
,,,,,,,,,,,,,,,SP,McCade Brown (43947491),McCade Brown,43947491,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,0
,,,,,,,,,,,,,,,RP,Brennan Bernardino (43947496),Brennan Bernardino,43947496,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.29
,,,,,,,,,,,,,,,RP,Orlando Ribalta (43947498),Orlando Ribalta,43947498,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.35
,,,,,,,,,,,,,,,RP,Wyatt Mills (43947500),Wyatt Mills,43947500,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.11
,,,,,,,,,,,,,,,SP,Ken Waldichuk (43947503),Ken Waldichuk,43947503,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.8
,,,,,,,,,,,,,,,RP,PJ Poulin (43947504),PJ Poulin,43947504,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.72
,,,,,,,,,,,,,,,RP,Gus Varland (43947507),Gus Varland,43947507,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.59
,,,,,,,,,,,,,,,RP,Erik Tolman (43947511),Erik Tolman,43947511,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.65
,,,,,,,,,,,,,,,RP,Richard Lovelady (43947512),Richard Lovelady,43947512,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.10
,,,,,,,,,,,,,,,RP,Jeff Criswell (43947513),Jeff Criswell,43947513,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.27
,,,,,,,,,,,,,,,RP,Jake Bird (43947514),Jake Bird,43947514,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.07
,,,,,,,,,,,,,,,RP,Clayton Beeter (43947517),Clayton Beeter,43947517,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,2.86
,,,,,,,,,,,,,,,RP,Jaden Hill (43947520),Jaden Hill,43947520,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.02
,,,,,,,,,,,,,,,RP,Tom Cosgrove (43947521),Tom Cosgrove,43947521,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.64
,,,,,,,,,,,,,,,RP,Juan Mejia (43947524),Juan Mejia,43947524,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.18
,,,,,,,,,,,,,,,RP,Kyle Nicolas (43947528),Kyle Nicolas,43947528,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.13
,,,,,,,,,,,,,,,RP,TJ Shook (43947529),TJ Shook,43947529,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,1.77
,,,,,,,,,,,,,,,RP,Mark Manfredi (43947530),Mark Manfredi,43947530,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,5.2
,,,,,,,,,,,,,,,RP,Riley Cornelio (43947532),Riley Cornelio,43947532,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,4.26
,,,,,,,,,,,,,,,RP,Nick Frasso (43947533),Nick Frasso,43947533,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.8
,,,,,,,,,,,,,,,RP,Welinton Herrera (43947535),Welinton Herrera,43947535,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.48
,,,,,,,,,,,,,,,RP,Jordan Romano (43947536),Jordan Romano,43947536,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,2.16
,,,,,,,,,,,,,,,RP,Cole Henry (43947539),Cole Henry,43947539,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.87
,,,,,,,,,,,,,,,RP,Jimmy Herget (43947541),Jimmy Herget,43947541,P,4000,COL@WSH 08/27/2026 01:05PM ET,COL,1.76
,,,,,,,,,,,,,,,RP,Yovanny Cruz (43947542),Yovanny Cruz,43947542,P,4000,COL@WSH 08/27/2026 01:05PM ET,WSH,1.76
,,,,,,,,,,,,,,,OF,Joshua Baez (43947368),Joshua Baez,43947368,OF,4000,BAL@STL 08/27/2026 02:15PM ET,STL,7.67
,,,,,,,,,,,,,,,RP,Cameron Weston (43947486),Cameron Weston,43947486,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,3.65
,,,,,,,,,,,,,,,RP,Nick Raquet (43947492),Nick Raquet,43947492,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,0.16
,,,,,,,,,,,,,,,RP,Yennier Cano (43947493),Yennier Cano,43947493,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.14
,,,,,,,,,,,,,,,RP,Alex Hoppe (43947494),Alex Hoppe,43947494,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.95
,,,,,,,,,,,,,,,RP,Andrew Kittredge (43947495),Andrew Kittredge,43947495,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.21
,,,,,,,,,,,,,,,RP,Ryan Helsley (43947497),Ryan Helsley,43947497,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.9
,,,,,,,,,,,,,,,RP,Matt Svanson (43947499),Matt Svanson,43947499,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,1.72
,,,,,,,,,,,,,,,RP,Gordon Graceffo (43947501),Gordon Graceffo,43947501,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,3.06
,,,,,,,,,,,,,,,RP,Caleb Ferguson (43947502),Caleb Ferguson,43947502,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.18
,,,,,,,,,,,,,,,RP,Yaramil Hiraldo (43947505),Yaramil Hiraldo,43947505,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,4.12
,,,,,,,,,,,,,,,RP,Cameron Foster (43947506),Cameron Foster,43947506,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,0.88
,,,,,,,,,,,,,,,RP,Josh Walker (43947508),Josh Walker,43947508,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,3.05
,,,,,,,,,,,,,,,RP,Colin Selby (43947509),Colin Selby,43947509,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,RP,Ryne Stanek (43947510),Ryne Stanek,43947510,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.31
,,,,,,,,,,,,,,,RP,Ryan Fernandez (43947515),Ryan Fernandez,43947515,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,4.55
,,,,,,,,,,,,,,,RP,Max Rajcic (43947516),Max Rajcic,43947516,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,3.18
,,,,,,,,,,,,,,,RP,Felix Bautista (43947518),Felix Bautista,43947518,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,SP,Riley O'Brien (43947519),Riley O'Brien,43947519,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.64
,,,,,,,,,,,,,,,RP,Rico Garcia (43947522),Rico Garcia,43947522,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,3.15
