Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5214518969,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,1. Column A lists all of your contest entries for this draftgroup
5214528338,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,2. Your current lineup is listed next to each entry (blank for reservations)
5214528339,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5214528340,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5214528341,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,5. For faster processing only include entries you are changing in the file you upload
5214528342,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,
5214528343,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Kyle Harrison (43799252),Kyle Harrison,43799252,P,9200,MIL@SD 08/10/2026 09:40PM ET,MIL,19.11
,,,,,,,,,,,,,,,SP,Hunter Brown (43799188),Hunter Brown,43799188,P,9100,HOU@SF 08/10/2026 09:45PM ET,HOU,16.16
,,,,,,,,,,,,,,,SP,Nick Pivetta (43798918),Nick Pivetta,43798918,P,9000,MIL@SD 08/10/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,,,,,SP,Casey Mize (43799135),Casey Mize,43799135,P,9000,MIL@SD 08/10/2026 09:40PM ET,SD,15.48
,,,,,,,,,,,,,,,SP,Shane McClanahan (43798989),Shane McClanahan,43798989,P,8700,TB@ATH 08/10/2026 09:40PM ET,TB,15.19
,,,,,,,,,,,,,,,SP,Reid Detmers (43799104),Reid Detmers,43799104,P,8700,TEX@LAA 08/10/2026 09:38PM ET,LAA,17.13
,,,,,,,,,,,,,,,RP,Jacob Latz (43798946),Jacob Latz,43798946,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,4.76
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43799076),MacKenzie Gore,43799076,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,15.16
,,,,,,,,,,,,,,,RP,Cody Bradford (43799127),Cody Bradford,43799127,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,15.55
,,,,,,,,,,,,,,,SP,Michael Wacha (43798885),Michael Wacha,43798885,P,8400,KC@LAD 08/10/2026 10:10PM ET,KC,15.45
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43798854),Eduardo Rodriguez,43798854,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,15.70
,,,,,,,,,,,,,,,SP,Corbin Burnes (43798977),Corbin Burnes,43798977,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Michael Soroka (43798981),Michael Soroka,43798981,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,SP,Kris Bubic (43799073),Kris Bubic,43799073,P,8200,KC@LAD 08/10/2026 10:10PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43799172),Justin Wrobleski,43799172,P,8200,KC@LAD 08/10/2026 10:10PM ET,LAD,16.40
,,,,,,,,,,,,,,,RP,Shane Drohan (43799101),Shane Drohan,43799101,P,8200,MIL@SD 08/10/2026 09:40PM ET,MIL,11.65
,,,,,,,,,,,,,,,SP,Brandon Sproat (43799208),Brandon Sproat,43799208,P,8200,MIL@SD 08/10/2026 09:40PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Peter Lambert (43798982),Peter Lambert,43798982,P,8100,HOU@SF 08/10/2026 09:45PM ET,HOU,17.42
,,,,,,,,,,,,,,,SP,Robbie Ray (43798856),Robbie Ray,43798856,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,15.25
,,,,,,,,,,,,,,,SP,Joe Musgrove (43798872),Joe Musgrove,43798872,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,RP,Michael King (43798979),Michael King,43798979,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,15.47
,,,,,,,,,,,,,,,SP,Logan Webb (43798943),Logan Webb,43798943,P,8000,HOU@SF 08/10/2026 09:45PM ET,SF,16.08
,,,,,,,,,,,,,,,RP,Nick Martinez (43798881),Nick Martinez,43798881,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,14.42
,,,,,,,,,,,,,,,RP,Griffin Jax (43798925),Griffin Jax,43798925,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,9.95
,,,,,,,,,,,,,,,RP,Joe Boyle (43799119),Joe Boyle,43799119,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,13.02
,,,,,,,,,,,,,,,SP,Yusei Kikuchi (43798848),Yusei Kikuchi,43798848,P,7700,TEX@LAA 08/10/2026 09:38PM ET,LAA,9.39
,,,,,,,,,,,,,,,RP,Walbert Urena (43799339),Walbert Urena,43799339,P,7700,TEX@LAA 08/10/2026 09:38PM ET,LAA,14.44
,,,,,,,,,,,,,,,SP,Dustin May (43799024),Dustin May,43799024,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Chad Patrick (43799283),Chad Patrick,43799283,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,6.2
,,,,,,,,,,,,,,,SP,Robert Gasser (43799303),Robert Gasser,43799303,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,12.56
,,,,,,,,,,,,,,,RP,J.T. Ginn (43799141),J.T. Ginn,43799141,P,7500,TB@ATH 08/10/2026 09:40PM ET,ATH,13.91
,,,,,,,,,,,,,,,RP,Randy Dobnak (43799118),Randy Dobnak,43799118,P,7400,KC@LAD 08/10/2026 10:10PM ET,KC,11.74
,,,,,,,,,,,,,,,SP,Merrill Kelly (43798867),Merrill Kelly,43798867,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,10.81
,,,,,,,,,,,,,,,SP,Ryne Nelson (43799132),Ryne Nelson,43799132,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43799232),Brandon Pfaadt,43799232,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,9.17
,,,,,,,,,,,,,,,SP,Mitch Bratt (43799285),Mitch Bratt,43799285,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,9.74
,,,,,,,,,,,,,,,RP,Kohl Drake (43799369),Kohl Drake,43799369,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,6.52
,,,,,,,,,,,,,,,SP,Roki Sasaki (43799249),Roki Sasaki,43799249,P,7200,KC@LAD 08/10/2026 10:10PM ET,LAD,13.94
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43799312),Emmet Sheehan,43799312,P,7200,KC@LAD 08/10/2026 10:10PM ET,LAD,12.80
,,,,,,,,,,,,,,,SP,Cristian Javier (43798984),Cristian Javier,43798984,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,4.46
,,,,,,,,,,,,,,,SP,Hayden Wesneski (43799041),Hayden Wesneski,43799041,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,15.32
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43799053),Tatsuya Imai,43799053,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,11.52
,,,,,,,,,,,,,,,RP,Jason Alexander (43799115),Jason Alexander,43799115,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,4.31
,,,,,,,,,,,,,,,SP,Mike Burrows (43799156),Mike Burrows,43799156,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,9.02
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43799179),Kai-Wei Teng,43799179,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,7.20
,,,,,,,,,,,,,,,SP,Brandon Walter (43799226),Brandon Walter,43799226,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Lucas Giolito (43798889),Lucas Giolito,43798889,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,6.16
,,,,,,,,,,,,,,,SP,Walker Buehler (43798894),Walker Buehler,43798894,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,10.37
,,,,,,,,,,,,,,,SP,JP Sears (43799093),JP Sears,43799093,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,RP,Landen Roupp (43799244),Landen Roupp,43799244,P,7000,HOU@SF 08/10/2026 09:45PM ET,SF,14.69
,,,,,,,,,,,,,,,RP,Seth Lugo (43798882),Seth Lugo,43798882,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,11.85
,,,,,,,,,,,,,,,SP,Cole Ragans (43799018),Cole Ragans,43799018,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Noah Cameron (43799313),Noah Cameron,43799313,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,14.41
,,,,,,,,,,,,,,,SP,Steven Matz (43798837),Steven Matz,43798837,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,6.16
,,,,,,,,,,,,,,,SP,Freddy Peralta (43798910),Freddy Peralta,43798910,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,11.77
,,,,,,,,,,,,,,,RP,Jesse Scholtens (43799028),Jesse Scholtens,43799028,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,11.42
,,,,,,,,,,,,,,,SP,Tyler Wells (43799033),Tyler Wells,43799033,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,4.16
,,,,,,,,,,,,,,,RP,Mason Englert (43799149),Mason Englert,43799149,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,5.55
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43799189),Ryan Pepiot,43799189,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Ian Seymour (43799245),Ian Seymour,43799245,P,6700,TB@ATH 08/10/2026 09:40PM ET,TB,8.04
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (43799138),Grayson Rodriguez,43799138,P,6700,TEX@LAA 08/10/2026 09:38PM ET,LAA,7.61
,,,,,,,,,,,,,,,RP,Mitch Farris (43799402),Mitch Farris,43799402,P,6700,TEX@LAA 08/10/2026 09:38PM ET,LAA,4.64
,,,,,,,,,,,,,,,OF,Yordan Alvarez (43799051),Yordan Alvarez,43799051,OF,6600,HOU@SF 08/10/2026 09:45PM ET,HOU,10.38
,,,,,,,,,,,,,,,SP,Ryan Feltner (43798988),Ryan Feltner,43798988,P,6500,COL@ARI 08/10/2026 09:40PM ET,COL,8.38
,,,,,,,,,,,,,,,SP,Gabriel Hughes (43799346),Gabriel Hughes,43799346,P,6500,COL@ARI 08/10/2026 09:40PM ET,COL,12.19
,,,,,,,,,,,,,,,RP,Zach Agnos (43799368),Zach Agnos,43799368,P,6500,COL@ARI 08/10/2026 09:40PM ET,COL,2.85
,,,,,,,,,,,,,,,SP,Chase Dollander (43799385),Chase Dollander,43799385,P,6500,COL@ARI 08/10/2026 09:40PM ET,COL,13.1
,,,,,,,,,,,,,,,SP,Luis Severino (43798887),Luis Severino,43798887,P,6500,TB@ATH 08/10/2026 09:40PM ET,ATH,13.72
,,,,,,,,,,,,,,,RP,Jack Perkins (43799171),Jack Perkins,43799171,P,6500,TB@ATH 08/10/2026 09:40PM ET,ATH,6.18
,,,,,,,,,,,,,,,SP,Gage Jump (43799289),Gage Jump,43799289,P,6500,TB@ATH 08/10/2026 09:40PM ET,ATH,15.29
,,,,,,,,,,,,,,,RP,Mason Barnett (43799359),Mason Barnett,43799359,P,6500,TB@ATH 08/10/2026 09:40PM ET,ATH,5.07
,,,,,,,,,,,,,,,SP,Luis Morales (43799397),Luis Morales,43799397,P,6500,TB@ATH 08/10/2026 09:40PM ET,ATH,-2.24
,,,,,,,,,,,,,,,1B/OF,Shohei Ohtani (43798906),Shohei Ohtani,43798906,1B/OF,6500,KC@LAD 08/10/2026 10:10PM ET,LAD,9.51
,,,,,,,,,,,,,,,RP,Cal Quantrill (43798924),Cal Quantrill,43798924,P,6500,TEX@LAA 08/10/2026 09:38PM ET,TEX,6.16
,,,,,,,,,,,,,,,SP,Kumar Rocker (43799174),Kumar Rocker,43799174,P,6500,TEX@LAA 08/10/2026 09:38PM ET,TEX,12.19
,,,,,,,,,,,,,,,SP,Jack Leiter (43799224),Jack Leiter,43799224,P,6500,TEX@LAA 08/10/2026 09:38PM ET,TEX,12.71
,,,,,,,,,,,,,,,3B,Junior Caminero (43799330),Junior Caminero,43799330,3B,6400,TB@ATH 08/10/2026 09:40PM ET,TB,9.10
,,,,,,,,,,,,,,,SP,Zac Gallen (43798965),Zac Gallen,43798965,P,6200,COL@ARI 08/10/2026 09:40PM ET,ARI,6.44
,,,,,,,,,,,,,,,RP,Gerardo Carrillo (43799066),Gerardo Carrillo,43799066,P,6200,COL@ARI 08/10/2026 09:40PM ET,ARI,7.47
,,,,,,,,,,,,,,,SP,Cristian Mena (43799269),Cristian Mena,43799269,P,6200,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Jose Cabrera (43799342),Jose Cabrera,43799342,P,6200,COL@ARI 08/10/2026 09:40PM ET,ARI,6.09
,,,,,,,,,,,,,,,SP,Dylan Ray (43799361),Dylan Ray,43799361,P,6200,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43798886),Antonio Senzatela,43798886,P,6200,MIL@SD 08/10/2026 09:40PM ET,MIL,4.46
,,,,,,,,,,,,,,,RP,DL Hall (43799077),DL Hall,43799077,P,6200,MIL@SD 08/10/2026 09:40PM ET,MIL,3.66
,,,,,,,,,,,,,,,SP,Quinn Priester (43799199),Quinn Priester,43799199,P,6200,MIL@SD 08/10/2026 09:40PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Coleman Crow (43799227),Coleman Crow,43799227,P,6200,MIL@SD 08/10/2026 09:40PM ET,MIL,4.64
,,,,,,,,,,,,,,,SP,Colton Gordon (43799314),Colton Gordon,43799314,P,6200,MIL@SD 08/10/2026 09:40PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Ronel Blanco (43799044),Ronel Blanco,43799044,P,6100,HOU@SF 08/10/2026 09:45PM ET,HOU,7.82
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43799366),AJ Blubaugh,43799366,P,6100,HOU@SF 08/10/2026 09:45PM ET,HOU,4.87
,,,,,,,,,,,,,,,SP,Griffin Canning (43798957),Griffin Canning,43798957,P,6000,MIL@SD 08/10/2026 09:40PM ET,SD,7.22
,,,,,,,,,,,,,,,RP,Jhony Brito (43799011),Jhony Brito,43799011,P,6000,MIL@SD 08/10/2026 09:40PM ET,SD,4.33
,,,,,,,,,,,,,,,SP,Kyle Hart (43799034),Kyle Hart,43799034,P,6000,MIL@SD 08/10/2026 09:40PM ET,SD,3.72
,,,,,,,,,,,,,,,SP,Randy Vasquez (43799181),Randy Vasquez,43799181,P,6000,MIL@SD 08/10/2026 09:40PM ET,SD,9.35
,,,,,,,,,,,,,,,RP,Trevor McDonald (43799215),Trevor McDonald,43799215,P,6000,HOU@SF 08/10/2026 09:45PM ET,SF,10.13
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (43799348),Carson Whisenhunt,43799348,P,6000,HOU@SF 08/10/2026 09:45PM ET,SF,7.53
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (43799075),Daniel Lynch IV,43799075,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,3.00
,,,,,,,,,,,,,,,RP,Connor Thomas (43799121),Connor Thomas,43799121,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,-10.18
,,,,,,,,,,,,,,,RP,Stephen Kolek (43799158),Stephen Kolek,43799158,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,11.51
,,,,,,,,,,,,,,,RP,Luinder Avila (43799163),Luinder Avila,43799163,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,6.98
,,,,,,,,,,,,,,,SP,Alec Marsh (43799193),Alec Marsh,43799193,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Mitch Spence (43799212),Mitch Spence,43799212,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,-9.27
,,,,,,,,,,,,,,,RP,Mason Black (43799235),Mason Black,43799235,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,3.45
,,,,,,,,,,,,,,,SP,Ben Kudrna (43799290),Ben Kudrna,43799290,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Ryan Bergert (43799311),Ryan Bergert,43799311,P,5900,KC@LAD 08/10/2026 10:10PM ET,KC,0
,,,,,,,,,,,,,,,OF,Fernando Tatis Jr. (43799047),Fernando Tatis Jr.,43799047,OF,5900,MIL@SD 08/10/2026 09:40PM ET,SD,8.52
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43799194),Bobby Witt Jr.,43799194,SS,5800,KC@LAD 08/10/2026 10:10PM ET,KC,9.2
,,,,,,,,,,,,,,,RP,Eric Lauer (43798919),Eric Lauer,43798919,P,5700,KC@LAD 08/10/2026 10:10PM ET,LAD,9.64
,,,,,,,,,,,,,,,SP,Bobby Miller (43799110),Bobby Miller,43799110,P,5700,KC@LAD 08/10/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Landon Knack (43799255),Landon Knack,43799255,P,5700,KC@LAD 08/10/2026 10:10PM ET,LAD,1.92
,,,,,,,,,,,,,,,SP,Gavin Stone (43799262),Gavin Stone,43799262,P,5700,KC@LAD 08/10/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Jack Kochanowicz (43799203),Jack Kochanowicz,43799203,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,7.26
,,,,,,,,,,,,,,,RP,Sam Aldegheri (43799266),Sam Aldegheri,43799266,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,7.15
,,,,,,,,,,,,,,,RP,Ryan Johnson (43799304),Ryan Johnson,43799304,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,5.2
,,,,,,,,,,,,,,,RP,Brett Kerry (43799310),Brett Kerry,43799310,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,11.65
,,,,,,,,,,,,,,,SP,Caden Dana (43799355),Caden Dana,43799355,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,0
,,,,,,,,,,,,,,,SP,George Klassen (43799398),George Klassen,43799398,P,5700,TEX@LAA 08/10/2026 09:38PM ET,LAA,2.83
,,,,,,,,,,,,,,,RP,Jose Quintana (43798847),Jose Quintana,43798847,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,6.05
