Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5223541902,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,1. Column A lists all of your contest entries for this draftgroup
5223541944,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,2. Your current lineup is listed next to each entry (blank for reservations)
5223541945,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5223541946,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5223541947,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,5. For faster processing only include entries you are changing in the file you upload
5223541948,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,
5223541949,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5223541960,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Taj Bradley (43868612),Taj Bradley,43868612,P,8500,ATL@MIN 08/19/2026 01:40PM ET,MIN,17.35
5223541961,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Spencer Schwellenbach (43868821),Spencer Schwellenbach,43868821,P,8500,ATL@MIN 08/19/2026 01:40PM ET,ATL,0
5223541962,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Joe Ryan (43868822),Joe Ryan,43868822,P,8500,ATL@MIN 08/19/2026 01:40PM ET,MIN,16.49
5223541963,MLB $5K Chin Music [Single Entry] (Early),194022291,$5,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Sean Burke (43868823),Sean Burke,43868823,P,8500,CWS@CHC 08/19/2026 02:20PM ET,CWS,18.21
,,,,,,,,,,,,,,,SP,Clay Holmes (43868613),Clay Holmes,43868613,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,16.64
,,,,,,,,,,,,,,,SP,Shota Imanaga (43868824),Shota Imanaga,43868824,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,16.64
,,,,,,,,,,,,,,,SP,Kevin Gausman (43868825),Kevin Gausman,43868825,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,14.30
,,,,,,,,,,,,,,,SP,Matthew Boyd (43868826),Matthew Boyd,43868826,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,14.40
,,,,,,,,,,,,,,,SP,Tylor Megill (43868827),Tylor Megill,43868827,P,8000,SD@NYM 08/19/2026 01:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Sean Manaea (43868828),Sean Manaea,43868828,P,8000,SD@NYM 08/19/2026 01:10PM ET,NYM,10.99
,,,,,,,,,,,,,,,SP,Christian Scott (43868829),Christian Scott,43868829,P,8000,SD@NYM 08/19/2026 01:10PM ET,NYM,15.57
,,,,,,,,,,,,,,,SP,Zac Thornton (43868830),Zac Thornton,43868830,P,8000,SD@NYM 08/19/2026 01:10PM ET,NYM,14.27
,,,,,,,,,,,,,,,RP,Framber Valdez (43868831),Framber Valdez,43868831,P,7700,DET@PIT 08/19/2026 12:35PM ET,DET,12.34
,,,,,,,,,,,,,,,SP,Jack Flaherty (43868832),Jack Flaherty,43868832,P,7700,DET@PIT 08/19/2026 12:35PM ET,DET,12.89
,,,,,,,,,,,,,,,SP,Michael King (43868614),Michael King,43868614,P,7700,SD@NYM 08/19/2026 01:10PM ET,SD,15.42
,,,,,,,,,,,,,,,SP,JP Sears (43868833),JP Sears,43868833,P,7700,SD@NYM 08/19/2026 01:10PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,Tyler Mahle (43868834),Tyler Mahle,43868834,P,7500,ATL@MIN 08/19/2026 01:40PM ET,ATL,13.48
,,,,,,,,,,,,,,,RP,Spencer Strider (43868835),Spencer Strider,43868835,P,7500,ATL@MIN 08/19/2026 01:40PM ET,ATL,14.67
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43868836),Reynaldo Lopez,43868836,P,7500,ATL@MIN 08/19/2026 01:40PM ET,ATL,8.04
,,,,,,,,,,,,,,,RP,Martin Perez (43868837),Martin Perez,43868837,P,7500,ATL@MIN 08/19/2026 01:40PM ET,ATL,12.06
,,,,,,,,,,,,,,,SP,Bryce Elder (43868838),Bryce Elder,43868838,P,7500,ATL@MIN 08/19/2026 01:40PM ET,ATL,14.36
,,,,,,,,,,,,,,,SP,Zebby Matthews (43868839),Zebby Matthews,43868839,P,7500,ATL@MIN 08/19/2026 01:40PM ET,MIN,12.84
,,,,,,,,,,,,,,,SP,Pablo Lopez (43868840),Pablo Lopez,43868840,P,7500,ATL@MIN 08/19/2026 01:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43868841),Mick Abel,43868841,P,7500,ATL@MIN 08/19/2026 01:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,RP,David Sandlin (43868842),David Sandlin,43868842,P,7500,CWS@CHC 08/19/2026 02:20PM ET,CWS,10.5
,,,,,,,,,,,,,,,SP,Luis Castillo (43868843),Luis Castillo,43868843,P,7500,CWS@CHC 08/19/2026 02:20PM ET,CWS,11.03
,,,,,,,,,,,,,,,SP,Justin Steele (43868844),Justin Steele,43868844,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,0
,,,,,,,,,,,,,,,SP,David Peterson (43868845),David Peterson,43868845,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,9.35
,,,,,,,,,,,,,,,RP,Colin Rea (43868846),Colin Rea,43868846,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Javier Assad (43868847),Javier Assad,43868847,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,9.11
,,,,,,,,,,,,,,,SP,Edward Cabrera (43868848),Edward Cabrera,43868848,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,10.83
,,,,,,,,,,,,,,,SP,Cade Horton (43868849),Cade Horton,43868849,P,7200,CWS@CHC 08/19/2026 02:20PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Jackson Jobe (43868615),Jackson Jobe,43868615,P,6700,DET@PIT 08/19/2026 12:35PM ET,DET,9.55
,,,,,,,,,,,,,,,SP,Reese Olson (43868850),Reese Olson,43868850,P,6700,DET@PIT 08/19/2026 12:35PM ET,DET,0
,,,,,,,,,,,,,,,SP,Justin Verlander (43868851),Justin Verlander,43868851,P,6700,DET@PIT 08/19/2026 12:35PM ET,DET,-4.55
,,,,,,,,,,,,,,,SP,Keider Montero (43868852),Keider Montero,43868852,P,6700,DET@PIT 08/19/2026 12:35PM ET,DET,12.39
,,,,,,,,,,,,,,,SP,Kyle Hart (43868853),Kyle Hart,43868853,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,3.88
,,,,,,,,,,,,,,,SP,Griffin Canning (43868854),Griffin Canning,43868854,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,6.93
,,,,,,,,,,,,,,,SP,Walker Buehler (43868855),Walker Buehler,43868855,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,11.02
,,,,,,,,,,,,,,,SP,Lucas Giolito (43868856),Lucas Giolito,43868856,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,6.16
,,,,,,,,,,,,,,,SP,Randy Vasquez (43868857),Randy Vasquez,43868857,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,9.32
,,,,,,,,,,,,,,,RP,Jhony Brito (43868858),Jhony Brito,43868858,P,6700,SD@NYM 08/19/2026 01:10PM ET,SD,4.33
,,,,,,,,,,,,,,,OF,Pete Crow-Armstrong (43868618),Pete Crow-Armstrong,43868618,OF,6600,CWS@CHC 08/19/2026 02:20PM ET,CHC,10.69
,,,,,,,,,,,,,,,RP,Owen Murphy (43868859),Owen Murphy,43868859,P,6500,ATL@MIN 08/19/2026 01:40PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Grant Holmes (43868860),Grant Holmes,43868860,P,6500,ATL@MIN 08/19/2026 01:40PM ET,ATL,12.06
,,,,,,,,,,,,,,,SP,JR Ritchie (43868861),JR Ritchie,43868861,P,6500,ATL@MIN 08/19/2026 01:40PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43868862),AJ Smith-Shawver,43868862,P,6500,ATL@MIN 08/19/2026 01:40PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43868863),Hurston Waldrep,43868863,P,6500,ATL@MIN 08/19/2026 01:40PM ET,ATL,2.33
,,,,,,,,,,,,,,,RP,Kendry Rojas (43868864),Kendry Rojas,43868864,P,6500,ATL@MIN 08/19/2026 01:40PM ET,MIN,7.43
,,,,,,,,,,,,,,,RP,Jack Anderson (43868865),Jack Anderson,43868865,P,6500,ATL@MIN 08/19/2026 01:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Connor Prielipp (43868866),Connor Prielipp,43868866,P,6500,ATL@MIN 08/19/2026 01:40PM ET,MIN,12.80
,,,,,,,,,,,,,,,SP,Dean Kremer (43868867),Dean Kremer,43868867,P,6500,ATL@MIN 08/19/2026 01:40PM ET,MIN,13.22
,,,,,,,,,,,,,,,SP,Bailey Ober (43868868),Bailey Ober,43868868,P,6500,ATL@MIN 08/19/2026 01:40PM ET,MIN,11.73
,,,,,,,,,,,,,,,SP,Jared Jones (43868872),Jared Jones,43868872,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,12.9
,,,,,,,,,,,,,,,RP,Mike Clevinger (43868873),Mike Clevinger,43868873,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,0
,,,,,,,,,,,,,,,RP,Wilber Dotel (43868874),Wilber Dotel,43868874,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,5.1
,,,,,,,,,,,,,,,RP,Antwone Kelly (43868875),Antwone Kelly,43868875,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,2.43
,,,,,,,,,,,,,,,RP,Thomas Harrington (43868876),Thomas Harrington,43868876,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Bubba Chandler (43868877),Bubba Chandler,43868877,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,12.27
,,,,,,,,,,,,,,,SP,Mitch Keller (43868878),Mitch Keller,43868878,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,10.28
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43868879),Carmen Mlodzinski,43868879,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,8.28
,,,,,,,,,,,,,,,RP,Lake Bachar (43868880),Lake Bachar,43868880,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,4.71
,,,,,,,,,,,,,,,RP,Hunter Barco (43868881),Hunter Barco,43868881,P,6500,DET@PIT 08/19/2026 12:35PM ET,PIT,2.31
,,,,,,,,,,,,,,,SP,Erick Fedde (43868869),Erick Fedde,43868869,P,6500,CWS@CHC 08/19/2026 02:20PM ET,CWS,8.79
,,,,,,,,,,,,,,,RP,Mike Vasil (43868870),Mike Vasil,43868870,P,6500,CWS@CHC 08/19/2026 02:20PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Davis Martin (43868871),Davis Martin,43868871,P,6500,CWS@CHC 08/19/2026 02:20PM ET,CWS,13.09
,,,,,,,,,,,,,,,SP,Jordan Wicks (43868882),Jordan Wicks,43868882,P,6200,CWS@CHC 08/19/2026 02:20PM ET,CHC,0.66
,,,,,,,,,,,,,,,RP,Aaron Civale (43868883),Aaron Civale,43868883,P,6200,CWS@CHC 08/19/2026 02:20PM ET,CHC,7.82
,,,,,,,,,,,,,,,RP,Ethan Roberts (43868884),Ethan Roberts,43868884,P,6200,CWS@CHC 08/19/2026 02:20PM ET,CHC,1.93
,,,,,,,,,,,,,,,SP,Braxton Garrett (43868885),Braxton Garrett,43868885,P,6200,CWS@CHC 08/19/2026 02:20PM ET,CHC,-1.62
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43868619),Ronald Acuna Jr.,43868619,OF,6000,ATL@MIN 08/19/2026 01:40PM ET,ATL,8.72
,,,,,,,,,,,,,,,OF,Oneil Cruz (43868620),Oneil Cruz,43868620,OF,5700,DET@PIT 08/19/2026 12:35PM ET,PIT,10.48
,,,,,,,,,,,,,,,RP,Yilber Diaz (43868886),Yilber Diaz,43868886,P,5700,DET@PIT 08/19/2026 12:35PM ET,DET,-5.12
,,,,,,,,,,,,,,,RP,Ty Madden (43868887),Ty Madden,43868887,P,5700,DET@PIT 08/19/2026 12:35PM ET,DET,7.70
,,,,,,,,,,,,,,,RP,Drew Anderson (43868888),Drew Anderson,43868888,P,5700,DET@PIT 08/19/2026 12:35PM ET,DET,5.39
,,,,,,,,,,,,,,,RP,Sawyer Gipson-Long (43868889),Sawyer Gipson-Long,43868889,P,5700,DET@PIT 08/19/2026 12:35PM ET,DET,0
,,,,,,,,,,,,,,,OF,Juan Soto (43868744),Juan Soto,43868744,OF,5700,SD@NYM 08/19/2026 01:10PM ET,NYM,9.27
,,,,,,,,,,,,,,,OF,Seiya Suzuki (43868621),Seiya Suzuki,43868621,OF,5600,CWS@CHC 08/19/2026 02:20PM ET,CHC,8.84
,,,,,,,,,,,,,,,1B,Matt Olson (43868622),Matt Olson,43868622,1B,5500,ATL@MIN 08/19/2026 01:40PM ET,ATL,9.20
,,,,,,,,,,,,,,,RP,Joey Wentz (43868894),Joey Wentz,43868894,P,5500,ATL@MIN 08/19/2026 01:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Didier Fuentes (43868895),Didier Fuentes,43868895,P,5500,ATL@MIN 08/19/2026 01:40PM ET,ATL,4.73
,,,,,,,,,,,,,,,RP,Victor Mederos (43868896),Victor Mederos,43868896,P,5500,ATL@MIN 08/19/2026 01:40PM ET,ATL,4.27
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43868897),Yoendrys Gomez,43868897,P,5500,ATL@MIN 08/19/2026 01:40PM ET,MIN,2.85
,,,,,,,,,,,,,,,RP,Marco Raya (43868898),Marco Raya,43868898,P,5500,ATL@MIN 08/19/2026 01:40PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43868899),Mike Paredes,43868899,P,5500,ATL@MIN 08/19/2026 01:40PM ET,MIN,5.34
,,,,,,,,,,,,,,,SP,David Festa (43868900),David Festa,43868900,P,5500,ATL@MIN 08/19/2026 01:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Jose Urquidy (43868616),Jose Urquidy,43868616,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,2.22
,,,,,,,,,,,,,,,SP,Noah Schultz (43868890),Noah Schultz,43868890,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,8.56
,,,,,,,,,,,,,,,RP,Anthony Kay (43868891),Anthony Kay,43868891,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,11.38
,,,,,,,,,,,,,,,RP,Shane Smith (43868892),Shane Smith,43868892,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43868893),Jonathan Cannon,43868893,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Trevor Richards (43868901),Trevor Richards,43868901,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,4.06
,,,,,,,,,,,,,,,RP,Grant Taylor (43868902),Grant Taylor,43868902,P,5500,CWS@CHC 08/19/2026 02:20PM ET,CWS,5.49
,,,,,,,,,,,,,,,1B,Munetaka Murakami (43868624),Munetaka Murakami,43868624,1B,5400,CWS@CHC 08/19/2026 02:20PM ET,CWS,9.46
,,,,,,,,,,,,,,,OF,Fernando Tatis Jr. (43868623),Fernando Tatis Jr.,43868623,OF,5400,SD@NYM 08/19/2026 01:10PM ET,SD,8.73
,,,,,,,,,,,,,,,C,Dillon Dingler (43868625),Dillon Dingler,43868625,C,5300,DET@PIT 08/19/2026 12:35PM ET,DET,8.26
,,,,,,,,,,,,,,,1B/3B,Miguel Vargas (43868626),Miguel Vargas,43868626,1B/3B,5200,CWS@CHC 08/19/2026 02:20PM ET,CWS,9.03
,,,,,,,,,,,,,,,OF,Byron Buxton (43868628),Byron Buxton,43868628,OF,5100,ATL@MIN 08/19/2026 01:40PM ET,MIN,9.12
,,,,,,,,,,,,,,,3B,Alex Bregman (43868629),Alex Bregman,43868629,3B,5100,CWS@CHC 08/19/2026 02:20PM ET,CHC,7.75
,,,,,,,,,,,,,,,C,Drake Baldwin (43868631),Drake Baldwin,43868631,C,5000,ATL@MIN 08/19/2026 01:40PM ET,ATL,8.60
,,,,,,,,,,,,,,,2B,Brandon Lowe (43868630),Brandon Lowe,43868630,2B,5000,DET@PIT 08/19/2026 12:35PM ET,PIT,8.44
,,,,,,,,,,,,,,,SP,Robert Stock (43868617),Robert Stock,43868617,P,5000,SD@NYM 08/19/2026 01:10PM ET,NYM,6.92
,,,,,,,,,,,,,,,RP,Justin Hagenman (43868903),Justin Hagenman,43868903,P,5000,SD@NYM 08/19/2026 01:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Tobias Myers (43868904),Tobias Myers,43868904,P,5000,SD@NYM 08/19/2026 01:10PM ET,NYM,2.58
,,,,,,,,,,,,,,,RP,Xzavion Curry (43868905),Xzavion Curry,43868905,P,5000,SD@NYM 08/19/2026 01:10PM ET,NYM,4.77
,,,,,,,,,,,,,,,RP,Chayce McDermott (43868906),Chayce McDermott,43868906,P,5000,SD@NYM 08/19/2026 01:10PM ET,NYM,3.14
