Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5216043810,MLB $5K Solo Shot [$1K to 1st],193621100,$1,Bryce Miller (43813263),Ranger Suarez (43813264),Drake Baldwin (43813288),Matt Olson (43813283),Marcus Semien (43813352),Jorge Polanco (43813435),Francisco Lindor (43813302),Ronald Acuna Jr. (43813280),Jahmai Jones (43813424),Alejandro Osuna (43813497),,1. Column A lists all of your contest entries for this draftgroup
5216043811,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,2. Your current lineup is listed next to each entry (blank for reservations)
5216043812,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5216043813,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5216043814,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,5. For faster processing only include entries you are changing in the file you upload
5216043815,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,
5216043816,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,SP,Sean Manaea (43813597),Sean Manaea,43813597,P,8200,NYM@ATL 08/12/2026 07:15PM ET,NYM,10.84
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43813593),MacKenzie Gore,43813593,P,8200,TEX@LAA 08/12/2026 10:10PM ET,TEX,15.53
,,,,,,,,,,,,,,,RP,Jacob Latz (43813594),Jacob Latz,43813594,P,8200,TEX@LAA 08/12/2026 10:10PM ET,TEX,4.73
,,,,,,,,,,,,,,,SP,Jake Bennett (43813603),Jake Bennett,43813603,P,8000,BOS@TOR 08/12/2026 07:07PM ET,BOS,15.9
,,,,,,,,,,,,,,,SP,Hunter Greene (43813601),Hunter Greene,43813601,P,8000,CIN@CWS 08/12/2026 07:40PM ET,CIN,14.29
,,,,,,,,,,,,,,,SP,Reid Detmers (43813602),Reid Detmers,43813602,P,8000,TEX@LAA 08/12/2026 10:10PM ET,LAA,17.22
,,,,,,,,,,,,,,,SP,Will Warren (43813267),Will Warren,43813267,P,8000,SEA@NYY 08/12/2026 07:05PM ET,NYY,13.7
,,,,,,,,,,,,,,,SP,Carlos Rodon (43813598),Carlos Rodon,43813598,P,8000,SEA@NYY 08/12/2026 07:05PM ET,NYY,17.21
,,,,,,,,,,,,,,,RP,Ryan Weathers (43813599),Ryan Weathers,43813599,P,8000,SEA@NYY 08/12/2026 07:05PM ET,NYY,16.50
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43813600),Clarke Schmidt,43813600,P,8000,SEA@NYY 08/12/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Jose Berrios (43813607),Jose Berrios,43813607,P,7700,BOS@TOR 08/12/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43813608),Spencer Arrighetti,43813608,P,7700,BOS@TOR 08/12/2026 07:07PM ET,TOR,13.58
,,,,,,,,,,,,,,,SP,Tyler Mahle (43813268),Tyler Mahle,43813268,P,7700,NYM@ATL 08/12/2026 07:15PM ET,ATL,12.80
,,,,,,,,,,,,,,,RP,Owen Murphy (43813604),Owen Murphy,43813604,P,7700,NYM@ATL 08/12/2026 07:15PM ET,ATL,5.2
,,,,,,,,,,,,,,,SP,Bryce Elder (43813605),Bryce Elder,43813605,P,7700,NYM@ATL 08/12/2026 07:15PM ET,ATL,14.18
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43813606),Reynaldo Lopez,43813606,P,7700,NYM@ATL 08/12/2026 07:15PM ET,ATL,8.04
,,,,,,,,,,,,,,,RP,Cody Bradford (43813609),Cody Bradford,43813609,P,7700,TEX@LAA 08/12/2026 10:10PM ET,TEX,11.55
,,,,,,,,,,,,,,,SP,Logan Evans (43813610),Logan Evans,43813610,P,7700,SEA@NYY 08/12/2026 07:05PM ET,SEA,0
,,,,,,,,,,,,,,,RP,Cooper Criswell (43813611),Cooper Criswell,43813611,P,7700,SEA@NYY 08/12/2026 07:05PM ET,SEA,2.95
,,,,,,,,,,,,,,,SP,Emerson Hancock (43813612),Emerson Hancock,43813612,P,7700,SEA@NYY 08/12/2026 07:05PM ET,SEA,15.65
,,,,,,,,,,,,,,,SP,Luis Castillo (43813269),Luis Castillo,43813269,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,10.22
,,,,,,,,,,,,,,,RP,David Sandlin (43813615),David Sandlin,43813615,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,10.5
,,,,,,,,,,,,,,,RP,Mike Vasil (43813617),Mike Vasil,43813617,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Erick Fedde (43813618),Erick Fedde,43813618,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,8.94
,,,,,,,,,,,,,,,RP,Anthony Kay (43813619),Anthony Kay,43813619,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,11.45
,,,,,,,,,,,,,,,SP,Davis Martin (43813620),Davis Martin,43813620,P,7500,CIN@CWS 08/12/2026 07:40PM ET,CWS,13.60
,,,,,,,,,,,,,,,SP,Noah Cameron (43813613),Noah Cameron,43813613,P,7500,KC@LAD 08/12/2026 10:10PM ET,KC,13.96
,,,,,,,,,,,,,,,RP,Randy Dobnak (43813614),Randy Dobnak,43813614,P,7500,KC@LAD 08/12/2026 10:10PM ET,KC,11.74
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43813616),Emmet Sheehan,43813616,P,7500,KC@LAD 08/12/2026 10:10PM ET,LAD,12.80
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43813628),Patrick Sandoval,43813628,P,7000,BOS@TOR 08/12/2026 07:07PM ET,BOS,12.72
,,,,,,,,,,,,,,,SP,Tanner Houck (43813629),Tanner Houck,43813629,P,7000,BOS@TOR 08/12/2026 07:07PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43813630),Kutter Crawford,43813630,P,7000,BOS@TOR 08/12/2026 07:07PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Rhett Lowder (43813270),Rhett Lowder,43813270,P,7000,CIN@CWS 08/12/2026 07:40PM ET,CIN,8.83
,,,,,,,,,,,,,,,SP,Andrew Abbott (43813625),Andrew Abbott,43813625,P,7000,CIN@CWS 08/12/2026 07:40PM ET,CIN,12.28
,,,,,,,,,,,,,,,SP,Brady Singer (43813631),Brady Singer,43813631,P,7000,CIN@CWS 08/12/2026 07:40PM ET,CIN,11.58
,,,,,,,,,,,,,,,SP,Nick Lodolo (43813632),Nick Lodolo,43813632,P,7000,CIN@CWS 08/12/2026 07:40PM ET,CIN,10.49
,,,,,,,,,,,,,,,SP,Yusei Kikuchi (43813626),Yusei Kikuchi,43813626,P,7000,TEX@LAA 08/12/2026 10:10PM ET,LAA,9.39
,,,,,,,,,,,,,,,RP,Walbert Urena (43813627),Walbert Urena,43813627,P,7000,TEX@LAA 08/12/2026 10:10PM ET,LAA,14.44
,,,,,,,,,,,,,,,RP,Paul Blackburn (43813621),Paul Blackburn,43813621,P,7000,SEA@NYY 08/12/2026 07:05PM ET,NYY,4.50
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43813622),Ryan Yarbrough,43813622,P,7000,SEA@NYY 08/12/2026 07:05PM ET,NYY,3.01
,,,,,,,,,,,,,,,SP,Luis Gil (43813623),Luis Gil,43813623,P,7000,SEA@NYY 08/12/2026 07:05PM ET,NYY,5.52
,,,,,,,,,,,,,,,RP,Elmer Rodriguez (43813624),Elmer Rodriguez,43813624,P,7000,SEA@NYY 08/12/2026 07:05PM ET,NYY,5.11
,,,,,,,,,,,,,,,SP,Shane Bieber (43813642),Shane Bieber,43813642,P,6700,BOS@TOR 08/12/2026 07:07PM ET,TOR,8.6
,,,,,,,,,,,,,,,SP,Max Scherzer (43813643),Max Scherzer,43813643,P,6700,BOS@TOR 08/12/2026 07:07PM ET,TOR,5.27
,,,,,,,,,,,,,,,RP,Justin Hagenman (43813633),Justin Hagenman,43813633,P,6700,NYM@ATL 08/12/2026 07:15PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Chayce McDermott (43813634),Chayce McDermott,43813634,P,6700,NYM@ATL 08/12/2026 07:15PM ET,NYM,3.14
,,,,,,,,,,,,,,,SP,Tobias Myers (43813635),Tobias Myers,43813635,P,6700,NYM@ATL 08/12/2026 07:15PM ET,NYM,2.58
,,,,,,,,,,,,,,,RP,Xzavion Curry (43813636),Xzavion Curry,43813636,P,6700,NYM@ATL 08/12/2026 07:15PM ET,NYM,4.77
,,,,,,,,,,,,,,,RP,Martin Perez (43813637),Martin Perez,43813637,P,6700,NYM@ATL 08/12/2026 07:15PM ET,ATL,12.47
,,,,,,,,,,,,,,,RP,Grant Holmes (43813638),Grant Holmes,43813638,P,6700,NYM@ATL 08/12/2026 07:15PM ET,ATL,12.73
,,,,,,,,,,,,,,,SP,JR Ritchie (43813639),JR Ritchie,43813639,P,6700,NYM@ATL 08/12/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43813640),AJ Smith-Shawver,43813640,P,6700,NYM@ATL 08/12/2026 07:15PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43813641),Hurston Waldrep,43813641,P,6700,NYM@ATL 08/12/2026 07:15PM ET,ATL,2.33
,,,,,,,,,,,,,,,RP,Casey Lawrence (43813644),Casey Lawrence,43813644,P,6700,SEA@NYY 08/12/2026 07:05PM ET,SEA,0
,,,,,,,,,,,,,,,RP,Shane Smith (43813647),Shane Smith,43813647,P,6500,CIN@CWS 08/12/2026 07:40PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43813648),Jonathan Cannon,43813648,P,6500,CIN@CWS 08/12/2026 07:40PM ET,CWS,-3.8
,,,,,,,,,,,,,,,SP,Noah Schultz (43813652),Noah Schultz,43813652,P,6500,CIN@CWS 08/12/2026 07:40PM ET,CWS,8.56
,,,,,,,,,,,,,,,SP,Eric Lauer (43813271),Eric Lauer,43813271,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,9.64
,,,,,,,,,,,,,,,1B/OF,Shohei Ohtani (43813275),Shohei Ohtani,43813275,1B/OF,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,9.53
,,,,,,,,,,,,,,,RP,Seth Lugo (43813645),Seth Lugo,43813645,P,6500,KC@LAD 08/12/2026 10:10PM ET,KC,11.85
,,,,,,,,,,,,,,,RP,Stephen Kolek (43813646),Stephen Kolek,43813646,P,6500,KC@LAD 08/12/2026 10:10PM ET,KC,11.51
,,,,,,,,,,,,,,,SP,Gavin Stone (43813649),Gavin Stone,43813649,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Bobby Miller (43813650),Bobby Miller,43813650,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Landon Knack (43813651),Landon Knack,43813651,P,6500,KC@LAD 08/12/2026 10:10PM ET,LAD,1.92
,,,,,,,,,,,,,,,SS,Elly De La Cruz (43813277),Elly De La Cruz,43813277,SS,6200,CIN@CWS 08/12/2026 07:40PM ET,CIN,9.80
,,,,,,,,,,,,,,,SP,Cal Quantrill (43813272),Cal Quantrill,43813272,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,6.16
,,,,,,,,,,,,,,,SP,Kumar Rocker (43813653),Kumar Rocker,43813653,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,12.19
,,,,,,,,,,,,,,,SP,Jack Leiter (43813654),Jack Leiter,43813654,P,6200,TEX@LAA 08/12/2026 10:10PM ET,TEX,12.71
,,,,,,,,,,,,,,,SP,Brayan Bello (43813656),Brayan Bello,43813656,P,6000,BOS@TOR 08/12/2026 07:07PM ET,BOS,9.36
,,,,,,,,,,,,,,,RP,Eduardo Rivera (43813657),Eduardo Rivera,43813657,P,6000,BOS@TOR 08/12/2026 07:07PM ET,BOS,5.02
,,,,,,,,,,,,,,,SP,Johan Oviedo (43813658),Johan Oviedo,43813658,P,6000,BOS@TOR 08/12/2026 07:07PM ET,BOS,1.45
,,,,,,,,,,,,,,,SP,Brandon Williamson (43813655),Brandon Williamson,43813655,P,6000,CIN@CWS 08/12/2026 07:40PM ET,CIN,6.93
,,,,,,,,,,,,,,,SP,Connor Phillips (43813666),Connor Phillips,43813666,P,6000,CIN@CWS 08/12/2026 07:40PM ET,CIN,2.28
,,,,,,,,,,,,,,,RP,Jose Franco (43813667),Jose Franco,43813667,P,6000,CIN@CWS 08/12/2026 07:40PM ET,CIN,3.88
,,,,,,,,,,,,,,,SP,Chase Petty (43813668),Chase Petty,43813668,P,6000,CIN@CWS 08/12/2026 07:40PM ET,CIN,2.68
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43813278),Bobby Witt Jr.,43813278,SS,6000,KC@LAD 08/12/2026 10:10PM ET,KC,9.21
,,,,,,,,,,,,,,,SP,George Klassen (43813273),George Klassen,43813273,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,2.83
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (43813659),Grayson Rodriguez,43813659,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.61
,,,,,,,,,,,,,,,RP,Mitch Farris (43813660),Mitch Farris,43813660,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,4.64
,,,,,,,,,,,,,,,RP,Brett Kerry (43813661),Brett Kerry,43813661,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,11.65
,,,,,,,,,,,,,,,SP,Caden Dana (43813662),Caden Dana,43813662,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,0
,,,,,,,,,,,,,,,RP,Sam Aldegheri (43813663),Sam Aldegheri,43813663,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.15
,,,,,,,,,,,,,,,SP,Jack Kochanowicz (43813664),Jack Kochanowicz,43813664,P,6000,TEX@LAA 08/12/2026 10:10PM ET,LAA,7.26
