Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5213451680,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,1. Column A lists all of your contest entries for this draftgroup
5213451681,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,2. Your current lineup is listed next to each entry (blank for reservations)
5213451682,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5213451683,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5213451684,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,5. For faster processing only include entries you are changing in the file you upload
5213456851,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,
,,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Joey Cantillo (43793493),Joey Cantillo,43793493,P,8300,CLE@CWS 08/09/2026 02:10PM ET,CLE,14.48
,,,,,,,,,,,,,,,SP,Sean Burke (43793683),Sean Burke,43793683,P,8300,CLE@CWS 08/09/2026 02:10PM ET,CWS,18.54
,,,,,,,,,,,,,,,SP,Tanner Bibee (43793609),Tanner Bibee,43793609,P,8100,CLE@CWS 08/09/2026 02:10PM ET,CLE,13.85
,,,,,,,,,,,,,,,RP,Ben Brown (43793500),Ben Brown,43793500,P,8100,CHC@KC 08/09/2026 02:10PM ET,CHC,11.57
,,,,,,,,,,,,,,,SP,Dustin May (43793443),Dustin May,43793443,P,8100,MIN@MIL 08/09/2026 02:10PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Bailey Ober (43793451),Bailey Ober,43793451,P,8100,MIN@MIL 08/09/2026 02:10PM ET,MIN,12.19
,,,,,,,,,,,,,,,SP,Trevor Rogers (43793483),Trevor Rogers,43793483,P,8000,BAL@TEX 08/09/2026 02:35PM ET,BAL,13.80
,,,,,,,,,,,,,,,SP,Kevin Gausman (43793307),Kevin Gausman,43793307,P,8000,CHC@KC 08/09/2026 02:10PM ET,CHC,14.82
,,,,,,,,,,,,,,,RP,Clay Holmes (43793324),Clay Holmes,43793324,P,8000,CHC@KC 08/09/2026 02:10PM ET,CHC,15.93
,,,,,,,,,,,,,,,SP,Pablo Lopez (43793357),Pablo Lopez,43793357,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43793625),Mick Abel,43793625,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Robert Gasser (43793688),Robert Gasser,43793688,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIL,12.56
,,,,,,,,,,,,,,,SP,Michael Wacha (43793336),Michael Wacha,43793336,P,7900,CHC@KC 08/09/2026 02:10PM ET,KC,15.45
,,,,,,,,,,,,,,,SP,Chad Patrick (43793664),Chad Patrick,43793664,P,7900,MIN@MIL 08/09/2026 02:10PM ET,MIL,6.2
,,,,,,,,,,,,,,,SP,Brandon Young (43793650),Brandon Young,43793650,P,7800,BAL@TEX 08/09/2026 02:35PM ET,BAL,14.66
,,,,,,,,,,,,,,,SP,Zach Eflin (43793341),Zach Eflin,43793341,P,7600,BAL@TEX 08/09/2026 02:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Shane Baz (43793482),Shane Baz,43793482,P,7600,BAL@TEX 08/09/2026 02:35PM ET,BAL,15.07
,,,,,,,,,,,,,,,SP,Slade Cecconi (43793559),Slade Cecconi,43793559,P,7600,CLE@CWS 08/09/2026 02:10PM ET,CLE,9.34
,,,,,,,,,,,,,,,RP,Kyle Leahy (43793550),Kyle Leahy,43793550,P,7600,COL@STL 08/09/2026 02:15PM ET,STL,13.78
,,,,,,,,,,,,,,,RP,David Sandlin (43793739),David Sandlin,43793739,P,7500,CLE@CWS 08/09/2026 02:10PM ET,CWS,10.5
,,,,,,,,,,,,,,,RP,Andre Pallante (43793465),Andre Pallante,43793465,P,7500,COL@STL 08/09/2026 02:15PM ET,STL,14.1
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43793700),Hunter Dobbins,43793700,P,7500,COL@STL 08/09/2026 02:15PM ET,STL,13.28
,,,,,,,,,,,,,,,SP,Kyle Bradish (43793466),Kyle Bradish,43793466,P,7400,BAL@TEX 08/09/2026 02:35PM ET,BAL,14.93
,,,,,,,,,,,,,,,SP,Luis Castillo (43793337),Luis Castillo,43793337,P,7400,CLE@CWS 08/09/2026 02:10PM ET,CWS,10.22
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43793689),Jonathan Cannon,43793689,P,7300,CLE@CWS 08/09/2026 02:10PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Shane Smith (43793712),Shane Smith,43793712,P,7300,CLE@CWS 08/09/2026 02:10PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Justin Steele (43793382),Justin Steele,43793382,P,7300,CHC@KC 08/09/2026 02:10PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Shota Imanaga (43793423),Shota Imanaga,43793423,P,7300,CHC@KC 08/09/2026 02:10PM ET,CHC,16.68
,,,,,,,,,,,,,,,RP,Jack Anderson (43793561),Jack Anderson,43793561,P,7300,MIN@MIL 08/09/2026 02:10PM ET,MIN,5.99
,,,,,,,,,,,,,,,RP,Kendry Rojas (43793710),Kendry Rojas,43793710,P,7300,MIN@MIL 08/09/2026 02:10PM ET,MIN,7.43
,,,,,,,,,,,,,,,SP,Dean Kremer (43793420),Dean Kremer,43793420,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,11.23
,,,,,,,,,,,,,,,SP,David Festa (43793704),David Festa,43793704,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Zebby Matthews (43793746),Zebby Matthews,43793746,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,12.58
,,,,,,,,,,,,,,,SP,Edward Cabrera (43793462),Edward Cabrera,43793462,P,7100,CHC@KC 08/09/2026 02:10PM ET,CHC,12.11
,,,,,,,,,,,,,,,RP,Randy Dobnak (43793514),Randy Dobnak,43793514,P,7100,CHC@KC 08/09/2026 02:10PM ET,KC,12.92
,,,,,,,,,,,,,,,SP,Cade Horton (43793632),Cade Horton,43793632,P,7100,CHC@KC 08/09/2026 02:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Logan Allen (43793494),Logan Allen,43793494,P,7000,CLE@CWS 08/09/2026 02:10PM ET,CLE,11.75
,,,,,,,,,,,,,,,SP,Connor Prielipp (43793606),Connor Prielipp,43793606,P,7000,MIN@MIL 08/09/2026 02:10PM ET,MIN,13.50
,,,,,,,,,,,,,,,SP,Colton Gordon (43793701),Colton Gordon,43793701,P,7000,MIN@MIL 08/09/2026 02:10PM ET,MIL,1
,,,,,,,,,,,,,,,RP,Cody Bradford (43793524),Cody Bradford,43793524,P,6900,BAL@TEX 08/09/2026 02:35PM ET,TEX,15.55
,,,,,,,,,,,,,,,SP,Cole Ragans (43793438),Cole Ragans,43793438,P,6800,CHC@KC 08/09/2026 02:10PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Davis Martin (43793428),Davis Martin,43793428,P,6700,CLE@CWS 08/09/2026 02:10PM ET,CWS,14.20
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43793338),Antonio Senzatela,43793338,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,4.46
,,,,,,,,,,,,,,,RP,DL Hall (43793484),DL Hall,43793484,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,3.49
,,,,,,,,,,,,,,,SP,Quinn Priester (43793582),Quinn Priester,43793582,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Coleman Crow (43793601),Coleman Crow,43793601,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,SP,Quinn Mathews (43793738),Quinn Mathews,43793738,P,6700,COL@STL 08/09/2026 02:15PM ET,STL,7.85
,,,,,,,,,,,,,,,RP,Jacob Latz (43793383),Jacob Latz,43793383,P,6600,BAL@TEX 08/09/2026 02:35PM ET,TEX,4.76
,,,,,,,,,,,,,,,SP,Jack Leiter (43793598),Jack Leiter,43793598,P,6600,BAL@TEX 08/09/2026 02:35PM ET,TEX,12.71
,,,,,,,,,,,,,,,SP,Cade Povich (43793693),Cade Povich,43793693,P,6600,BAL@TEX 08/09/2026 02:35PM ET,BAL,12
,,,,,,,,,,,,,,,SP,Noah Cameron (43793698),Noah Cameron,43793698,P,6600,CHC@KC 08/09/2026 02:10PM ET,KC,14.41
,,,,,,,,,,,,,,,SP,Kumar Rocker (43793564),Kumar Rocker,43793564,P,6500,BAL@TEX 08/09/2026 02:35PM ET,TEX,12.8
,,,,,,,,,,,,,,,RP,Colin Rea (43793317),Colin Rea,43793317,P,6500,CHC@KC 08/09/2026 02:10PM ET,CHC,10.75
,,,,,,,,,,,,,,,OF,Pete Crow-Armstrong (43793624),Pete Crow-Armstrong,43793624,OF,6500,CHC@KC 08/09/2026 02:10PM ET,CHC,10.55
,,,,,,,,,,,,,,,RP,Bryse Wilson (43793441),Bryse Wilson,43793441,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIL,5.12
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43793510),Yoendrys Gomez,43793510,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,2.97
,,,,,,,,,,,,,,,RP,Marco Raya (43793642),Marco Raya,43793642,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43793709),Mike Paredes,43793709,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,5.34
,,,,,,,,,,,,,,,RP,Daniel Espino (43793584),Daniel Espino,43793584,P,6300,CLE@CWS 08/09/2026 02:10PM ET,CLE,4.35
,,,,,,,,,,,,,,,RP,Seth Lugo (43793332),Seth Lugo,43793332,P,6300,CHC@KC 08/09/2026 02:10PM ET,KC,11.85
,,,,,,,,,,,,,,,SP,David Peterson (43793388),David Peterson,43793388,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,9.36
,,,,,,,,,,,,,,,RP,Aaron Civale (43793403),Aaron Civale,43793403,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,7.78
,,,,,,,,,,,,,,,SP,Javier Assad (43793461),Javier Assad,43793461,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,9.58
,,,,,,,,,,,,,,,RP,Ethan Roberts (43793536),Ethan Roberts,43793536,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,1.93
,,,,,,,,,,,,,,,SP,Jordan Wicks (43793662),Jordan Wicks,43793662,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,0.66
,,,,,,,,,,,,,,,SP,Michael McGreevy (43793669),Michael McGreevy,43793669,P,6300,COL@STL 08/09/2026 02:15PM ET,STL,12.11
,,,,,,,,,,,,,,,SP,Erick Fedde (43793329),Erick Fedde,43793329,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.94
,,,,,,,,,,,,,,,RP,Jose Urquidy (43793421),Jose Urquidy,43793421,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,0.81
,,,,,,,,,,,,,,,RP,Trevor Richards (43793463),Trevor Richards,43793463,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,4.12
,,,,,,,,,,,,,,,RP,Mike Vasil (43793618),Mike Vasil,43793618,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Joe Rock (43793622),Joe Rock,43793622,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,6.21
,,,,,,,,,,,,,,,SP,Noah Schultz (43793731),Noah Schultz,43793731,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.56
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43793527),Matthew Liberatore,43793527,P,6200,COL@STL 08/09/2026 02:15PM ET,STL,11.26
,,,,,,,,,,,,,,,RP,Zach Agnos (43793747),Zach Agnos,43793747,P,6200,COL@STL 08/09/2026 02:15PM ET,COL,2.85
,,,,,,,,,,,,,,,RP,Grant Taylor (43793764),Grant Taylor,43793764,P,6100,CLE@CWS 08/09/2026 02:10PM ET,CWS,5.54
,,,,,,,,,,,,,,,SP,Ryan Feltner (43793414),Ryan Feltner,43793414,P,6100,COL@STL 08/09/2026 02:15PM ET,COL,8.38
,,,,,,,,,,,,,,,SP,Tekoah Roby (43793637),Tekoah Roby,43793637,P,6100,COL@STL 08/09/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,RP,Gabriel Hughes (43793729),Gabriel Hughes,43793729,P,6100,COL@STL 08/09/2026 02:15PM ET,COL,12.19
,,,,,,,,,,,,,,,SP,Brycen Mautz (43793734),Brycen Mautz,43793734,P,6100,COL@STL 08/09/2026 02:15PM ET,STL,3.15
,,,,,,,,,,,,,,,RP,Albert Suarez (43793295),Albert Suarez,43793295,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,4.90
,,,,,,,,,,,,,,,SP,Chris Bassitt (43793325),Chris Bassitt,43793325,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,7.56
,,,,,,,,,,,,,,,RP,Keegan Akin (43793400),Keegan Akin,43793400,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,1.53
,,,,,,,,,,,,,,,SP,Trey Gibson (43793772),Trey Gibson,43793772,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,5.73
,,,,,,,,,,,,,,,RP,Cal Quantrill (43793369),Cal Quantrill,43793369,P,5900,BAL@TEX 08/09/2026 02:35PM ET,TEX,6.16
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43793579),Bobby Witt Jr.,43793579,SS,5900,CHC@KC 08/09/2026 02:10PM ET,KC,9.27
,,,,,,,,,,,,,,,SP,Richard Fitts (43793679),Richard Fitts,43793679,P,5900,COL@STL 08/09/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,SP,Jordan Montgomery (43793381),Jordan Montgomery,43793381,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Adam Macko (43793590),Adam Macko,43793590,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.60
,,,,,,,,,,,,,,,SP,Jose Corniell (43793646),Jose Corniell,43793646,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,-5.62
,,,,,,,,,,,,,,,RP,Chase Silseth (43793678),Chase Silseth,43793678,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.89
,,,,,,,,,,,,,,,SP,Leandro Lopez (43793753),Leandro Lopez,43793753,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,SP,David Davalillo (43793756),David Davalillo,43793756,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,RP,Anthony Kay (43793368),Anthony Kay,43793368,P,5800,CLE@CWS 08/09/2026 02:10PM ET,CWS,11.45
,,,,,,,,,,,,,,,SP,Chase Dollander (43793758),Chase Dollander,43793758,P,5800,COL@STL 08/09/2026 02:15PM ET,COL,13.1
,,,,,,,,,,,,,,,RP,Tyler Alexander (43793367),Tyler Alexander,43793367,P,5700,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.7
,,,,,,,,,,,,,,,OF,Seiya Suzuki (43793355),Seiya Suzuki,43793355,OF,5700,CHC@KC 08/09/2026 02:10PM ET,CHC,8.60
,,,,,,,,,,,,,,,RP,Jose Quintana (43793304),Jose Quintana,43793304,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,6.05
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (43793356),Tomoyuki Sugano,43793356,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,10.64
,,,,,,,,,,,,,,,RP,Tanner Gordon (43793591),Tanner Gordon,43793591,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,7.55
,,,,,,,,,,,,,,,SP,Pierson Ohl (43793706),Pierson Ohl,43793706,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,0
,,,,,,,,,,,,,,,SP,Sean Sullivan (43793765),Sean Sullivan,43793765,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,1.89
,,,,,,,,,,,,,,,OF,Jackson Chourio (43793715),Jackson Chourio,43793715,OF,5600,MIN@MIL 08/09/2026 02:10PM ET,MIL,9.08
,,,,,,,,,,,,,,,SP,Braxton Garrett (43793437),Braxton Garrett,43793437,P,5500,CHC@KC 08/09/2026 02:10PM ET,CHC,-1.62
,,,,,,,,,,,,,,,C,Hunter Goodman (43793613),Hunter Goodman,43793613,C,5500,COL@STL 08/09/2026 02:15PM ET,COL,8.78
,,,,,,,,,,,,,,,C,Ryan Jeffers (43793534),Ryan Jeffers,43793534,C,5400,MIN@MIL 08/09/2026 02:10PM ET,MIN,8.34
,,,,,,,,,,,,,,,OF,Jordan Walker (43793626),Jordan Walker,43793626,OF,5400,COL@STL 08/09/2026 02:15PM ET,STL,9.15
,,,,,,,,,,,,,,,1B,Munetaka Murakami (43793515),Munetaka Murakami,43793515,1B,5300,CLE@CWS 08/09/2026 02:10PM ET,CWS,9.46
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (43793477),Daniel Lynch IV,43793477,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,3.00
,,,,,,,,,,,,,,,RP,Connor Thomas (43793516),Connor Thomas,43793516,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,-10.18
,,,,,,,,,,,,,,,RP,Stephen Kolek (43793545),Stephen Kolek,43793545,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,11.51
,,,,,,,,,,,,,,,RP,Luinder Avila (43793553),Luinder Avila,43793553,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,6.98
,,,,,,,,,,,,,,,SP,Alec Marsh (43793578),Alec Marsh,43793578,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Mitch Spence (43793592),Mitch Spence,43793592,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,-9.27
,,,,,,,,,,,,,,,RP,Mason Black (43793611),Mason Black,43793611,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,3.45
,,,,,,,,,,,,,,,SP,Ben Kudrna (43793670),Ben Kudrna,43793670,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Ryan Bergert (43793697),Ryan Bergert,43793697,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,OF,Byron Buxton (43793340),Byron Buxton,43793340,OF,5300,MIN@MIL 08/09/2026 02:10PM ET,MIN,9.39
,,,,,,,,,,,,,,,2B,Brice Turang (43793531),Brice Turang,43793531,2B,5300,MIN@MIL 08/09/2026 02:10PM ET,MIL,9.34
,,,,,,,,,,,,,,,3B,Jose Ramirez (43793327),Jose Ramirez,43793327,3B,5200,CLE@CWS 08/09/2026 02:10PM ET,CLE,8.60
,,,,,,,,,,,,,,,SP,Kyle Freeland (43793333),Kyle Freeland,43793333,P,5200,COL@STL 08/09/2026 02:15PM ET,COL,8.59
,,,,,,,,,,,,,,,1B,Alec Burleson (43793610),Alec Burleson,43793610,1B,5200,COL@STL 08/09/2026 02:15PM ET,STL,8.17
,,,,,,,,,,,,,,,1B,Pete Alonso (43793401),Pete Alonso,43793401,1B,5000,BAL@TEX 08/09/2026 02:35PM ET,BAL,8.20
,,,,,,,,,,,,,,,SP,Michael Lorenzen (43793308),Michael Lorenzen,43793308,P,5000,COL@STL 08/09/2026 02:15PM ET,COL,5.08
,,,,,,,,,,,,,,,OF,Mickey Moniak (43793436),Mickey Moniak,43793436,OF,5000,COL@STL 08/09/2026 02:15PM ET,COL,7.99
,,,,,,,,,,,,,,,2B,JJ Wetherholt (43793775),JJ Wetherholt,43793775,2B,5000,COL@STL 08/09/2026 02:15PM ET,STL,7.93
,,,,,,,,,,,,,,,3B,Miguel Vargas (43793566),Miguel Vargas,43793566,3B,4900,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.81
,,,,,,,,,,,,,,,1B/OF,Jake Bauers (43793364),Jake Bauers,43793364,1B/OF,4900,MIN@MIL 08/09/2026 02:10PM ET,MIL,8.54
,,,,,,,,,,,,,,,2B/OF,Kody Clemens (43793418),Kody Clemens,43793418,2B/OF,4800,MIN@MIL 08/09/2026 02:10PM ET,MIN,7.40
,,,,,,,,,,,,,,,2B,Travis Bazzana (43793774),Travis Bazzana,43793774,2B,4700,CLE@CWS 08/09/2026 02:10PM ET,CLE,7.75
,,,,,,,,,,,,,,,C,Carter Jensen (43793687),Carter Jensen,43793687,C,4700,CHC@KC 08/09/2026 02:10PM ET,KC,6.71
,,,,,,,,,,,,,,,OF,Christian Yelich (43793305),Christian Yelich,43793305,OF,4600,MIN@MIL 08/09/2026 02:10PM ET,MIL,7.68
,,,,,,,,,,,,,,,SS,Gunnar Henderson (43793580),Gunnar Henderson,43793580,SS,4500,BAL@TEX 08/09/2026 02:35PM ET,BAL,7.40
,,,,,,,,,,,,,,,3B,Jordan Westburg (43793621),Jordan Westburg,43793621,3B,4500,BAL@TEX 08/09/2026 02:35PM ET,BAL,0
