Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5222785878,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,1. Column A lists all of your contest entries for this draftgroup
5222795178,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,2. Your current lineup is listed next to each entry (blank for reservations)
5222795179,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5222795180,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5222795181,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,5. For faster processing only include entries you are changing in the file you upload
5222795182,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,
5222795183,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5222795194,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Drew Rasmussen (43859680),Drew Rasmussen,43859680,P,9000,TOR@TB 08/18/2026 06:40PM ET,TB,19.59
5222795195,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,RP,Ian Seymour (43859681),Ian Seymour,43859681,P,9000,TOR@TB 08/18/2026 06:40PM ET,TB,8.38
5222795196,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Gerrit Cole (43859684),Gerrit Cole,43859684,P,8800,NYY@BAL 08/18/2026 06:35PM ET,NYY,18.93
,,,,,,,,,,,,,,,SP,Max Fried (43859685),Max Fried,43859685,P,8800,NYY@BAL 08/18/2026 06:35PM ET,NYY,17.43
,,,,,,,,,,,,,,,SP,Foster Griffin (43859366),Foster Griffin,43859366,P,8800,SF@CLE 08/18/2026 06:40PM ET,CLE,17.36
,,,,,,,,,,,,,,,SP,Parker Messick (43859682),Parker Messick,43859682,P,8800,SF@CLE 08/18/2026 06:40PM ET,CLE,19.54
,,,,,,,,,,,,,,,SP,Logan Webb (43859683),Logan Webb,43859683,P,8800,SF@CLE 08/18/2026 06:40PM ET,SF,16.58
,,,,,,,,,,,,,,,SP,Hunter Greene (43859688),Hunter Greene,43859688,P,8500,STL@CIN 08/18/2026 06:40PM ET,CIN,14.29
,,,,,,,,,,,,,,,SP,Max Meyer (43859686),Max Meyer,43859686,P,8500,MIA@PHI 08/18/2026 06:40PM ET,MIA,19.10
,,,,,,,,,,,,,,,SP,Eury Perez (43859687),Eury Perez,43859687,P,8500,MIA@PHI 08/18/2026 06:40PM ET,MIA,17.8
,,,,,,,,,,,,,,,SP,Carlos Rodon (43859691),Carlos Rodon,43859691,P,8300,NYY@BAL 08/18/2026 06:35PM ET,NYY,17.21
,,,,,,,,,,,,,,,RP,Ryan Weathers (43859692),Ryan Weathers,43859692,P,8300,NYY@BAL 08/18/2026 06:35PM ET,NYY,16.57
,,,,,,,,,,,,,,,SP,Jose Soriano (43859367),Jose Soriano,43859367,P,8300,TOR@TB 08/18/2026 06:40PM ET,TOR,16.92
,,,,,,,,,,,,,,,SP,Cody Ponce (43859689),Cody Ponce,43859689,P,8300,TOR@TB 08/18/2026 06:40PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Trey Yesavage (43859690),Trey Yesavage,43859690,P,8300,TOR@TB 08/18/2026 06:40PM ET,TOR,15.08
,,,,,,,,,,,,,,,SP,Nick Martinez (43859368),Nick Martinez,43859368,P,8000,TOR@TB 08/18/2026 06:40PM ET,TB,14.84
,,,,,,,,,,,,,,,RP,Griffin Jax (43859693),Griffin Jax,43859693,P,8000,TOR@TB 08/18/2026 06:40PM ET,TB,9.95
,,,,,,,,,,,,,,,SP,Shane McClanahan (43859694),Shane McClanahan,43859694,P,8000,TOR@TB 08/18/2026 06:40PM ET,TB,14.71
,,,,,,,,,,,,,,,RP,Joe Boyle (43859695),Joe Boyle,43859695,P,8000,TOR@TB 08/18/2026 06:40PM ET,TB,12.39
,,,,,,,,,,,,,,,SP,Shane Baz (43859369),Shane Baz,43859369,P,7800,NYY@BAL 08/18/2026 06:35PM ET,BAL,14.22
,,,,,,,,,,,,,,,SP,Zach Eflin (43859697),Zach Eflin,43859697,P,7800,NYY@BAL 08/18/2026 06:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Kyle Bradish (43859701),Kyle Bradish,43859701,P,7800,NYY@BAL 08/18/2026 06:35PM ET,BAL,14.68
,,,,,,,,,,,,,,,SP,Trevor Rogers (43859703),Trevor Rogers,43859703,P,7800,NYY@BAL 08/18/2026 06:35PM ET,BAL,13.86
,,,,,,,,,,,,,,,SP,Brandon Young (43859704),Brandon Young,43859704,P,7800,NYY@BAL 08/18/2026 06:35PM ET,BAL,14.17
,,,,,,,,,,,,,,,SP,Slade Cecconi (43859696),Slade Cecconi,43859696,P,7800,SF@CLE 08/18/2026 06:40PM ET,CLE,9.34
,,,,,,,,,,,,,,,RP,Joey Cantillo (43859698),Joey Cantillo,43859698,P,7800,SF@CLE 08/18/2026 06:40PM ET,CLE,14.58
,,,,,,,,,,,,,,,RP,Landen Roupp (43859699),Landen Roupp,43859699,P,7800,SF@CLE 08/18/2026 06:40PM ET,SF,14.47
,,,,,,,,,,,,,,,SP,Tanner Bibee (43859700),Tanner Bibee,43859700,P,7800,SF@CLE 08/18/2026 06:40PM ET,CLE,13.36
,,,,,,,,,,,,,,,RP,Framber Valdez (43859702),Framber Valdez,43859702,P,7800,DET@PIT 08/18/2026 06:40PM ET,DET,12.34
,,,,,,,,,,,,,,,SP,Jack Flaherty (43859705),Jack Flaherty,43859705,P,7800,DET@PIT 08/18/2026 06:40PM ET,DET,12.89
,,,,,,,,,,,,,,,SP,Kyle Leahy (43859370),Kyle Leahy,43859370,P,7500,STL@CIN 08/18/2026 06:40PM ET,STL,14.12
,,,,,,,,,,,,,,,RP,Andre Pallante (43859707),Andre Pallante,43859707,P,7500,STL@CIN 08/18/2026 06:40PM ET,STL,13.85
,,,,,,,,,,,,,,,SP,Sandy Alcantara (43859706),Sandy Alcantara,43859706,P,7500,MIA@PHI 08/18/2026 06:40PM ET,MIA,17.11
,,,,,,,,,,,,,,,SP,Will Warren (43859371),Will Warren,43859371,P,7300,NYY@BAL 08/18/2026 06:35PM ET,NYY,13.09
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43859712),Clarke Schmidt,43859712,P,7300,NYY@BAL 08/18/2026 06:35PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Jose Berrios (43859708),Jose Berrios,43859708,P,7300,TOR@TB 08/18/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43859709),Spencer Arrighetti,43859709,P,7300,TOR@TB 08/18/2026 06:40PM ET,TOR,13.58
,,,,,,,,,,,,,,,SP,Aaron Nola (43859710),Aaron Nola,43859710,P,7300,MIA@PHI 08/18/2026 06:40PM ET,PHI,12.66
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43859711),Jackson Rutledge,43859711,P,7300,MIA@PHI 08/18/2026 06:40PM ET,PHI,-11.8
,,,,,,,,,,,,,,,RP,Albert Suarez (43859721),Albert Suarez,43859721,P,6800,NYY@BAL 08/18/2026 06:35PM ET,BAL,4.57
,,,,,,,,,,,,,,,SP,Cade Povich (43859722),Cade Povich,43859722,P,6800,NYY@BAL 08/18/2026 06:35PM ET,BAL,10.19
,,,,,,,,,,,,,,,SP,Shane Bieber (43859718),Shane Bieber,43859718,P,6800,TOR@TB 08/18/2026 06:40PM ET,TOR,9.99
,,,,,,,,,,,,,,,SP,Max Scherzer (43859719),Max Scherzer,43859719,P,6800,TOR@TB 08/18/2026 06:40PM ET,TOR,6.16
,,,,,,,,,,,,,,,SP,Blade Tidwell (43859713),Blade Tidwell,43859713,P,6800,SF@CLE 08/18/2026 06:40PM ET,SF,4.94
,,,,,,,,,,,,,,,RP,Logan Allen (43859717),Logan Allen,43859717,P,6800,SF@CLE 08/18/2026 06:40PM ET,CLE,7.72
,,,,,,,,,,,,,,,RP,Daniel Espino (43859720),Daniel Espino,43859720,P,6800,SF@CLE 08/18/2026 06:40PM ET,CLE,4.35
,,,,,,,,,,,,,,,SP,Keider Montero (43859372),Keider Montero,43859372,P,6800,DET@PIT 08/18/2026 06:40PM ET,DET,12.55
,,,,,,,,,,,,,,,SP,Jackson Jobe (43859714),Jackson Jobe,43859714,P,6800,DET@PIT 08/18/2026 06:40PM ET,DET,9.55
,,,,,,,,,,,,,,,SP,Reese Olson (43859715),Reese Olson,43859715,P,6800,DET@PIT 08/18/2026 06:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Justin Verlander (43859716),Justin Verlander,43859716,P,6800,DET@PIT 08/18/2026 06:40PM ET,DET,-4.55
,,,,,,,,,,,,,,,SP,Andrew Abbott (43859373),Andrew Abbott,43859373,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,11.78
,,,,,,,,,,,,,,,SP,Brady Singer (43859725),Brady Singer,43859725,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,11.47
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43859726),Matthew Liberatore,43859726,P,6500,STL@CIN 08/18/2026 06:40PM ET,STL,11.55
,,,,,,,,,,,,,,,SP,Quinn Mathews (43859727),Quinn Mathews,43859727,P,6500,STL@CIN 08/18/2026 06:40PM ET,STL,12.92
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43859728),Hunter Dobbins,43859728,P,6500,STL@CIN 08/18/2026 06:40PM ET,STL,14.43
,,,,,,,,,,,,,,,SP,Michael McGreevy (43859729),Michael McGreevy,43859729,P,6500,STL@CIN 08/18/2026 06:40PM ET,STL,12.52
,,,,,,,,,,,,,,,SP,Brandon Williamson (43859730),Brandon Williamson,43859730,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,6.93
,,,,,,,,,,,,,,,SP,Connor Phillips (43859731),Connor Phillips,43859731,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,2.28
,,,,,,,,,,,,,,,SP,Nick Lodolo (43859732),Nick Lodolo,43859732,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,10.62
,,,,,,,,,,,,,,,SP,Rhett Lowder (43859733),Rhett Lowder,43859733,P,6500,STL@CIN 08/18/2026 06:40PM ET,CIN,9.04
,,,,,,,,,,,,,,,3B,Junior Caminero (43859376),Junior Caminero,43859376,3B,6500,TOR@TB 08/18/2026 06:40PM ET,TB,9.14
,,,,,,,,,,,,,,,RP,Janson Junk (43859723),Janson Junk,43859723,P,6500,MIA@PHI 08/18/2026 06:40PM ET,MIA,11.02
,,,,,,,,,,,,,,,SP,Robby Snelling (43859724),Robby Snelling,43859724,P,6500,MIA@PHI 08/18/2026 06:40PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Paul Blackburn (43859734),Paul Blackburn,43859734,P,6300,NYY@BAL 08/18/2026 06:35PM ET,NYY,4.49
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43859735),Ryan Yarbrough,43859735,P,6300,NYY@BAL 08/18/2026 06:35PM ET,NYY,3.13
,,,,,,,,,,,,,,,SP,Luis Gil (43859736),Luis Gil,43859736,P,6300,NYY@BAL 08/18/2026 06:35PM ET,NYY,5.52
,,,,,,,,,,,,,,,SP,Elmer Rodriguez (43859737),Elmer Rodriguez,43859737,P,6300,NYY@BAL 08/18/2026 06:35PM ET,NYY,5.11
,,,,,,,,,,,,,,,1B/OF,Kyle Schwarber (43859377),Kyle Schwarber,43859377,1B/OF,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,9.18
,,,,,,,,,,,,,,,RP,Brian Keller (43859738),Brian Keller,43859738,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,9.55
,,,,,,,,,,,,,,,SP,Lenny Torres (43859739),Lenny Torres,43859739,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Moises Chace (43859740),Moises Chace,43859740,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Caleb Kilian (43859741),Caleb Kilian,43859741,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,2.93
,,,,,,,,,,,,,,,SP,Alex McFarlane (43859742),Alex McFarlane,43859742,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,3.5
,,,,,,,,,,,,,,,SP,Andrew Painter (43859743),Andrew Painter,43859743,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,7.69
,,,,,,,,,,,,,,,RP,Alan Rangel (43859744),Alan Rangel,43859744,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,7.84
,,,,,,,,,,,,,,,RP,Brad Keller (43859745),Brad Keller,43859745,P,6300,MIA@PHI 08/18/2026 06:40PM ET,PHI,2.75
,,,,,,,,,,,,,,,SP,Jared Jones (43859746),Jared Jones,43859746,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,12.9
,,,,,,,,,,,,,,,RP,Mike Clevinger (43859747),Mike Clevinger,43859747,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,0
,,,,,,,,,,,,,,,RP,Wilber Dotel (43859748),Wilber Dotel,43859748,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,5.1
,,,,,,,,,,,,,,,RP,Antwone Kelly (43859749),Antwone Kelly,43859749,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,2.43
,,,,,,,,,,,,,,,RP,Thomas Harrington (43859750),Thomas Harrington,43859750,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Bubba Chandler (43859751),Bubba Chandler,43859751,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,12.27
,,,,,,,,,,,,,,,SP,Mitch Keller (43859752),Mitch Keller,43859752,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,10.28
,,,,,,,,,,,,,,,RP,Lake Bachar (43859753),Lake Bachar,43859753,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,4.71
,,,,,,,,,,,,,,,RP,Hunter Barco (43859754),Hunter Barco,43859754,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,2.31
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43859755),Carmen Mlodzinski,43859755,P,6300,DET@PIT 08/18/2026 06:40PM ET,PIT,8.28
,,,,,,,,,,,,,,,SS,Elly De La Cruz (43859379),Elly De La Cruz,43859379,SS,6100,STL@CIN 08/18/2026 06:40PM ET,CIN,9.39
,,,,,,,,,,,,,,,OF,Aaron Judge (43859556),Aaron Judge,43859556,OF,6000,NYY@BAL 08/18/2026 06:35PM ET,NYY,9.71
,,,,,,,,,,,,,,,SP,Tyler Wells (43859756),Tyler Wells,43859756,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,3.97
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43859757),Ryan Pepiot,43859757,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,0
,,,,,,,,,,,,,,,SP,Freddy Peralta (43859758),Freddy Peralta,43859758,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,11.66
,,,,,,,,,,,,,,,RP,Mason Englert (43859759),Mason Englert,43859759,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,5.55
,,,,,,,,,,,,,,,RP,Jesse Scholtens (43859760),Jesse Scholtens,43859760,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,10.59
,,,,,,,,,,,,,,,SP,Steven Matz (43859761),Steven Matz,43859761,P,6000,TOR@TB 08/18/2026 06:40PM ET,TB,5.26
,,,,,,,,,,,,,,,1B/C,Ben Rice (43859380),Ben Rice,43859380,C/1B,5900,NYY@BAL 08/18/2026 06:35PM ET,NYY,8.99
,,,,,,,,,,,,,,,RP,Keegan Akin (43859773),Keegan Akin,43859773,P,5800,NYY@BAL 08/18/2026 06:35PM ET,BAL,1.53
,,,,,,,,,,,,,,,SP,Chris Bassitt (43859774),Chris Bassitt,43859774,P,5800,NYY@BAL 08/18/2026 06:35PM ET,BAL,7.69
,,,,,,,,,,,,,,,SP,Trey Gibson (43859775),Trey Gibson,43859775,P,5800,NYY@BAL 08/18/2026 06:35PM ET,BAL,5.73
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (43859374),Carson Whisenhunt,43859374,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,8.6
,,,,,,,,,,,,,,,SP,Miguel Mendez (43859762),Miguel Mendez,43859762,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,0
,,,,,,,,,,,,,,,SP,Keaton Winn (43859763),Keaton Winn,43859763,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,2.42
,,,,,,,,,,,,,,,RP,JT Brubaker (43859764),JT Brubaker,43859764,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,3.00
,,,,,,,,,,,,,,,RP,Dylan Smith (43859765),Dylan Smith,43859765,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,2.80
,,,,,,,,,,,,,,,RP,Carson Seymour (43859766),Carson Seymour,43859766,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,2.58
,,,,,,,,,,,,,,,RP,Jose Butto (43859767),Jose Butto,43859767,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,-0.5
,,,,,,,,,,,,,,,RP,Tristan Beck (43859768),Tristan Beck,43859768,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,0.7
,,,,,,,,,,,,,,,RP,Trevor McDonald (43859769),Trevor McDonald,43859769,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,10.13
,,,,,,,,,,,,,,,RP,Hayden Birdsong (43859770),Hayden Birdsong,43859770,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,0
,,,,,,,,,,,,,,,SP,Adrian Houser (43859771),Adrian Houser,43859771,P,5800,SF@CLE 08/18/2026 06:40PM ET,SF,8.41
,,,,,,,,,,,,,,,OF,Bryce Harper (43859382),Bryce Harper,43859382,OF,5800,MIA@PHI 08/18/2026 06:40PM ET,PHI,8.68
,,,,,,,,,,,,,,,RP,Drew Anderson (43859772),Drew Anderson,43859772,P,5800,DET@PIT 08/18/2026 06:40PM ET,DET,5.39
