Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5216042666,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,1. Column A lists all of your contest entries for this draftgroup
5216048041,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,2. Your current lineup is listed next to each entry (blank for reservations)
5216048042,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5216048043,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5216048044,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,5. For faster processing only include entries you are changing in the file you upload
5216048045,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,
5216048046,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5216048057,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Corbin Burnes (43812690),Corbin Burnes,43812690,P,8900,COL@ARI 08/12/2026 03:40PM ET,ARI,0
5216048058,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Michael Soroka (43812691),Michael Soroka,43812691,P,8900,COL@ARI 08/12/2026 03:40PM ET,ARI,17.27
5216048059,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Drew Rasmussen (43812380),Drew Rasmussen,43812380,P,8700,TB@ATH 08/12/2026 03:05PM ET,TB,19.86
,,,,,,,,,,,,,,,SP,Shane McClanahan (43812693),Shane McClanahan,43812693,P,8700,TB@ATH 08/12/2026 03:05PM ET,TB,15.19
,,,,,,,,,,,,,,,SP,Peter Lambert (43812692),Peter Lambert,43812692,P,8700,HOU@SF 08/12/2026 03:45PM ET,HOU,17.42
,,,,,,,,,,,,,,,SP,Joe Ryan (43812694),Joe Ryan,43812694,P,8600,BAL@MIN 08/12/2026 01:40PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Taj Bradley (43812695),Taj Bradley,43812695,P,8600,BAL@MIN 08/12/2026 01:40PM ET,MIN,18.18
,,,,,,,,,,,,,,,SP,Shane Baz (43812381),Shane Baz,43812381,P,8300,BAL@MIN 08/12/2026 01:40PM ET,BAL,15.07
,,,,,,,,,,,,,,,SP,Brandon Young (43812696),Brandon Young,43812696,P,8300,BAL@MIN 08/12/2026 01:40PM ET,BAL,14.80
,,,,,,,,,,,,,,,SP,Kyle Bradish (43812697),Kyle Bradish,43812697,P,8300,BAL@MIN 08/12/2026 01:40PM ET,BAL,14.93
,,,,,,,,,,,,,,,SP,Trevor Rogers (43812698),Trevor Rogers,43812698,P,8300,BAL@MIN 08/12/2026 01:40PM ET,BAL,13.55
,,,,,,,,,,,,,,,SP,Zach Eflin (43812699),Zach Eflin,43812699,P,8300,BAL@MIN 08/12/2026 01:40PM ET,BAL,16.65
,,,,,,,,,,,,,,,RP,J.T. Ginn (43812700),J.T. Ginn,43812700,P,8200,TB@ATH 08/12/2026 03:05PM ET,ATH,13.91
,,,,,,,,,,,,,,,SP,Pablo Lopez (43812701),Pablo Lopez,43812701,P,8100,BAL@MIN 08/12/2026 01:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43812702),Mick Abel,43812702,P,8100,BAL@MIN 08/12/2026 01:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Robbie Ray (43812382),Robbie Ray,43812382,P,8000,MIL@SD 08/12/2026 04:10PM ET,SD,15.25
,,,,,,,,,,,,,,,SP,Joe Musgrove (43812704),Joe Musgrove,43812704,P,8000,MIL@SD 08/12/2026 04:10PM ET,SD,0
,,,,,,,,,,,,,,,RP,Michael King (43812705),Michael King,43812705,P,8000,MIL@SD 08/12/2026 04:10PM ET,SD,15.47
,,,,,,,,,,,,,,,SP,Logan Webb (43812703),Logan Webb,43812703,P,8000,HOU@SF 08/12/2026 03:45PM ET,SF,16.08
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43812706),Eduardo Rodriguez,43812706,P,7900,COL@ARI 08/12/2026 03:40PM ET,ARI,15.70
,,,,,,,,,,,,,,,RP,Griffin Jax (43812707),Griffin Jax,43812707,P,7700,TB@ATH 08/12/2026 03:05PM ET,TB,9.95
,,,,,,,,,,,,,,,RP,Ian Seymour (43812708),Ian Seymour,43812708,P,7700,TB@ATH 08/12/2026 03:05PM ET,TB,8.04
,,,,,,,,,,,,,,,RP,Joe Boyle (43812717),Joe Boyle,43812717,P,7700,TB@ATH 08/12/2026 03:05PM ET,TB,13.02
,,,,,,,,,,,,,,,RP,Nick Martinez (43812718),Nick Martinez,43812718,P,7700,TB@ATH 08/12/2026 03:05PM ET,TB,14.84
,,,,,,,,,,,,,,,SP,Kyle Leahy (43812383),Kyle Leahy,43812383,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,13.78
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43812710),Matthew Liberatore,43812710,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,11.26
,,,,,,,,,,,,,,,SP,Michael McGreevy (43812711),Michael McGreevy,43812711,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,11.96
,,,,,,,,,,,,,,,SP,Quinn Mathews (43812712),Quinn Mathews,43812712,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,7.85
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43812713),Hunter Dobbins,43812713,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,13.63
,,,,,,,,,,,,,,,RP,Andre Pallante (43812714),Andre Pallante,43812714,P,7700,PHI@STL 08/12/2026 02:15PM ET,STL,14.06
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43812715),Jackson Rutledge,43812715,P,7700,PHI@STL 08/12/2026 02:15PM ET,PHI,-11.8
,,,,,,,,,,,,,,,SP,Aaron Nola (43812716),Aaron Nola,43812716,P,7700,PHI@STL 08/12/2026 02:15PM ET,PHI,12.08
,,,,,,,,,,,,,,,RP,Hayden Wesneski (43812709),Hayden Wesneski,43812709,P,7700,HOU@SF 08/12/2026 03:45PM ET,HOU,14.73
,,,,,,,,,,,,,,,SP,Dustin May (43812384),Dustin May,43812384,P,7300,MIL@SD 08/12/2026 04:10PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Brandon Sproat (43812719),Brandon Sproat,43812719,P,7300,MIL@SD 08/12/2026 04:10PM ET,MIL,10.87
,,,,,,,,,,,,,,,RP,Shane Drohan (43812720),Shane Drohan,43812720,P,7300,MIL@SD 08/12/2026 04:10PM ET,MIL,11.65
,,,,,,,,,,,,,,,SP,Chad Patrick (43812721),Chad Patrick,43812721,P,7300,MIL@SD 08/12/2026 04:10PM ET,MIL,6.2
,,,,,,,,,,,,,,,SP,Robert Gasser (43812722),Robert Gasser,43812722,P,7300,MIL@SD 08/12/2026 04:10PM ET,MIL,12.56
,,,,,,,,,,,,,,,SP,Luis Morales (43812723),Luis Morales,43812723,P,7200,TB@ATH 08/12/2026 03:05PM ET,ATH,-2.24
,,,,,,,,,,,,,,,SP,Luis Severino (43812724),Luis Severino,43812724,P,7200,TB@ATH 08/12/2026 03:05PM ET,ATH,13.72
,,,,,,,,,,,,,,,SP,Gage Jump (43812725),Gage Jump,43812725,P,7200,TB@ATH 08/12/2026 03:05PM ET,ATH,15.29
,,,,,,,,,,,,,,,SP,Zebby Matthews (43812385),Zebby Matthews,43812385,P,7100,BAL@MIN 08/12/2026 01:40PM ET,MIN,12.58
,,,,,,,,,,,,,,,SP,Bailey Ober (43812726),Bailey Ober,43812726,P,7100,BAL@MIN 08/12/2026 01:40PM ET,MIN,11.85
,,,,,,,,,,,,,,,SP,Connor Prielipp (43812727),Connor Prielipp,43812727,P,7100,BAL@MIN 08/12/2026 01:40PM ET,MIN,13.6
,,,,,,,,,,,,,,,SP,Dean Kremer (43812728),Dean Kremer,43812728,P,7100,BAL@MIN 08/12/2026 01:40PM ET,MIN,13.38
,,,,,,,,,,,,,,,SP,JP Sears (43812730),JP Sears,43812730,P,7000,MIL@SD 08/12/2026 04:10PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,German Marquez (43812731),German Marquez,43812731,P,7000,MIL@SD 08/12/2026 04:10PM ET,SD,7.59
,,,,,,,,,,,,,,,SP,Walker Buehler (43812732),Walker Buehler,43812732,P,7000,MIL@SD 08/12/2026 04:10PM ET,SD,10.85
,,,,,,,,,,,,,,,SP,Lucas Giolito (43812733),Lucas Giolito,43812733,P,7000,MIL@SD 08/12/2026 04:10PM ET,SD,6.16
,,,,,,,,,,,,,,,RP,Landen Roupp (43812729),Landen Roupp,43812729,P,7000,HOU@SF 08/12/2026 03:45PM ET,SF,14.69
,,,,,,,,,,,,,,,SP,Merrill Kelly (43812386),Merrill Kelly,43812386,P,6900,COL@ARI 08/12/2026 03:40PM ET,ARI,10.81
,,,,,,,,,,,,,,,SP,Ryne Nelson (43812734),Ryne Nelson,43812734,P,6900,COL@ARI 08/12/2026 03:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,RP,Kohl Drake (43812735),Kohl Drake,43812735,P,6900,COL@ARI 08/12/2026 03:40PM ET,ARI,6.52
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43812736),Brandon Pfaadt,43812736,P,6900,COL@ARI 08/12/2026 03:40PM ET,ARI,9.17
,,,,,,,,,,,,,,,SP,Steven Matz (43812744),Steven Matz,43812744,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,6.16
,,,,,,,,,,,,,,,SP,Tyler Wells (43812745),Tyler Wells,43812745,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,4.23
,,,,,,,,,,,,,,,RP,Jesse Scholtens (43812746),Jesse Scholtens,43812746,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,11.42
,,,,,,,,,,,,,,,SP,Freddy Peralta (43812747),Freddy Peralta,43812747,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,11.84
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43812748),Ryan Pepiot,43812748,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,0
,,,,,,,,,,,,,,,RP,Mason Englert (43812749),Mason Englert,43812749,P,6700,TB@ATH 08/12/2026 03:05PM ET,TB,5.55
,,,,,,,,,,,,,,,SP,Ronel Blanco (43812387),Ronel Blanco,43812387,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,7.82
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43812737),Tatsuya Imai,43812737,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,11.52
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43812738),Kai-Wei Teng,43812738,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,7.20
,,,,,,,,,,,,,,,SP,Brandon Walter (43812739),Brandon Walter,43812739,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Cristian Javier (43812740),Cristian Javier,43812740,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,4.46
,,,,,,,,,,,,,,,SP,Mike Burrows (43812741),Mike Burrows,43812741,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,9.02
,,,,,,,,,,,,,,,RP,Jason Alexander (43812742),Jason Alexander,43812742,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,4.31
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43812743),AJ Blubaugh,43812743,P,6700,HOU@SF 08/12/2026 03:45PM ET,HOU,4.84
,,,,,,,,,,,,,,,3B,Junior Caminero (43812391),Junior Caminero,43812391,3B,6600,TB@ATH 08/12/2026 03:05PM ET,TB,9.27
,,,,,,,,,,,,,,,RP,Kendry Rojas (43812750),Kendry Rojas,43812750,P,6600,BAL@MIN 08/12/2026 01:40PM ET,MIN,7.43
,,,,,,,,,,,,,,,RP,Jack Anderson (43812751),Jack Anderson,43812751,P,6600,BAL@MIN 08/12/2026 01:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,David Festa (43812752),David Festa,43812752,P,6600,BAL@MIN 08/12/2026 01:40PM ET,MIN,0
,,,,,,,,,,,,,,,OF,Yordan Alvarez (43812392),Yordan Alvarez,43812392,OF,6500,HOU@SF 08/12/2026 03:45PM ET,HOU,10.34
,,,,,,,,,,,,,,,SP,Ryan Feltner (43812388),Ryan Feltner,43812388,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,8.38
,,,,,,,,,,,,,,,RP,Zach Agnos (43812753),Zach Agnos,43812753,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,2.96
,,,,,,,,,,,,,,,SP,Chase Dollander (43812754),Chase Dollander,43812754,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,13.1
,,,,,,,,,,,,,,,RP,Gabriel Hughes (43812755),Gabriel Hughes,43812755,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,9.82
,,,,,,,,,,,,,,,SP,Kyle Freeland (43812756),Kyle Freeland,43812756,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,8.59
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (43812757),Tomoyuki Sugano,43812757,P,6400,COL@ARI 08/12/2026 03:40PM ET,COL,11.08
,,,,,,,,,,,,,,,RP,Albert Suarez (43812758),Albert Suarez,43812758,P,6300,BAL@MIN 08/12/2026 01:40PM ET,BAL,4.73
,,,,,,,,,,,,,,,SP,Cade Povich (43812759),Cade Povich,43812759,P,6300,BAL@MIN 08/12/2026 01:40PM ET,BAL,10.19
,,,,,,,,,,,,,,,1B,Kyle Schwarber (43812393),Kyle Schwarber,43812393,1B,6300,PHI@STL 08/12/2026 02:15PM ET,PHI,9.19
,,,,,,,,,,,,,,,RP,DL Hall (43812760),DL Hall,43812760,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,3.66
,,,,,,,,,,,,,,,SP,Coleman Crow (43812761),Coleman Crow,43812761,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43812762),Antonio Senzatela,43812762,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,4.46
,,,,,,,,,,,,,,,SP,Colton Gordon (43812763),Colton Gordon,43812763,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Quinn Priester (43812764),Quinn Priester,43812764,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,0
,,,,,,,,,,,,,,,RP,Bryse Wilson (43812765),Bryse Wilson,43812765,P,6300,MIL@SD 08/12/2026 04:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,SP,Jack Perkins (43812389),Jack Perkins,43812389,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,6.18
,,,,,,,,,,,,,,,SP,Gunnar Hoglund (43812766),Gunnar Hoglund,43812766,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,0
,,,,,,,,,,,,,,,SP,Kade Morris (43812767),Kade Morris,43812767,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,-2.17
,,,,,,,,,,,,,,,RP,Yunior Tur (43812768),Yunior Tur,43812768,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,-7.63
,,,,,,,,,,,,,,,SP,Luis Medina (43812769),Luis Medina,43812769,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,4.00
,,,,,,,,,,,,,,,RP,Seth Johnson (43812770),Seth Johnson,43812770,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,2.28
,,,,,,,,,,,,,,,RP,Jose Suarez (43812771),Jose Suarez,43812771,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,3.18
,,,,,,,,,,,,,,,RP,Jacob Lopez (43812772),Jacob Lopez,43812772,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,9.36
,,,,,,,,,,,,,,,RP,Jeffrey Springs (43812773),Jeffrey Springs,43812773,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,8.44
,,,,,,,,,,,,,,,RP,Joey Estes (43812774),Joey Estes,43812774,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,6.15
,,,,,,,,,,,,,,,RP,Mason Barnett (43812775),Mason Barnett,43812775,P,6200,TB@ATH 08/12/2026 03:05PM ET,ATH,4.43
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43812776),Yoendrys Gomez,43812776,P,6100,BAL@MIN 08/12/2026 01:40PM ET,MIN,2.94
,,,,,,,,,,,,,,,RP,Marco Raya (43812777),Marco Raya,43812777,P,6100,BAL@MIN 08/12/2026 01:40PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43812778),Mike Paredes,43812778,P,6100,BAL@MIN 08/12/2026 01:40PM ET,MIN,5.34
,,,,,,,,,,,,,,,SP,Kyle Hart (43812780),Kyle Hart,43812780,P,6000,MIL@SD 08/12/2026 04:10PM ET,SD,3.72
,,,,,,,,,,,,,,,SP,Griffin Canning (43812781),Griffin Canning,43812781,P,6000,MIL@SD 08/12/2026 04:10PM ET,SD,7.07
,,,,,,,,,,,,,,,SP,Randy Vasquez (43812792),Randy Vasquez,43812792,P,6000,MIL@SD 08/12/2026 04:10PM ET,SD,9.35
,,,,,,,,,,,,,,,RP,Jhony Brito (43812793),Jhony Brito,43812793,P,6000,MIL@SD 08/12/2026 04:10PM ET,SD,4.33
,,,,,,,,,,,,,,,SP,Adrian Houser (43812390),Adrian Houser,43812390,P,6000,HOU@SF 08/12/2026 03:45PM ET,SF,7.83
,,,,,,,,,,,,,,,RP,Trevor McDonald (43812779),Trevor McDonald,43812779,P,6000,HOU@SF 08/12/2026 03:45PM ET,SF,10.13
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (43812782),Carson Whisenhunt,43812782,P,6000,HOU@SF 08/12/2026 03:45PM ET,SF,8.6
