Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5214517382,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Tommy White (43796089),Jeff McNeil (43796154),Junior Caminero (43795930),Taylor Walls (43796061),Lawrence Butler (43796048),Jonny DeLuca (43795973),Ryan Vilade (43796074),,1. Column A lists all of your contest entries for this draftgroup
5214517383,MLB $6K Solo Shot,193506038,$1,Noah Cameron (43795918),Logan Henderson (43795908),Jonah Heim (43796004),Jeff McNeil (43796154),Richie Palacios (43796067),Junior Caminero (43795930),Jacob Wilson (43795985),Lawrence Butler (43796048),Chandler Simpson (43795987),Ryan Vilade (43796074),,2. Your current lineup is listed next to each entry (blank for reservations)
5214517384,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Ryan Vilade (43796074),Richie Palacios (43796067),Isaac Paredes (43796019),Taylor Walls (43796061),Henry Bolte (43796038),Jonny DeLuca (43795973),Tyler Soderstrom (43795956),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5214517385,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Jonathan Aranda (43795976),Richie Palacios (43796067),Junior Caminero (43795930),Alika Williams (43796217),Henry Bolte (43796038),Lawrence Butler (43796048),Ryan Vilade (43796074),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5214517386,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Gabriel Hughes (43795921),Jonah Heim (43796004),Jonathan Aranda (43795976),Jeff McNeil (43796154),Junior Caminero (43795930),Alika Williams (43796217),Lawrence Butler (43796048),Tyler Soderstrom (43795956),Ryan Vilade (43796074),,5. For faster processing only include entries you are changing in the file you upload
5214518025,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Jonathan Aranda (43795976),Richie Palacios (43796067),Yandy Diaz (43795950),Alika Williams (43796217),Jonny DeLuca (43795973),Grant McCray (43796179),Tyler Soderstrom (43795956),,
5214518026,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Yandy Diaz (43795950),Jeff McNeil (43796154),Tommy White (43796089),Jacob Wilson (43795985),Lawrence Butler (43796048),Chandler Simpson (43795987),Ryan Vilade (43796074),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5214518037,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Christian Scott (43795916),Connor Wong (43796169),Willson Contreras (43795944),Nick Sogard (43796094),Caleb Durbin (43796032),Jackson Holliday (43796091),Dylan Beavers (43796142),Ceddanne Rafaela (43795974),Leody Taveras (43796129),,SP,Spencer Schwellenbach (43796417),Spencer Schwellenbach,43796417,P,9600,NYM@ATL 08/10/2026 07:15PM ET,ATL,0
5214518038,MLB $6K Solo Shot,193506038,$1,Hunter Dobbins (43795919),Logan Henderson (43795908),Ryan Jeffers (43795943),Jonathan Aranda (43795976),Nick Sogard (43796094),Caleb Durbin (43796032),Taylor Walls (43796061),Wilyer Abreu (43795953),Ceddanne Rafaela (43795974),Masataka Yoshida (43796130),,SP,Jacob deGrom (43796418),Jacob deGrom,43796418,P,9500,TEX@LAA 08/10/2026 09:38PM ET,TEX,18.39
5214526666,MLB $6K Solo Shot,193506038,$1,Sonny Gray (43795909),Logan Henderson (43795908),Connor Wong (43796169),Nick Sogard (43796094),Anthony Seigler (43796110),Caleb Durbin (43796032),Jackson Holliday (43796091),Colton Cowser (43796191),Shohei Ohtani (43795928),Ceddanne Rafaela (43795974),,SP,Nathan Eovaldi (43796419),Nathan Eovaldi,43796419,P,9500,TEX@LAA 08/10/2026 09:38PM ET,TEX,17.65
5214527687,MLB $2K Chin Music [Single Entry],193559278,$5,Reid Detmers (43795911),Logan Henderson (43795908),Jonah Heim (43796004),Willson Contreras (43795944),Jeff McNeil (43796154),Caleb Durbin (43796032),Kaelen Culpepper (43796207),Wilyer Abreu (43795953),Ceddanne Rafaela (43795974),Masataka Yoshida (43796130),,SP,Sonny Gray (43795909),Sonny Gray,43795909,P,9200,BOS@TOR 08/10/2026 07:07PM ET,BOS,18.00
,,,,,,,,,,,,,,,SP,Payton Tolle (43796423),Payton Tolle,43796423,P,9200,BOS@TOR 08/10/2026 07:07PM ET,BOS,19.13
,,,,,,,,,,,,,,,SP,Garrett Crochet (43796424),Garrett Crochet,43796424,P,9200,BOS@TOR 08/10/2026 07:07PM ET,BOS,13.78
,,,,,,,,,,,,,,,SP,Blake Snell (43796422),Blake Snell,43796422,P,9200,KC@LAD 08/10/2026 10:10PM ET,LAD,3.95
,,,,,,,,,,,,,,,RP,Kyle Harrison (43796420),Kyle Harrison,43796420,P,9200,MIL@SD 08/10/2026 09:40PM ET,MIL,19.11
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43796421),Brandon Woodruff,43796421,P,9200,MIL@SD 08/10/2026 09:40PM ET,MIL,16.73
,,,,,,,,,,,,,,,SP,Hunter Brown (43796425),Hunter Brown,43796425,P,9100,HOU@SF 08/10/2026 09:45PM ET,HOU,16.16
,,,,,,,,,,,,,,,SP,Jesus Luzardo (43796426),Jesus Luzardo,43796426,P,9000,PHI@STL 08/10/2026 07:45PM ET,PHI,21.00
,,,,,,,,,,,,,,,SP,Casey Mize (43795910),Casey Mize,43795910,P,9000,MIL@SD 08/10/2026 09:40PM ET,SD,15.48
,,,,,,,,,,,,,,,SP,Nick Pivetta (43796427),Nick Pivetta,43796427,P,9000,MIL@SD 08/10/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,,,,,SP,Shane McClanahan (43796429),Shane McClanahan,43796429,P,8700,TB@ATH 08/10/2026 09:40PM ET,TB,15.19
,,,,,,,,,,,,,,,SP,Ranger Suarez (43796431),Ranger Suarez,43796431,P,8700,BOS@TOR 08/10/2026 07:07PM ET,BOS,15.67
,,,,,,,,,,,,,,,SP,Taj Bradley (43796428),Taj Bradley,43796428,P,8700,BAL@MIN 08/10/2026 07:40PM ET,MIN,18.18
,,,,,,,,,,,,,,,SP,Joe Ryan (43796430),Joe Ryan,43796430,P,8700,BAL@MIN 08/10/2026 07:40PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Reid Detmers (43795911),Reid Detmers,43795911,P,8700,TEX@LAA 08/10/2026 09:38PM ET,LAA,17.13
,,,,,,,,,,,,,,,RP,Spencer Strider (43796432),Spencer Strider,43796432,P,8600,NYM@ATL 08/10/2026 07:15PM ET,ATL,14.67
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43795912),MacKenzie Gore,43795912,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,15.16
,,,,,,,,,,,,,,,RP,Cody Bradford (43796433),Cody Bradford,43796433,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,15.55
,,,,,,,,,,,,,,,RP,Jacob Latz (43796434),Jacob Latz,43796434,P,8500,TEX@LAA 08/10/2026 09:38PM ET,TEX,4.76
,,,,,,,,,,,,,,,SP,Nolan McLean (43796435),Nolan McLean,43796435,P,8400,NYM@ATL 08/10/2026 07:15PM ET,NYM,19
,,,,,,,,,,,,,,,SP,Michael Wacha (43796436),Michael Wacha,43796436,P,8400,KC@LAD 08/10/2026 10:10PM ET,KC,15.45
,,,,,,,,,,,,,,,SP,Trey Yesavage (43796437),Trey Yesavage,43796437,P,8300,BOS@TOR 08/10/2026 07:07PM ET,TOR,15.08
,,,,,,,,,,,,,,,SP,Cody Ponce (43796438),Cody Ponce,43796438,P,8300,BOS@TOR 08/10/2026 07:07PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Michael Soroka (43795913),Michael Soroka,43795913,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,SP,Corbin Burnes (43796441),Corbin Burnes,43796441,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43796444),Eduardo Rodriguez,43796444,P,8200,COL@ARI 08/10/2026 09:40PM ET,ARI,15.70
,,,,,,,,,,,,,,,SP,Bailey Ober (43796445),Bailey Ober,43796445,P,8200,BAL@MIN 08/10/2026 07:40PM ET,MIN,12.19
,,,,,,,,,,,,,,,SP,Pablo Lopez (43796446),Pablo Lopez,43796446,P,8200,BAL@MIN 08/10/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43796447),Mick Abel,43796447,P,8200,BAL@MIN 08/10/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Kris Bubic (43796442),Kris Bubic,43796442,P,8200,KC@LAD 08/10/2026 10:10PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43796443),Justin Wrobleski,43796443,P,8200,KC@LAD 08/10/2026 10:10PM ET,LAD,16.40
,,,,,,,,,,,,,,,RP,Shane Drohan (43796439),Shane Drohan,43796439,P,8200,MIL@SD 08/10/2026 09:40PM ET,MIL,11.65
,,,,,,,,,,,,,,,SP,Brandon Sproat (43796440),Brandon Sproat,43796440,P,8200,MIL@SD 08/10/2026 09:40PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Peter Lambert (43796448),Peter Lambert,43796448,P,8100,HOU@SF 08/10/2026 09:45PM ET,HOU,17.42
,,,,,,,,,,,,,,,SP,Trevor Rogers (43795914),Trevor Rogers,43795914,P,8000,BAL@MIN 08/10/2026 07:40PM ET,BAL,13.80
,,,,,,,,,,,,,,,SP,Brandon Young (43796454),Brandon Young,43796454,P,8000,BAL@MIN 08/10/2026 07:40PM ET,BAL,14.66
,,,,,,,,,,,,,,,SP,Shane Baz (43796456),Shane Baz,43796456,P,8000,BAL@MIN 08/10/2026 07:40PM ET,BAL,15.07
,,,,,,,,,,,,,,,SP,Zach Eflin (43796457),Zach Eflin,43796457,P,8000,BAL@MIN 08/10/2026 07:40PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Kyle Bradish (43796458),Kyle Bradish,43796458,P,8000,BAL@MIN 08/10/2026 07:40PM ET,BAL,14.93
,,,,,,,,,,,,,,,SP,Aaron Nola (43796451),Aaron Nola,43796451,P,8000,PHI@STL 08/10/2026 07:45PM ET,PHI,12.08
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43796453),Jackson Rutledge,43796453,P,8000,PHI@STL 08/10/2026 07:45PM ET,PHI,-11.8
,,,,,,,,,,,,,,,SP,Joe Musgrove (43796449),Joe Musgrove,43796449,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Robbie Ray (43796450),Robbie Ray,43796450,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,15.25
,,,,,,,,,,,,,,,RP,Michael King (43796455),Michael King,43796455,P,8000,MIL@SD 08/10/2026 09:40PM ET,SD,15.47
,,,,,,,,,,,,,,,SP,Logan Webb (43796452),Logan Webb,43796452,P,8000,HOU@SF 08/10/2026 09:45PM ET,SF,16.08
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43796459),Spencer Arrighetti,43796459,P,7800,BOS@TOR 08/10/2026 07:07PM ET,TOR,13.58
,,,,,,,,,,,,,,,SP,Jose Soriano (43796460),Jose Soriano,43796460,P,7800,BOS@TOR 08/10/2026 07:07PM ET,TOR,16.97
,,,,,,,,,,,,,,,RP,Kyle Leahy (43796461),Kyle Leahy,43796461,P,7800,PHI@STL 08/10/2026 07:45PM ET,STL,13.78
,,,,,,,,,,,,,,,RP,Andre Pallante (43796462),Andre Pallante,43796462,P,7800,PHI@STL 08/10/2026 07:45PM ET,STL,14.1
,,,,,,,,,,,,,,,RP,Griffin Jax (43796463),Griffin Jax,43796463,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,9.95
,,,,,,,,,,,,,,,RP,Joe Boyle (43796464),Joe Boyle,43796464,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,13.02
,,,,,,,,,,,,,,,RP,Nick Martinez (43796465),Nick Martinez,43796465,P,7700,TB@ATH 08/10/2026 09:40PM ET,TB,14.42
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43796471),Patrick Sandoval,43796471,P,7700,BOS@TOR 08/10/2026 07:07PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Kutter Crawford (43796472),Kutter Crawford,43796472,P,7700,BOS@TOR 08/10/2026 07:07PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Tanner Houck (43796473),Tanner Houck,43796473,P,7700,BOS@TOR 08/10/2026 07:07PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Jake Bennett (43796474),Jake Bennett,43796474,P,7700,BOS@TOR 08/10/2026 07:07PM ET,BOS,15.9
,,,,,,,,,,,,,,,RP,Walbert Urena (43796469),Walbert Urena,43796469,P,7700,TEX@LAA 08/10/2026 09:38PM ET,LAA,14.44
,,,,,,,,,,,,,,,SP,Yusei Kikuchi (43796470),Yusei Kikuchi,43796470,P,7700,TEX@LAA 08/10/2026 09:38PM ET,LAA,9.39
,,,,,,,,,,,,,,,SP,Dustin May (43796466),Dustin May,43796466,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Robert Gasser (43796467),Robert Gasser,43796467,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,12.56
,,,,,,,,,,,,,,,SP,Chad Patrick (43796468),Chad Patrick,43796468,P,7700,MIL@SD 08/10/2026 09:40PM ET,MIL,6.2
,,,,,,,,,,,,,,,SP,Bryce Elder (43795915),Bryce Elder,43795915,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,14.94
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43796475),AJ Smith-Shawver,43796475,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,10.15
,,,,,,,,,,,,,,,RP,Martin Perez (43796476),Martin Perez,43796476,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,12.25
,,,,,,,,,,,,,,,RP,Owen Murphy (43796477),Owen Murphy,43796477,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43796478),Reynaldo Lopez,43796478,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Tyler Mahle (43796479),Tyler Mahle,43796479,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,12.80
,,,,,,,,,,,,,,,SP,JR Ritchie (43796480),JR Ritchie,43796480,P,7600,NYM@ATL 08/10/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,J.T. Ginn (43796481),J.T. Ginn,43796481,P,7500,TB@ATH 08/10/2026 09:40PM ET,ATH,13.91
,,,,,,,,,,,,,,,SP,Christian Scott (43795916),Christian Scott,43795916,P,7400,NYM@ATL 08/10/2026 07:15PM ET,NYM,15.70
,,,,,,,,,,,,,,,SP,Tylor Megill (43796482),Tylor Megill,43796482,P,7400,NYM@ATL 08/10/2026 07:15PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Sean Manaea (43796483),Sean Manaea,43796483,P,7400,NYM@ATL 08/10/2026 07:15PM ET,NYM,10.84
,,,,,,,,,,,,,,,SP,Zac Thornton (43796484),Zac Thornton,43796484,P,7400,NYM@ATL 08/10/2026 07:15PM ET,NYM,15.24
,,,,,,,,,,,,,,,RP,Randy Dobnak (43796485),Randy Dobnak,43796485,P,7400,KC@LAD 08/10/2026 10:10PM ET,KC,11.74
,,,,,,,,,,,,,,,SP,Ryne Nelson (43796493),Ryne Nelson,43796493,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43796494),Brandon Pfaadt,43796494,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,9.17
,,,,,,,,,,,,,,,RP,Kohl Drake (43796495),Kohl Drake,43796495,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,6.52
,,,,,,,,,,,,,,,SP,Merrill Kelly (43796496),Merrill Kelly,43796496,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,10.81
,,,,,,,,,,,,,,,SP,Mitch Bratt (43796497),Mitch Bratt,43796497,P,7200,COL@ARI 08/10/2026 09:40PM ET,ARI,9.74
,,,,,,,,,,,,,,,RP,Kendry Rojas (43796486),Kendry Rojas,43796486,P,7200,BAL@MIN 08/10/2026 07:40PM ET,MIN,7.43
,,,,,,,,,,,,,,,RP,Jack Anderson (43796487),Jack Anderson,43796487,P,7200,BAL@MIN 08/10/2026 07:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Zebby Matthews (43796488),Zebby Matthews,43796488,P,7200,BAL@MIN 08/10/2026 07:40PM ET,MIN,12.58
,,,,,,,,,,,,,,,SP,David Festa (43796489),David Festa,43796489,P,7200,BAL@MIN 08/10/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Connor Prielipp (43796492),Connor Prielipp,43796492,P,7200,BAL@MIN 08/10/2026 07:40PM ET,MIN,13.6
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43796490),Emmet Sheehan,43796490,P,7200,KC@LAD 08/10/2026 10:10PM ET,LAD,12.80
,,,,,,,,,,,,,,,SP,Roki Sasaki (43796491),Roki Sasaki,43796491,P,7200,KC@LAD 08/10/2026 10:10PM ET,LAD,13.94
,,,,,,,,,,,,,,,SP,Hayden Wesneski (43795917),Hayden Wesneski,43795917,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,15.32
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43796498),Tatsuya Imai,43796498,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,11.52
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43796499),Kai-Wei Teng,43796499,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,7.20
,,,,,,,,,,,,,,,SP,Brandon Walter (43796500),Brandon Walter,43796500,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Cristian Javier (43796501),Cristian Javier,43796501,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,4.46
,,,,,,,,,,,,,,,SP,Mike Burrows (43796502),Mike Burrows,43796502,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,9.02
,,,,,,,,,,,,,,,RP,Jason Alexander (43796503),Jason Alexander,43796503,P,7100,HOU@SF 08/10/2026 09:45PM ET,HOU,4.31
,,,,,,,,,,,,,,,SP,Cade Povich (43796508),Cade Povich,43796508,P,7000,BAL@MIN 08/10/2026 07:40PM ET,BAL,10.19
,,,,,,,,,,,,,,,RP,Albert Suarez (43796509),Albert Suarez,43796509,P,7000,BAL@MIN 08/10/2026 07:40PM ET,BAL,4.73
,,,,,,,,,,,,,,,SP,JP Sears (43796504),JP Sears,43796504,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,Walker Buehler (43796505),Walker Buehler,43796505,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,10.37
,,,,,,,,,,,,,,,SP,Lucas Giolito (43796506),Lucas Giolito,43796506,P,7000,MIL@SD 08/10/2026 09:40PM ET,SD,6.16
,,,,,,,,,,,,,,,RP,Landen Roupp (43796507),Landen Roupp,43796507,P,7000,HOU@SF 08/10/2026 09:45PM ET,SF,14.69
,,,,,,,,,,,,,,,SP,Noah Cameron (43795918),Noah Cameron,43795918,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,14.41
,,,,,,,,,,,,,,,SP,Cole Ragans (43796510),Cole Ragans,43796510,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,13.19
,,,,,,,,,,,,,,,RP,Seth Lugo (43796511),Seth Lugo,43796511,P,6900,KC@LAD 08/10/2026 10:10PM ET,KC,11.85
,,,,,,,,,,,,,,,SP,Shane Bieber (43796512),Shane Bieber,43796512,P,6800,BOS@TOR 08/10/2026 07:07PM ET,TOR,8.6
,,,,,,,,,,,,,,,SP,Jose Berrios (43796513),Jose Berrios,43796513,P,6800,BOS@TOR 08/10/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43795919),Hunter Dobbins,43795919,P,6800,PHI@STL 08/10/2026 07:45PM ET,STL,13.28
,,,,,,,,,,,,,,,SP,Quinn Mathews (43796514),Quinn Mathews,43796514,P,6800,PHI@STL 08/10/2026 07:45PM ET,STL,7.85
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43796515),Matthew Liberatore,43796515,P,6800,PHI@STL 08/10/2026 07:45PM ET,STL,11.26
