Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5207341319,MLB $6K Solo Shot,193142624,$1,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5207341857,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,2. Your current lineup is listed next to each entry (blank for reservations)
5207341864,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5207341880,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5207347516,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,5. For faster processing only include entries you are changing in the file you upload
5207347803,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,
5207348036,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5207348047,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Hunter Brown (43742526),Hunter Brown,43742526,P,9500,TOR@HOU 08/03/2026 08:10PM ET,HOU,15.73
5207348048,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Gerrit Cole (43742524),Gerrit Cole,43742524,P,9500,STL@NYY 08/03/2026 07:05PM ET,NYY,18.20
5207348049,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Nathan Eovaldi (43742530),Nathan Eovaldi,43742530,P,9000,SF@TEX 08/03/2026 08:05PM ET,TEX,18.00
,,,,,,,,,,,,,,,RP,Kyle Harrison (43742527),Kyle Harrison,43742527,P,9000,PIT@MIL 08/03/2026 07:40PM ET,MIL,18.23
,,,,,,,,,,,,,,,SP,Logan Henderson (43742528),Logan Henderson,43742528,P,9000,PIT@MIL 08/03/2026 07:40PM ET,MIL,19.6
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43742179),Justin Wrobleski,43742179,P,9000,LAD@CHC 08/03/2026 08:05PM ET,LAD,18.23
,,,,,,,,,,,,,,,SP,Blake Snell (43742529),Blake Snell,43742529,P,9000,LAD@CHC 08/03/2026 08:05PM ET,LAD,3.95
,,,,,,,,,,,,,,,SP,Shane McClanahan (43742531),Shane McClanahan,43742531,P,8900,TB@COL 08/03/2026 08:40PM ET,TB,15.19
,,,,,,,,,,,,,,,SP,Drew Rasmussen (43742532),Drew Rasmussen,43742532,P,8900,TB@COL 08/03/2026 08:40PM ET,TB,19.22
,,,,,,,,,,,,,,,SP,Corbin Burnes (43742533),Corbin Burnes,43742533,P,8700,SD@ARI 08/03/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (43742534),Braxton Ashcraft,43742534,P,8600,PIT@MIL 08/03/2026 07:40PM ET,PIT,18.43
,,,,,,,,,,,,,,,SP,Joe Musgrove (43742538),Joe Musgrove,43742538,P,8500,SD@ARI 08/03/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Peter Lambert (43742537),Peter Lambert,43742537,P,8500,TOR@HOU 08/03/2026 08:10PM ET,HOU,17.89
,,,,,,,,,,,,,,,SP,Carlos Rodon (43742535),Carlos Rodon,43742535,P,8500,STL@NYY 08/03/2026 07:05PM ET,NYY,17.21
,,,,,,,,,,,,,,,SP,Max Fried (43742536),Max Fried,43742536,P,8500,STL@NYY 08/03/2026 07:05PM ET,NYY,17.16
,,,,,,,,,,,,,,,SP,Kevin Gausman (43742541),Kevin Gausman,43742541,P,8300,LAD@CHC 08/03/2026 08:05PM ET,CHC,14.56
,,,,,,,,,,,,,,,SP,Matthew Boyd (43742180),Matthew Boyd,43742180,P,8300,LAD@CHC 08/03/2026 08:05PM ET,CHC,16.01
,,,,,,,,,,,,,,,RP,Ben Brown (43742539),Ben Brown,43742539,P,8300,LAD@CHC 08/03/2026 08:05PM ET,CHC,11.57
,,,,,,,,,,,,,,,SP,Justin Steele (43742540),Justin Steele,43742540,P,8300,LAD@CHC 08/03/2026 08:05PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Shota Imanaga (43742542),Shota Imanaga,43742542,P,8300,LAD@CHC 08/03/2026 08:05PM ET,CHC,16.51
,,,,,,,,,,,,,,,SP,Michael Soroka (43742543),Michael Soroka,43742543,P,8200,SD@ARI 08/03/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43742544),Eduardo Rodriguez,43742544,P,8200,SD@ARI 08/03/2026 09:40PM ET,ARI,15.6
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43742546),MacKenzie Gore,43742546,P,8000,SF@TEX 08/03/2026 08:05PM ET,TEX,15.04
,,,,,,,,,,,,,,,SP,Brandon Sproat (43742181),Brandon Sproat,43742181,P,8000,PIT@MIL 08/03/2026 07:40PM ET,MIL,11.28
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43742549),Brandon Woodruff,43742549,P,8000,PIT@MIL 08/03/2026 07:40PM ET,MIL,16.73
,,,,,,,,,,,,,,,RP,Shane Drohan (43742550),Shane Drohan,43742550,P,8000,PIT@MIL 08/03/2026 07:40PM ET,MIL,12.2
,,,,,,,,,,,,,,,SP,Robert Gasser (43742551),Robert Gasser,43742551,P,8000,PIT@MIL 08/03/2026 07:40PM ET,MIL,13.29
,,,,,,,,,,,,,,,SP,Roki Sasaki (43742547),Roki Sasaki,43742547,P,8000,LAD@CHC 08/03/2026 08:05PM ET,LAD,13.81
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43742548),Emmet Sheehan,43742548,P,8000,LAD@CHC 08/03/2026 08:05PM ET,LAD,12.80
,,,,,,,,,,,,,,,RP,Ryan Weathers (43742545),Ryan Weathers,43742545,P,8000,STL@NYY 08/03/2026 07:05PM ET,NYY,16.06
,,,,,,,,,,,,,,,RP,Joe Boyle (43742552),Joe Boyle,43742552,P,7900,TB@COL 08/03/2026 08:40PM ET,TB,13.02
,,,,,,,,,,,,,,,RP,Nick Martinez (43742553),Nick Martinez,43742553,P,7900,TB@COL 08/03/2026 08:40PM ET,TB,14.1
,,,,,,,,,,,,,,,RP,Griffin Jax (43742554),Griffin Jax,43742554,P,7900,TB@COL 08/03/2026 08:40PM ET,TB,9.95
,,,,,,,,,,,,,,,SP,Shane Bieber (43742182),Shane Bieber,43742182,P,7800,TOR@HOU 08/03/2026 08:10PM ET,TOR,7.41
,,,,,,,,,,,,,,,SP,Cody Ponce (43742555),Cody Ponce,43742555,P,7800,TOR@HOU 08/03/2026 08:10PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Trey Yesavage (43742558),Trey Yesavage,43742558,P,7800,TOR@HOU 08/03/2026 08:10PM ET,TOR,15.73
,,,,,,,,,,,,,,,SP,Edward Cabrera (43742556),Edward Cabrera,43742556,P,7800,LAD@CHC 08/03/2026 08:05PM ET,CHC,12.11
,,,,,,,,,,,,,,,SP,Cade Horton (43742557),Cade Horton,43742557,P,7800,LAD@CHC 08/03/2026 08:05PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Javier Assad (43742559),Javier Assad,43742559,P,7800,LAD@CHC 08/03/2026 08:05PM ET,CHC,9.39
,,,,,,,,,,,,,,,SP,Jared Jones (43742560),Jared Jones,43742560,P,7600,PIT@MIL 08/03/2026 07:40PM ET,PIT,15.02
,,,,,,,,,,,,,,,RP,Michael King (43742562),Michael King,43742562,P,7500,SD@ARI 08/03/2026 09:40PM ET,SD,15.29
,,,,,,,,,,,,,,,SP,Robbie Ray (43742563),Robbie Ray,43742563,P,7500,SF@TEX 08/03/2026 08:05PM ET,SF,15.94
,,,,,,,,,,,,,,,RP,Landen Roupp (43742573),Landen Roupp,43742573,P,7500,SF@TEX 08/03/2026 08:05PM ET,SF,14.82
,,,,,,,,,,,,,,,SP,Tyler Mahle (43742574),Tyler Mahle,43742574,P,7500,SF@TEX 08/03/2026 08:05PM ET,SF,11.92
,,,,,,,,,,,,,,,SP,Cristian Javier (43742183),Cristian Javier,43742183,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,4.42
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43742564),Tatsuya Imai,43742564,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,11.17
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43742565),AJ Blubaugh,43742565,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,4.92
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43742566),Kai-Wei Teng,43742566,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,7.20
,,,,,,,,,,,,,,,SP,Brandon Walter (43742567),Brandon Walter,43742567,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Ronel Blanco (43742568),Ronel Blanco,43742568,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,9.87
,,,,,,,,,,,,,,,RP,Hayden Wesneski (43742569),Hayden Wesneski,43742569,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,12.75
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43742570),Spencer Arrighetti,43742570,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,13.58
,,,,,,,,,,,,,,,SP,Mike Burrows (43742571),Mike Burrows,43742571,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,9.02
,,,,,,,,,,,,,,,RP,Jason Alexander (43742572),Jason Alexander,43742572,P,7500,TOR@HOU 08/03/2026 08:10PM ET,HOU,4.31
,,,,,,,,,,,,,,,SP,Will Warren (43742561),Will Warren,43742561,P,7500,STL@NYY 08/03/2026 07:05PM ET,NYY,13.81
,,,,,,,,,,,,,,,SP,Dustin May (43742575),Dustin May,43742575,P,7400,STL@NYY 08/03/2026 07:05PM ET,STL,13.72
,,,,,,,,,,,,,,,RP,Kyle Leahy (43742576),Kyle Leahy,43742576,P,7400,STL@NYY 08/03/2026 07:05PM ET,STL,13.37
,,,,,,,,,,,,,,,RP,Andre Pallante (43742577),Andre Pallante,43742577,P,7400,STL@NYY 08/03/2026 07:05PM ET,STL,13.90
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43742184),Brandon Pfaadt,43742184,P,7200,SD@ARI 08/03/2026 09:40PM ET,ARI,8.10
,,,,,,,,,,,,,,,SP,Ryne Nelson (43742578),Ryne Nelson,43742578,P,7200,SD@ARI 08/03/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Merrill Kelly (43742579),Merrill Kelly,43742579,P,7200,SD@ARI 08/03/2026 09:40PM ET,ARI,10.60
,,,,,,,,,,,,,,,SP,Jack Leiter (43742580),Jack Leiter,43742580,P,7000,SF@TEX 08/03/2026 08:05PM ET,TEX,12.71
,,,,,,,,,,,,,,,RP,Jacob Latz (43742586),Jacob Latz,43742586,P,7000,SF@TEX 08/03/2026 08:05PM ET,TEX,4.67
,,,,,,,,,,,,,,,SP,Kumar Rocker (43742589),Kumar Rocker,43742589,P,7000,SF@TEX 08/03/2026 08:05PM ET,TEX,12.8
,,,,,,,,,,,,,,,SP,Chad Patrick (43742581),Chad Patrick,43742581,P,7000,PIT@MIL 08/03/2026 07:40PM ET,MIL,6.41
,,,,,,,,,,,,,,,SP,Colton Gordon (43742582),Colton Gordon,43742582,P,7000,PIT@MIL 08/03/2026 07:40PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Quinn Priester (43742583),Quinn Priester,43742583,P,7000,PIT@MIL 08/03/2026 07:40PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Gavin Stone (43742584),Gavin Stone,43742584,P,7000,LAD@CHC 08/03/2026 08:05PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Bobby Miller (43742585),Bobby Miller,43742585,P,7000,LAD@CHC 08/03/2026 08:05PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Landon Knack (43742587),Landon Knack,43742587,P,7000,LAD@CHC 08/03/2026 08:05PM ET,LAD,1.92
,,,,,,,,,,,,,,,RP,Eric Lauer (43742588),Eric Lauer,43742588,P,7000,LAD@CHC 08/03/2026 08:05PM ET,LAD,10.66
,,,,,,,,,,,,,,,SP,Ian Seymour (43742185),Ian Seymour,43742185,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,7.03
,,,,,,,,,,,,,,,RP,Mason Englert (43742590),Mason Englert,43742590,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,5.55
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43742591),Ryan Pepiot,43742591,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Steven Wilson (43742592),Steven Wilson,43742592,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Jesse Scholtens (43742593),Jesse Scholtens,43742593,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,11.42
,,,,,,,,,,,,,,,SP,Steven Matz (43742594),Steven Matz,43742594,P,6900,TB@COL 08/03/2026 08:40PM ET,TB,6.16
,,,,,,,,,,,,,,,3B,Junior Caminero (43742191),Junior Caminero,43742191,3B,6800,TB@COL 08/03/2026 08:40PM ET,TB,9.02
,,,,,,,,,,,,,,,SP,Jose Berrios (43742598),Jose Berrios,43742598,P,6800,TOR@HOU 08/03/2026 08:10PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Patrick Corbin (43742599),Patrick Corbin,43742599,P,6800,TOR@HOU 08/03/2026 08:10PM ET,TOR,7.50
,,,,,,,,,,,,,,,RP,Aaron Civale (43742595),Aaron Civale,43742595,P,6800,LAD@CHC 08/03/2026 08:05PM ET,CHC,7.75
,,,,,,,,,,,,,,,SP,Jordan Wicks (43742596),Jordan Wicks,43742596,P,6800,LAD@CHC 08/03/2026 08:05PM ET,CHC,0.66
,,,,,,,,,,,,,,,RP,Ethan Roberts (43742597),Ethan Roberts,43742597,P,6800,LAD@CHC 08/03/2026 08:05PM ET,CHC,1.93
,,,,,,,,,,,,,,,SP,Quinn Mathews (43742600),Quinn Mathews,43742600,P,6700,STL@NYY 08/03/2026 07:05PM ET,STL,7.85
,,,,,,,,,,,,,,,SP,Bubba Chandler (43742186),Bubba Chandler,43742186,P,6600,PIT@MIL 08/03/2026 07:40PM ET,PIT,11.13
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43742601),Carmen Mlodzinski,43742601,P,6600,PIT@MIL 08/03/2026 07:40PM ET,PIT,9.76
,,,,,,,,,,,,,,,SP,Mitch Keller (43742602),Mitch Keller,43742602,P,6600,PIT@MIL 08/03/2026 07:40PM ET,PIT,10.28
,,,,,,,,,,,,,,,SP,Walker Buehler (43742606),Walker Buehler,43742606,P,6500,SD@ARI 08/03/2026 09:40PM ET,SD,10.44
,,,,,,,,,,,,,,,SP,JP Sears (43742609),JP Sears,43742609,P,6500,SD@ARI 08/03/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,German Marquez (43742610),German Marquez,43742610,P,6500,SD@ARI 08/03/2026 09:40PM ET,SD,8.78
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (43742607),Carson Whisenhunt,43742607,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,8.74
,,,,,,,,,,,,,,,RP,Trevor McDonald (43742608),Trevor McDonald,43742608,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,10.13
,,,,,,,,,,,,,,,SP,Blade Tidwell (43742611),Blade Tidwell,43742611,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,3.82
,,,,,,,,,,,,,,,RP,JT Brubaker (43742612),JT Brubaker,43742612,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,3.56
,,,,,,,,,,,,,,,RP,Carson Seymour (43742613),Carson Seymour,43742613,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,-4.02
,,,,,,,,,,,,,,,RP,Tristan Beck (43742614),Tristan Beck,43742614,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,1.08
,,,,,,,,,,,,,,,RP,Dylan Smith (43742615),Dylan Smith,43742615,P,6500,SF@TEX 08/03/2026 08:05PM ET,SF,2.85
,,,,,,,,,,,,,,,RP,Gabriel Hughes (43742616),Gabriel Hughes,43742616,P,6500,TB@COL 08/03/2026 08:40PM ET,COL,12.15
,,,,,,,,,,,,,,,RP,Zach Agnos (43742617),Zach Agnos,43742617,P,6500,TB@COL 08/03/2026 08:40PM ET,COL,2.64
,,,,,,,,,,,,,,,OF,Yordan Alvarez (43742192),Yordan Alvarez,43742192,OF,6500,TOR@HOU 08/03/2026 08:10PM ET,HOU,10.68
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43742603),Clarke Schmidt,43742603,P,6500,STL@NYY 08/03/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43742604),Ryan Yarbrough,43742604,P,6500,STL@NYY 08/03/2026 07:05PM ET,NYY,3.14
,,,,,,,,,,,,,,,RP,Paul Blackburn (43742605),Paul Blackburn,43742605,P,6500,STL@NYY 08/03/2026 07:05PM ET,NYY,4.47
,,,,,,,,,,,,,,,1B/OF,Shohei Ohtani (43742193),Shohei Ohtani,43742193,1B/OF,6400,LAD@CHC 08/03/2026 08:05PM ET,LAD,9.55
,,,,,,,,,,,,,,,OF,Pete Crow-Armstrong (43742195),Pete Crow-Armstrong,43742195,OF,6300,LAD@CHC 08/03/2026 08:05PM ET,CHC,10.18
,,,,,,,,,,,,,,,RP,Jake Woodford (43742618),Jake Woodford,43742618,P,6300,LAD@CHC 08/03/2026 08:05PM ET,CHC,2.2
,,,,,,,,,,,,,,,SP,David Peterson (43742619),David Peterson,43742619,P,6300,LAD@CHC 08/03/2026 08:05PM ET,CHC,9.37
,,,,,,,,,,,,,,,RP,Colin Rea (43742620),Colin Rea,43742620,P,6300,LAD@CHC 08/03/2026 08:05PM ET,CHC,11.15
,,,,,,,,,,,,,,,RP,Kohl Drake (43742623),Kohl Drake,43742623,P,6200,SD@ARI 08/03/2026 09:40PM ET,ARI,8.88
,,,,,,,,,,,,,,,C,Hunter Goodman (43742196),Hunter Goodman,43742196,C,6200,TB@COL 08/03/2026 08:40PM ET,COL,9.11
,,,,,,,,,,,,,,,SP,Matthew Liberatore (43742187),Matthew Liberatore,43742187,P,6200,STL@NYY 08/03/2026 07:05PM ET,STL,11.77
,,,,,,,,,,,,,,,SP,Michael McGreevy (43742621),Michael McGreevy,43742621,P,6200,STL@NYY 08/03/2026 07:05PM ET,STL,12.08
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43742622),Hunter Dobbins,43742622,P,6200,STL@NYY 08/03/2026 07:05PM ET,STL,13.16
,,,,,,,,,,,,,,,OF,Fernando Tatis Jr. (43742197),Fernando Tatis Jr.,43742197,OF,6100,SD@ARI 08/03/2026 09:40PM ET,SD,8.33
