Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5225703631,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,1. Column A lists all of your contest entries for this draftgroup
5225704150,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,2. Your current lineup is listed next to each entry (blank for reservations)
5225704151,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5225704152,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5225704153,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,5. For faster processing only include entries you are changing in the file you upload
5225704154,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,
5225704155,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,SP,Gerrit Cole (43897176),Gerrit Cole,43897176,P,9200,TOR@NYY 08/21/2026 07:05PM ET,NYY,19.53
,,,,,,,,,,,,,,,RP,Ryan Weathers (43897177),Ryan Weathers,43897177,P,9200,TOR@NYY 08/21/2026 07:05PM ET,NYY,16.57
,,,,,,,,,,,,,,,SP,Sonny Gray (43896502),Sonny Gray,43896502,P,9100,SF@BOS 08/21/2026 07:10PM ET,BOS,18.27
,,,,,,,,,,,,,,,SP,Payton Tolle (43897178),Payton Tolle,43897178,P,9100,SF@BOS 08/21/2026 07:10PM ET,BOS,19.22
,,,,,,,,,,,,,,,SP,Parker Messick (43897179),Parker Messick,43897179,P,9100,CLE@COL 08/21/2026 08:40PM ET,CLE,19.93
,,,,,,,,,,,,,,,SP,Nolan McLean (43897180),Nolan McLean,43897180,P,9000,NYM@CWS 08/21/2026 07:40PM ET,NYM,18.70
,,,,,,,,,,,,,,,SP,Sean Burke (43896503),Sean Burke,43896503,P,8900,NYM@CWS 08/21/2026 07:40PM ET,CWS,18.21
,,,,,,,,,,,,,,,SP,Nathan Eovaldi (43897183),Nathan Eovaldi,43897183,P,8800,LAA@TEX 08/21/2026 08:15PM ET,TEX,17.65
,,,,,,,,,,,,,,,RP,Ian Seymour (43897184),Ian Seymour,43897184,P,8800,TB@BAL 08/21/2026 07:15PM ET,TB,8.6
,,,,,,,,,,,,,,,SP,Hunter Brown (43897182),Hunter Brown,43897182,P,8800,ATH@HOU 08/21/2026 08:10PM ET,HOU,15.28
,,,,,,,,,,,,,,,SP,Robbie Ray (43897181),Robbie Ray,43897181,P,8800,MIN@SD 08/21/2026 09:40PM ET,SD,15.22
,,,,,,,,,,,,,,,SP,Casey Mize (43897185),Casey Mize,43897185,P,8800,MIN@SD 08/21/2026 09:40PM ET,SD,15.87
,,,,,,,,,,,,,,,SP,Reid Detmers (43896504),Reid Detmers,43896504,P,8700,LAA@TEX 08/21/2026 08:15PM ET,LAA,18.25
,,,,,,,,,,,,,,,SP,Jacob deGrom (43897186),Jacob deGrom,43897186,P,8700,LAA@TEX 08/21/2026 08:15PM ET,TEX,18.47
,,,,,,,,,,,,,,,SP,Drew Rasmussen (43897190),Drew Rasmussen,43897190,P,8700,TB@BAL 08/21/2026 07:15PM ET,TB,19.18
,,,,,,,,,,,,,,,SP,Ranger Suarez (43897189),Ranger Suarez,43897189,P,8700,SF@BOS 08/21/2026 07:10PM ET,BOS,15.1
,,,,,,,,,,,,,,,SP,Peter Lambert (43897188),Peter Lambert,43897188,P,8700,ATH@HOU 08/21/2026 08:10PM ET,HOU,16.08
,,,,,,,,,,,,,,,SP,Logan Gilbert (43897187),Logan Gilbert,43897187,P,8700,CHC@SEA 08/21/2026 10:10PM ET,SEA,19.44
,,,,,,,,,,,,,,,SP,Max Meyer (43897191),Max Meyer,43897191,P,8600,WSH@MIA 08/21/2026 07:10PM ET,MIA,19.10
,,,,,,,,,,,,,,,SP,Eury Perez (43897192),Eury Perez,43897192,P,8600,WSH@MIA 08/21/2026 07:10PM ET,MIA,17.8
,,,,,,,,,,,,,,,SP,Bryce Miller (43897193),Bryce Miller,43897193,P,8600,CHC@SEA 08/21/2026 10:10PM ET,SEA,16.33
,,,,,,,,,,,,,,,SP,George Kirby (43897194),George Kirby,43897194,P,8600,CHC@SEA 08/21/2026 10:10PM ET,SEA,14.07
,,,,,,,,,,,,,,,SP,Taj Bradley (43897195),Taj Bradley,43897195,P,8600,MIN@SD 08/21/2026 09:40PM ET,MIN,17.47
,,,,,,,,,,,,,,,SP,Foster Griffin (43897198),Foster Griffin,43897198,P,8500,CLE@COL 08/21/2026 08:40PM ET,CLE,17.60
,,,,,,,,,,,,,,,SP,Matthew Boyd (43896505),Matthew Boyd,43896505,P,8500,CHC@SEA 08/21/2026 10:10PM ET,CHC,14.40
,,,,,,,,,,,,,,,SP,Shota Imanaga (43897196),Shota Imanaga,43897196,P,8500,CHC@SEA 08/21/2026 10:10PM ET,CHC,16.64
,,,,,,,,,,,,,,,SP,Kevin Gausman (43897197),Kevin Gausman,43897197,P,8500,CHC@SEA 08/21/2026 10:10PM ET,CHC,14.30
,,,,,,,,,,,,,,,SP,Joe Ryan (43897199),Joe Ryan,43897199,P,8500,MIN@SD 08/21/2026 09:40PM ET,MIN,16.49
,,,,,,,,,,,,,,,RP,Clay Holmes (43897200),Clay Holmes,43897200,P,8400,CHC@SEA 08/21/2026 10:10PM ET,CHC,15.86
,,,,,,,,,,,,,,,SP,Kris Bubic (43897201),Kris Bubic,43897201,P,8400,PIT@LAD 08/21/2026 10:10PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Corbin Burnes (43897202),Corbin Burnes,43897202,P,8300,CIN@ARI 08/21/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43897203),Justin Wrobleski,43897203,P,8300,PIT@LAD 08/21/2026 10:10PM ET,LAD,16.28
,,,,,,,,,,,,,,,SP,Joe Musgrove (43896506),Joe Musgrove,43896506,P,8300,MIN@SD 08/21/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Will Warren (43897204),Will Warren,43897204,P,8300,TOR@NYY 08/21/2026 07:05PM ET,NYY,13.02
,,,,,,,,,,,,,,,SP,Carlos Rodon (43897205),Carlos Rodon,43897205,P,8300,TOR@NYY 08/21/2026 07:05PM ET,NYY,16.74
,,,,,,,,,,,,,,,SP,Christian Scott (43897207),Christian Scott,43897207,P,8200,NYM@CWS 08/21/2026 07:40PM ET,NYM,15.57
,,,,,,,,,,,,,,,SP,Tylor Megill (43897209),Tylor Megill,43897209,P,8200,NYM@CWS 08/21/2026 07:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Cade Cavalli (43897208),Cade Cavalli,43897208,P,8200,WSH@MIA 08/21/2026 07:10PM ET,WSH,17.61
,,,,,,,,,,,,,,,SP,Cody Ponce (43897206),Cody Ponce,43897206,P,8200,TOR@NYY 08/21/2026 07:05PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Connelly Early (43897210),Connelly Early,43897210,P,8100,WSH@MIA 08/21/2026 07:10PM ET,WSH,16.23
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43896507),MacKenzie Gore,43896507,P,8000,LAA@TEX 08/21/2026 08:15PM ET,TEX,15.50
,,,,,,,,,,,,,,,SP,Zac Thornton (43897212),Zac Thornton,43897212,P,8000,NYM@CWS 08/21/2026 07:40PM ET,NYM,14.27
,,,,,,,,,,,,,,,SP,Cole Ragans (43897213),Cole Ragans,43897213,P,8000,DET@KC 08/21/2026 08:10PM ET,KC,13.19
,,,,,,,,,,,,,,,RP,Michael King (43897211),Michael King,43897211,P,8000,MIN@SD 08/21/2026 09:40PM ET,SD,15.42
,,,,,,,,,,,,,,,SP,Trey Yesavage (43897214),Trey Yesavage,43897214,P,8000,TOR@NYY 08/21/2026 07:05PM ET,TOR,15.08
,,,,,,,,,,,,,,,SP,Hunter Greene (43897216),Hunter Greene,43897216,P,7900,CIN@ARI 08/21/2026 09:40PM ET,CIN,14.29
,,,,,,,,,,,,,,,RP,Walbert Urena (43897222),Walbert Urena,43897222,P,7900,LAA@TEX 08/21/2026 08:15PM ET,LAA,14.99
,,,,,,,,,,,,,,,SP,Trevor Rogers (43896508),Trevor Rogers,43896508,P,7900,TB@BAL 08/21/2026 07:15PM ET,BAL,13.86
,,,,,,,,,,,,,,,RP,Griffin Jax (43897221),Griffin Jax,43897221,P,7900,TB@BAL 08/21/2026 07:15PM ET,TB,9.95
,,,,,,,,,,,,,,,SP,Shane Baz (43897223),Shane Baz,43897223,P,7900,TB@BAL 08/21/2026 07:15PM ET,BAL,14.64
,,,,,,,,,,,,,,,RP,Landen Roupp (43897220),Landen Roupp,43897220,P,7900,SF@BOS 08/21/2026 07:10PM ET,SF,14.07
,,,,,,,,,,,,,,,SP,Slade Cecconi (43897218),Slade Cecconi,43897218,P,7900,CLE@COL 08/21/2026 08:40PM ET,CLE,9.34
,,,,,,,,,,,,,,,SP,Michael Wacha (43897219),Michael Wacha,43897219,P,7900,DET@KC 08/21/2026 08:10PM ET,KC,15.19
,,,,,,,,,,,,,,,SP,JP Sears (43897215),JP Sears,43897215,P,7900,MIN@SD 08/21/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,Jose Soriano (43897217),Jose Soriano,43897217,P,7900,TOR@NYY 08/21/2026 07:05PM ET,TOR,16.60
,,,,,,,,,,,,,,,SP,Kyle Bradish (43897224),Kyle Bradish,43897224,P,7800,TB@BAL 08/21/2026 07:15PM ET,BAL,14.52
,,,,,,,,,,,,,,,RP,Joe Boyle (43897227),Joe Boyle,43897227,P,7800,TB@BAL 08/21/2026 07:15PM ET,TB,12.39
,,,,,,,,,,,,,,,SP,Shane McClanahan (43897228),Shane McClanahan,43897228,P,7800,TB@BAL 08/21/2026 07:15PM ET,TB,14.71
,,,,,,,,,,,,,,,SP,Brandon Young (43897229),Brandon Young,43897229,P,7800,TB@BAL 08/21/2026 07:15PM ET,BAL,14.17
,,,,,,,,,,,,,,,SP,Zach Eflin (43897231),Zach Eflin,43897231,P,7800,TB@BAL 08/21/2026 07:15PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Cristian Javier (43897225),Cristian Javier,43897225,P,7800,ATH@HOU 08/21/2026 08:10PM ET,HOU,5.09
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43897230),Tatsuya Imai,43897230,P,7800,ATH@HOU 08/21/2026 08:10PM ET,HOU,11.14
,,,,,,,,,,,,,,,SP,Bryan Woo (43897226),Bryan Woo,43897226,P,7800,CHC@SEA 08/21/2026 10:10PM ET,SEA,16.71
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43896509),Spencer Arrighetti,43896509,P,7800,TOR@NYY 08/21/2026 07:05PM ET,TOR,13.58
,,,,,,,,,,,,,,,RP,Nick Martinez (43897233),Nick Martinez,43897233,P,7700,TB@BAL 08/21/2026 07:15PM ET,TB,14.20
,,,,,,,,,,,,,,,SP,Jake Bennett (43897232),Jake Bennett,43897232,P,7700,SF@BOS 08/21/2026 07:10PM ET,BOS,15.44
,,,,,,,,,,,,,,,RP,Sandy Alcantara (43897234),Sandy Alcantara,43897234,P,7700,WSH@MIA 08/21/2026 07:10PM ET,MIA,16.63
,,,,,,,,,,,,,,,RP,Jacob Latz (43897235),Jacob Latz,43897235,P,7600,LAA@TEX 08/21/2026 08:15PM ET,TEX,4.87
,,,,,,,,,,,,,,,SP,Sean Manaea (43896510),Sean Manaea,43896510,P,7600,NYM@CWS 08/21/2026 07:40PM ET,NYM,10.99
,,,,,,,,,,,,,,,RP,David Sandlin (43897239),David Sandlin,43897239,P,7600,NYM@CWS 08/21/2026 07:40PM ET,CWS,10.5
,,,,,,,,,,,,,,,SP,Justin Steele (43897241),Justin Steele,43897241,P,7600,CHC@SEA 08/21/2026 10:10PM ET,CHC,0
,,,,,,,,,,,,,,,RP,Framber Valdez (43897237),Framber Valdez,43897237,P,7600,DET@KC 08/21/2026 08:10PM ET,DET,12.34
,,,,,,,,,,,,,,,SP,Pablo Lopez (43897236),Pablo Lopez,43897236,P,7600,MIN@SD 08/21/2026 09:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Zebby Matthews (43897238),Zebby Matthews,43897238,P,7600,MIN@SD 08/21/2026 09:40PM ET,MIN,12.84
,,,,,,,,,,,,,,,SP,Mick Abel (43897240),Mick Abel,43897240,P,7600,MIN@SD 08/21/2026 09:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Luis Castillo (43897242),Luis Castillo,43897242,P,7500,NYM@CWS 08/21/2026 07:40PM ET,CWS,11.03
,,,,,,,,,,,,,,,SP,Gage Jump (43897247),Gage Jump,43897247,P,7500,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.52
,,,,,,,,,,,,,,,SP,David Peterson (43897244),David Peterson,43897244,P,7500,CHC@SEA 08/21/2026 10:10PM ET,CHC,9.35
,,,,,,,,,,,,,,,RP,Colin Rea (43897245),Colin Rea,43897245,P,7500,CHC@SEA 08/21/2026 10:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Javier Assad (43897246),Javier Assad,43897246,P,7500,CHC@SEA 08/21/2026 10:10PM ET,CHC,9.11
,,,,,,,,,,,,,,,SP,Edward Cabrera (43897248),Edward Cabrera,43897248,P,7500,CHC@SEA 08/21/2026 10:10PM ET,CHC,10.83
,,,,,,,,,,,,,,,SP,Cade Horton (43897249),Cade Horton,43897249,P,7500,CHC@SEA 08/21/2026 10:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Jack Flaherty (43897250),Jack Flaherty,43897250,P,7500,DET@KC 08/21/2026 08:10PM ET,DET,12.89
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43897243),Emmet Sheehan,43897243,P,7500,PIT@LAD 08/21/2026 10:10PM ET,LAD,12.80
,,,,,,,,,,,,,,,SP,Luis Morales (43897251),Luis Morales,43897251,P,7400,ATH@HOU 08/21/2026 08:10PM ET,ATH,-2.24
,,,,,,,,,,,,,,,SP,Noah Cameron (43896511),Noah Cameron,43896511,P,7400,DET@KC 08/21/2026 08:10PM ET,KC,15.21
,,,,,,,,,,,,,,,SP,Roki Sasaki (43897252),Roki Sasaki,43897252,P,7400,PIT@LAD 08/21/2026 10:10PM ET,LAD,13.7
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43897253),Clarke Schmidt,43897253,P,7400,TOR@NYY 08/21/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43896512),Eduardo Rodriguez,43896512,P,7300,CIN@ARI 08/21/2026 09:40PM ET,ARI,15.90
,,,,,,,,,,,,,,,RP,Michael Soroka (43897254),Michael Soroka,43897254,P,7200,CIN@ARI 08/21/2026 09:40PM ET,ARI,17.11
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43897255),Brandon Pfaadt,43897255,P,7200,CIN@ARI 08/21/2026 09:40PM ET,ARI,10.42
,,,,,,,,,,,,,,,SP,Merrill Kelly (43897256),Merrill Kelly,43897256,P,7200,CIN@ARI 08/21/2026 09:40PM ET,ARI,9.54
,,,,,,,,,,,,,,,RP,Yusei Kikuchi (43897258),Yusei Kikuchi,43897258,P,7100,LAA@TEX 08/21/2026 08:15PM ET,LAA,9.39
,,,,,,,,,,,,,,,RP,Joey Cantillo (43896513),Joey Cantillo,43896513,P,7100,CLE@COL 08/21/2026 08:40PM ET,CLE,14.58
,,,,,,,,,,,,,,,SP,Jose Berrios (43897257),Jose Berrios,43897257,P,7100,TOR@NYY 08/21/2026 07:05PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Brady Singer (43897269),Brady Singer,43897269,P,7000,CIN@ARI 08/21/2026 09:40PM ET,CIN,11.28
,,,,,,,,,,,,,,,SP,Tanner Bibee (43897264),Tanner Bibee,43897264,P,7000,CLE@COL 08/21/2026 08:40PM ET,CLE,13.36
,,,,,,,,,,,,,,,SP,Emerson Hancock (43896514),Emerson Hancock,43896514,P,7000,CHC@SEA 08/21/2026 10:10PM ET,SEA,16.16
,,,,,,,,,,,,,,,RP,Seth Lugo (43897262),Seth Lugo,43897262,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,11.24
,,,,,,,,,,,,,,,SP,Tony Gonsolin (43897266),Tony Gonsolin,43897266,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Randy Dobnak (43897268),Randy Dobnak,43897268,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,12.71
,,,,,,,,,,,,,,,SP,Kyle Hart (43897259),Kyle Hart,43897259,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,3.88
,,,,,,,,,,,,,,,SP,Griffin Canning (43897260),Griffin Canning,43897260,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,6.93
,,,,,,,,,,,,,,,SP,Walker Buehler (43897261),Walker Buehler,43897261,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,11.02
,,,,,,,,,,,,,,,SP,Lucas Giolito (43897263),Lucas Giolito,43897263,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,6.16
,,,,,,,,,,,,,,,SP,Randy Vasquez (43897265),Randy Vasquez,43897265,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,9.32
