Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5212210414,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,1. Column A lists all of your contest entries for this draftgroup
5212210641,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,2. Your current lineup is listed next to each entry (blank for reservations)
5212210642,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5212210643,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5212210644,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,5. For faster processing only include entries you are changing in the file you upload
5212210645,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,
5212210646,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5212210658,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Payton Tolle (43784198),Payton Tolle,43784198,P,8800,ATH@BOS 08/08/2026 04:10PM ET,BOS,19.13
5212210659,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Eury Perez (43784199),Eury Perez,43784199,P,8600,LAA@MIA 08/08/2026 04:10PM ET,MIA,17.08
5212210842,MLB $5K Chin Music [Single Entry] (Early),193405220,$5,Jake Bennett (43784045),Chris Sale (43784041),Drake Baldwin (43784054),Matt Olson (43784051),Xavier Edwards (43784067),Javier Sanoja (43784084),Andruw Monasterio (43784076),Griffin Conine (43784089),Michael Harris II (43784061),Ceddanne Rafaela (43784058),,RP,AJ Smith-Shawver (43784200),AJ Smith-Shawver,43784200,P,8500,ATL@NYY 08/08/2026 03:05PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Ranger Suarez (43784201),Ranger Suarez,43784201,P,8400,ATH@BOS 08/08/2026 04:10PM ET,BOS,15.67
,,,,,,,,,,,,,,,SP,Reid Detmers (43784202),Reid Detmers,43784202,P,8300,LAA@MIA 08/08/2026 04:10PM ET,LAA,17.13
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43784203),Clarke Schmidt,43784203,P,8000,ATL@NYY 08/08/2026 03:05PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Will Warren (43784204),Will Warren,43784204,P,8000,ATL@NYY 08/08/2026 03:05PM ET,NYY,13.7
,,,,,,,,,,,,,,,RP,Walbert Urena (43784043),Walbert Urena,43784043,P,7900,LAA@MIA 08/08/2026 04:10PM ET,LAA,15.32
,,,,,,,,,,,,,,,RP,Martin Perez (43784205),Martin Perez,43784205,P,7700,ATL@NYY 08/08/2026 03:05PM ET,ATL,12.25
,,,,,,,,,,,,,,,RP,Owen Murphy (43784206),Owen Murphy,43784206,P,7700,ATL@NYY 08/08/2026 03:05PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43784207),Reynaldo Lopez,43784207,P,7700,ATL@NYY 08/08/2026 03:05PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Bryce Elder (43784208),Bryce Elder,43784208,P,7700,ATL@NYY 08/08/2026 03:05PM ET,ATL,14.94
,,,,,,,,,,,,,,,SP,Tyler Mahle (43784209),Tyler Mahle,43784209,P,7700,ATL@NYY 08/08/2026 03:05PM ET,ATL,12.80
,,,,,,,,,,,,,,,RP,Sandy Alcantara (43784044),Sandy Alcantara,43784044,P,7600,LAA@MIA 08/08/2026 04:10PM ET,MIA,16.58
,,,,,,,,,,,,,,,SP,JR Ritchie (43784210),JR Ritchie,43784210,P,7600,ATL@NYY 08/08/2026 03:05PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,J.T. Ginn (43784211),J.T. Ginn,43784211,P,7300,ATH@BOS 08/08/2026 04:10PM ET,ATH,14.08
,,,,,,,,,,,,,,,SP,Yusei Kikuchi (43784212),Yusei Kikuchi,43784212,P,7200,LAA@MIA 08/08/2026 04:10PM ET,LAA,9.39
,,,,,,,,,,,,,,,SP,Jake Bennett (43784045),Jake Bennett,43784045,P,7100,ATH@BOS 08/08/2026 04:10PM ET,BOS,16.51
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43784213),Patrick Sandoval,43784213,P,7100,ATH@BOS 08/08/2026 04:10PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Tanner Houck (43784214),Tanner Houck,43784214,P,7100,ATH@BOS 08/08/2026 04:10PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43784215),Kutter Crawford,43784215,P,7100,ATH@BOS 08/08/2026 04:10PM ET,BOS,0
,,,,,,,,,,,,,,,RP,Eduardo Rivera (43784216),Eduardo Rivera,43784216,P,7000,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.02
,,,,,,,,,,,,,,,RP,Joey Wentz (43784217),Joey Wentz,43784217,P,6800,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Grant Holmes (43784218),Grant Holmes,43784218,P,6800,ATL@NYY 08/08/2026 03:05PM ET,ATL,12.64
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43784219),Hurston Waldrep,43784219,P,6800,ATL@NYY 08/08/2026 03:05PM ET,ATL,2.33
,,,,,,,,,,,,,,,SP,Luis Morales (43784222),Luis Morales,43784222,P,6400,ATH@BOS 08/08/2026 04:10PM ET,ATH,-2.24
,,,,,,,,,,,,,,,RP,Luis Severino (43784223),Luis Severino,43784223,P,6400,ATH@BOS 08/08/2026 04:10PM ET,ATH,13.72
,,,,,,,,,,,,,,,RP,Jack Perkins (43784224),Jack Perkins,43784224,P,6400,ATH@BOS 08/08/2026 04:10PM ET,ATH,6.18
,,,,,,,,,,,,,,,RP,Jacob Lopez (43784225),Jacob Lopez,43784225,P,6400,ATH@BOS 08/08/2026 04:10PM ET,ATH,8.88
,,,,,,,,,,,,,,,RP,Janson Junk (43784220),Janson Junk,43784220,P,6400,LAA@MIA 08/08/2026 04:10PM ET,MIA,11.03
,,,,,,,,,,,,,,,SP,Robby Snelling (43784221),Robby Snelling,43784221,P,6400,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Mason Barnett (43784227),Mason Barnett,43784227,P,6300,ATH@BOS 08/08/2026 04:10PM ET,ATH,5.07
,,,,,,,,,,,,,,,RP,Tyler Phillips (43784226),Tyler Phillips,43784226,P,6300,LAA@MIA 08/08/2026 04:10PM ET,MIA,7.31
,,,,,,,,,,,,,,,RP,Mitch Farris (43784228),Mitch Farris,43784228,P,6300,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.64
,,,,,,,,,,,,,,,SP,Brayan Bello (43784234),Brayan Bello,43784234,P,6200,ATH@BOS 08/08/2026 04:10PM ET,BOS,9.13
,,,,,,,,,,,,,,,SP,Johan Oviedo (43784235),Johan Oviedo,43784235,P,6200,ATH@BOS 08/08/2026 04:10PM ET,BOS,1.45
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (43784229),Grayson Rodriguez,43784229,P,6200,LAA@MIA 08/08/2026 04:10PM ET,LAA,7.01
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43784230),Ryan Yarbrough,43784230,P,6200,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.01
,,,,,,,,,,,,,,,RP,Paul Blackburn (43784231),Paul Blackburn,43784231,P,6200,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.50
,,,,,,,,,,,,,,,SP,Elmer Rodriguez (43784232),Elmer Rodriguez,43784232,P,6200,ATL@NYY 08/08/2026 03:05PM ET,NYY,5.11
,,,,,,,,,,,,,,,SP,Luis Gil (43784233),Luis Gil,43784233,P,6200,ATL@NYY 08/08/2026 03:05PM ET,NYY,5.52
,,,,,,,,,,,,,,,SP,Gage Jump (43784046),Gage Jump,43784046,P,6000,ATH@BOS 08/08/2026 04:10PM ET,ATH,14.11
,,,,,,,,,,,,,,,1B,Ben Rice (43784047),Ben Rice,43784047,1B,6000,ATL@NYY 08/08/2026 03:05PM ET,NYY,9.13
,,,,,,,,,,,,,,,OF,Aaron Judge (43784133),Aaron Judge,43784133,OF,6000,ATL@NYY 08/08/2026 03:05PM ET,NYY,9.71
,,,,,,,,,,,,,,,RP,Didier Fuentes (43784236),Didier Fuentes,43784236,P,5900,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.78
,,,,,,,,,,,,,,,RP,Victor Mederos (43784237),Victor Mederos,43784237,P,5900,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.60
,,,,,,,,,,,,,,,SP,Austin Gomber (43784238),Austin Gomber,43784238,P,5900,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43784048),Ronald Acuna Jr.,43784048,OF,5700,ATL@NYY 08/08/2026 03:05PM ET,ATL,8.94
,,,,,,,,,,,,,,,SP,Gunnar Hoglund (43784239),Gunnar Hoglund,43784239,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,0
,,,,,,,,,,,,,,,SP,Kade Morris (43784241),Kade Morris,43784241,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,-2.17
,,,,,,,,,,,,,,,SP,Luis Medina (43784242),Luis Medina,43784242,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.99
,,,,,,,,,,,,,,,RP,Yunior Tur (43784243),Yunior Tur,43784243,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,-12.8
,,,,,,,,,,,,,,,RP,Seth Johnson (43784244),Seth Johnson,43784244,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.03
,,,,,,,,,,,,,,,RP,Jose Suarez (43784245),Jose Suarez,43784245,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.44
,,,,,,,,,,,,,,,RP,Jeffrey Springs (43784248),Jeffrey Springs,43784248,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,8.44
,,,,,,,,,,,,,,,RP,Joey Estes (43784249),Joey Estes,43784249,P,5500,ATH@BOS 08/08/2026 04:10PM ET,ATH,6.15
,,,,,,,,,,,,,,,OF,Mike Trout (43784049),Mike Trout,43784049,OF,5500,LAA@MIA 08/08/2026 04:10PM ET,LAA,8.63
,,,,,,,,,,,,,,,RP,Dax Fulton (43784240),Dax Fulton,43784240,P,5500,LAA@MIA 08/08/2026 04:10PM ET,MIA,5.02
,,,,,,,,,,,,,,,SP,Adam Mazur (43784246),Adam Mazur,43784246,P,5500,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Ryan Gusto (43784247),Ryan Gusto,43784247,P,5500,LAA@MIA 08/08/2026 04:10PM ET,MIA,6.68
,,,,,,,,,,,,,,,SP,Bradley Blalock (43784250),Bradley Blalock,43784250,P,5500,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,1B,Willson Contreras (43784050),Willson Contreras,43784050,1B,5400,ATH@BOS 08/08/2026 04:10PM ET,BOS,8.79
,,,,,,,,,,,,,,,SP,Caden Dana (43784251),Caden Dana,43784251,P,5400,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,RP,Sam Aldegheri (43784252),Sam Aldegheri,43784252,P,5400,LAA@MIA 08/08/2026 04:10PM ET,LAA,7.15
,,,,,,,,,,,,,,,1B,Nick Kurtz (43784134),Nick Kurtz,43784134,1B,5300,ATH@BOS 08/08/2026 04:10PM ET,ATH,9.22
,,,,,,,,,,,,,,,SP,George Klassen (43784253),George Klassen,43784253,P,5300,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.83
,,,,,,,,,,,,,,,RP,Brett Kerry (43784254),Brett Kerry,43784254,P,5300,LAA@MIA 08/08/2026 04:10PM ET,LAA,9.2
,,,,,,,,,,,,,,,SP,Jack Kochanowicz (43784255),Jack Kochanowicz,43784255,P,5300,LAA@MIA 08/08/2026 04:10PM ET,LAA,7.26
,,,,,,,,,,,,,,,RP,Ryan Johnson (43784256),Ryan Johnson,43784256,P,5300,LAA@MIA 08/08/2026 04:10PM ET,LAA,5.2
,,,,,,,,,,,,,,,1B,Matt Olson (43784051),Matt Olson,43784051,1B,5200,ATL@NYY 08/08/2026 03:05PM ET,ATL,9.29
,,,,,,,,,,,,,,,1B,Luis Garcia Jr. (43784052),Luis Garcia Jr.,43784052,1B,5100,ATL@NYY 08/08/2026 03:05PM ET,NYY,7.96
,,,,,,,,,,,,,,,OF,Wilyer Abreu (43784053),Wilyer Abreu,43784053,OF,5000,ATH@BOS 08/08/2026 04:10PM ET,BOS,8.17
,,,,,,,,,,,,,,,C,Drake Baldwin (43784054),Drake Baldwin,43784054,C,4900,ATL@NYY 08/08/2026 03:05PM ET,ATL,8.66
,,,,,,,,,,,,,,,2B,Jazz Chisholm Jr. (43784055),Jazz Chisholm Jr.,43784055,2B,4900,ATL@NYY 08/08/2026 03:05PM ET,NYY,7.82
,,,,,,,,,,,,,,,OF,Tyler Soderstrom (43784056),Tyler Soderstrom,43784056,OF,4800,ATH@BOS 08/08/2026 04:10PM ET,ATH,7.54
,,,,,,,,,,,,,,,SS,Zach Neto (43784057),Zach Neto,43784057,SS,4800,LAA@MIA 08/08/2026 04:10PM ET,LAA,8.27
,,,,,,,,,,,,,,,OF,Ceddanne Rafaela (43784058),Ceddanne Rafaela,43784058,OF,4700,ATH@BOS 08/08/2026 04:10PM ET,BOS,8.32
,,,,,,,,,,,,,,,OF,Trent Grisham (43784059),Trent Grisham,43784059,OF,4600,ATL@NYY 08/08/2026 03:05PM ET,NYY,6.83
,,,,,,,,,,,,,,,SS,Otto Lopez (43784060),Otto Lopez,43784060,SS,4500,LAA@MIA 08/08/2026 04:10PM ET,MIA,8.75
,,,,,,,,,,,,,,,C,Shea Langeliers (43784135),Shea Langeliers,43784135,C,4400,ATH@BOS 08/08/2026 04:10PM ET,ATH,8.56
,,,,,,,,,,,,,,,2B/3B,Curtis Mead (43784136),Curtis Mead,43784136,2B/3B,4400,ATH@BOS 08/08/2026 04:10PM ET,BOS,7.80
,,,,,,,,,,,,,,,OF,Michael Harris II (43784061),Michael Harris II,43784061,OF,4400,ATL@NYY 08/08/2026 03:05PM ET,ATL,7.96
,,,,,,,,,,,,,,,OF,Roman Anthony (43784139),Roman Anthony,43784139,OF,4300,ATH@BOS 08/08/2026 04:10PM ET,BOS,6.1
,,,,,,,,,,,,,,,2B,Ozzie Albies (43784062),Ozzie Albies,43784062,2B,4300,ATL@NYY 08/08/2026 03:05PM ET,ATL,7.58
,,,,,,,,,,,,,,,OF,Cody Bellinger (43784138),Cody Bellinger,43784138,OF,4300,ATL@NYY 08/08/2026 03:05PM ET,NYY,7.79
,,,,,,,,,,,,,,,3B/OF,Zack Gelof (43784141),Zack Gelof,43784141,3B/OF,4200,ATH@BOS 08/08/2026 04:10PM ET,ATH,7.55
,,,,,,,,,,,,,,,1B,Kyle Stowers (43784063),Kyle Stowers,43784063,1B,4200,LAA@MIA 08/08/2026 04:10PM ET,MIA,7.58
,,,,,,,,,,,,,,,OF,Giancarlo Stanton (43784140),Giancarlo Stanton,43784140,OF,4200,ATL@NYY 08/08/2026 03:05PM ET,NYY,6.79
,,,,,,,,,,,,,,,C,Adley Rutschman (43784143),Adley Rutschman,43784143,C,4100,ATH@BOS 08/08/2026 04:10PM ET,BOS,7.51
,,,,,,,,,,,,,,,OF,Heliot Ramos (43784064),Heliot Ramos,43784064,OF,4100,ATL@NYY 08/08/2026 03:05PM ET,NYY,7
,,,,,,,,,,,,,,,C,Jonah Heim (43784065),Jonah Heim,43784065,C,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,6.16
,,,,,,,,,,,,,,,SP,Braden Nett (43784259),Braden Nett,43784259,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,0
,,,,,,,,,,,,,,,SP,Henry Baez (43784263),Henry Baez,43784263,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,0
,,,,,,,,,,,,,,,RP,Jovani Moran (43784264),Jovani Moran,43784264,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.76
,,,,,,,,,,,,,,,RP,Brooks Kriske (43784267),Brooks Kriske,43784267,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.1
,,,,,,,,,,,,,,,RP,Brady Basso (43784268),Brady Basso,43784268,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,2.58
,,,,,,,,,,,,,,,RP,Garrett Whitlock (43784271),Garrett Whitlock,43784271,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,3.92
,,,,,,,,,,,,,,,RP,Hogan Harris (43784275),Hogan Harris,43784275,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.19
,,,,,,,,,,,,,,,RP,Joe La Sorsa (43784278),Joe La Sorsa,43784278,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,0.15
,,,,,,,,,,,,,,,RP,Scott Blewett (43784280),Scott Blewett,43784280,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.17
,,,,,,,,,,,,,,,RP,Zack Kelly (43784281),Zack Kelly,43784281,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,2.21
,,,,,,,,,,,,,,,RP,Erik Miller (43784284),Erik Miller,43784284,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,3.37
,,,,,,,,,,,,,,,RP,Greg Weissert (43784287),Greg Weissert,43784287,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,2.65
,,,,,,,,,,,,,,,RP,Justin Sterner (43784288),Justin Sterner,43784288,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,1.97
,,,,,,,,,,,,,,,RP,Alec Gamboa (43784289),Alec Gamboa,43784289,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.46
,,,,,,,,,,,,,,,RP,Aroldis Chapman (43784291),Aroldis Chapman,43784291,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,3.77
,,,,,,,,,,,,,,,RP,Hayden Juenger (43784293),Hayden Juenger,43784293,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,0.37
