Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5211324838,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,1. Column A lists all of your contest entries for this draftgroup
5211324977,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,2. Your current lineup is listed next to each entry (blank for reservations)
5211324978,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5211324979,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5211324980,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,5. For faster processing only include entries you are changing in the file you upload
5211324981,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,
5211324982,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5211324993,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Spencer Schwellenbach (43773089),Spencer Schwellenbach,43773089,P,9700,ATL@NYY 08/07/2026 07:05PM ET,ATL,0
5211324994,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,RP,Spencer Strider (43773090),Spencer Strider,43773090,P,9700,ATL@NYY 08/07/2026 07:05PM ET,ATL,14.67
5211324995,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Nathan Eovaldi (43772511),Nathan Eovaldi,43772511,P,9500,BAL@TEX 08/07/2026 08:15PM ET,TEX,18.00
5211324976,MLB $12K Chin Music [Single Entry],193355924,$5,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Jacob deGrom (43773093),Jacob deGrom,43773093,P,9500,BAL@TEX 08/07/2026 08:15PM ET,TEX,17.89
,,,,,,,,,,,,,,,SP,Troy Melton (43773091),Troy Melton,43773091,P,9500,DET@SF 08/07/2026 10:15PM ET,DET,21.26
,,,,,,,,,,,,,,,RP,Logan Webb (43773092),Logan Webb,43773092,P,9500,DET@SF 08/07/2026 10:15PM ET,SF,16.04
,,,,,,,,,,,,,,,SP,Max Meyer (43773095),Max Meyer,43773095,P,9200,LAA@MIA 08/07/2026 07:10PM ET,MIA,19.10
,,,,,,,,,,,,,,,SP,Parker Messick (43772512),Parker Messick,43772512,P,9200,CLE@CWS 08/07/2026 07:40PM ET,CLE,19.22
,,,,,,,,,,,,,,,SP,Gavin Williams (43773094),Gavin Williams,43773094,P,9200,CLE@CWS 08/07/2026 07:40PM ET,CLE,22.37
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43773096),Brandon Woodruff,43773096,P,9200,MIN@MIL 08/07/2026 07:40PM ET,MIL,16.73
,,,,,,,,,,,,,,,RP,Kyle Harrison (43773097),Kyle Harrison,43773097,P,9200,MIN@MIL 08/07/2026 07:40PM ET,MIL,19.11
,,,,,,,,,,,,,,,SP,Payton Tolle (43772513),Payton Tolle,43772513,P,9000,ATH@BOS 08/07/2026 07:10PM ET,BOS,17.85
,,,,,,,,,,,,,,,SP,Garrett Crochet (43773105),Garrett Crochet,43773105,P,9000,ATH@BOS 08/07/2026 07:10PM ET,BOS,13.78
,,,,,,,,,,,,,,,SP,Sonny Gray (43773106),Sonny Gray,43773106,P,9000,ATH@BOS 08/07/2026 07:10PM ET,BOS,18.00
,,,,,,,,,,,,,,,SP,George Kirby (43773099),George Kirby,43773099,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,15.96
,,,,,,,,,,,,,,,SP,Bryan Woo (43773100),Bryan Woo,43773100,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,16.44
,,,,,,,,,,,,,,,SP,Bryce Miller (43773101),Bryce Miller,43773101,P,9000,TB@SEA 08/07/2026 09:45PM ET,SEA,18.01
,,,,,,,,,,,,,,,SP,Nick Pivetta (43773098),Nick Pivetta,43773098,P,9000,HOU@SD 08/07/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,,,,,SP,Hunter Brown (43773102),Hunter Brown,43773102,P,9000,HOU@SD 08/07/2026 09:40PM ET,HOU,16.16
,,,,,,,,,,,,,,,SP,Casey Mize (43773103),Casey Mize,43773103,P,9000,HOU@SD 08/07/2026 09:40PM ET,SD,15.48
,,,,,,,,,,,,,,,SP,Peter Lambert (43773104),Peter Lambert,43773104,P,9000,HOU@SD 08/07/2026 09:40PM ET,HOU,17.89
,,,,,,,,,,,,,,,SP,Blake Snell (43773108),Blake Snell,43773108,P,8800,LAD@ARI 08/07/2026 09:40PM ET,LAD,3.95
,,,,,,,,,,,,,,,SP,Joe Ryan (43773107),Joe Ryan,43773107,P,8800,MIN@MIL 08/07/2026 07:40PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Taj Bradley (43773109),Taj Bradley,43773109,P,8800,MIN@MIL 08/07/2026 07:40PM ET,MIN,18.34
,,,,,,,,,,,,,,,SP,Sandy Alcantara (43773113),Sandy Alcantara,43773113,P,8700,LAA@MIA 08/07/2026 07:10PM ET,MIA,16.58
,,,,,,,,,,,,,,,SP,Eury Perez (43773114),Eury Perez,43773114,P,8700,LAA@MIA 08/07/2026 07:10PM ET,MIA,17.08
,,,,,,,,,,,,,,,SP,Shane McClanahan (43773115),Shane McClanahan,43773115,P,8700,TB@SEA 08/07/2026 09:45PM ET,TB,15.19
,,,,,,,,,,,,,,,SP,Max Fried (43772514),Max Fried,43772514,P,8700,ATL@NYY 08/07/2026 07:05PM ET,NYY,17.16
,,,,,,,,,,,,,,,SP,Carlos Rodon (43773110),Carlos Rodon,43773110,P,8700,ATL@NYY 08/07/2026 07:05PM ET,NYY,17.21
,,,,,,,,,,,,,,,RP,Ryan Weathers (43773111),Ryan Weathers,43773111,P,8700,ATL@NYY 08/07/2026 07:05PM ET,NYY,16.53
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43773112),AJ Smith-Shawver,43773112,P,8700,ATL@NYY 08/07/2026 07:05PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Corbin Burnes (43773116),Corbin Burnes,43773116,P,8600,LAD@ARI 08/07/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43773120),MacKenzie Gore,43773120,P,8500,BAL@TEX 08/07/2026 08:15PM ET,TEX,15.16
,,,,,,,,,,,,,,,SP,Ranger Suarez (43773117),Ranger Suarez,43773117,P,8500,ATH@BOS 08/07/2026 07:10PM ET,BOS,15.67
,,,,,,,,,,,,,,,SP,Jake Bennett (43773121),Jake Bennett,43773121,P,8500,ATH@BOS 08/07/2026 07:10PM ET,BOS,16.51
,,,,,,,,,,,,,,,SP,Kevin Gausman (43772515),Kevin Gausman,43772515,P,8500,CHC@KC 08/07/2026 08:10PM ET,CHC,14.56
,,,,,,,,,,,,,,,RP,Ben Brown (43773118),Ben Brown,43773118,P,8500,CHC@KC 08/07/2026 08:10PM ET,CHC,11.57
,,,,,,,,,,,,,,,RP,Clay Holmes (43773119),Clay Holmes,43773119,P,8500,CHC@KC 08/07/2026 08:10PM ET,CHC,17.9
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43773123),Justin Wrobleski,43773123,P,8300,LAD@ARI 08/07/2026 09:40PM ET,LAD,17.15
,,,,,,,,,,,,,,,SP,Kris Bubic (43773124),Kris Bubic,43773124,P,8300,LAD@ARI 08/07/2026 09:40PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Sean Burke (43773122),Sean Burke,43773122,P,8300,CLE@CWS 08/07/2026 07:40PM ET,CWS,18.54
,,,,,,,,,,,,,,,SP,Michael Wacha (43773125),Michael Wacha,43773125,P,8300,CHC@KC 08/07/2026 08:10PM ET,KC,15.45
,,,,,,,,,,,,,,,SP,Foster Griffin (43773126),Foster Griffin,43773126,P,8200,CLE@CWS 08/07/2026 07:40PM ET,CLE,17.41
,,,,,,,,,,,,,,,SP,Shane Drohan (43772516),Shane Drohan,43772516,P,8200,MIN@MIL 08/07/2026 07:40PM ET,MIL,12.2
,,,,,,,,,,,,,,,SP,Robert Gasser (43773127),Robert Gasser,43773127,P,8200,MIN@MIL 08/07/2026 07:40PM ET,MIL,13.29
,,,,,,,,,,,,,,,SP,Brandon Sproat (43773128),Brandon Sproat,43773128,P,8200,MIN@MIL 08/07/2026 07:40PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Reid Detmers (43773132),Reid Detmers,43773132,P,8000,LAA@MIA 08/07/2026 07:10PM ET,LAA,17.13
,,,,,,,,,,,,,,,RP,Walbert Urena (43773133),Walbert Urena,43773133,P,8000,LAA@MIA 08/07/2026 07:10PM ET,LAA,15.32
,,,,,,,,,,,,,,,SP,Emerson Hancock (43773129),Emerson Hancock,43773129,P,8000,TB@SEA 08/07/2026 09:45PM ET,SEA,16.11
,,,,,,,,,,,,,,,SP,Robbie Ray (43772517),Robbie Ray,43772517,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,15.94
,,,,,,,,,,,,,,,RP,Michael King (43773130),Michael King,43773130,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,15.05
,,,,,,,,,,,,,,,SP,Joe Musgrove (43773131),Joe Musgrove,43773131,P,8000,HOU@SD 08/07/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43773134),Tatsuya Imai,43773134,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,11.52
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43773135),Kai-Wei Teng,43773135,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,7.20
,,,,,,,,,,,,,,,SP,Brandon Walter (43773136),Brandon Walter,43773136,P,8000,HOU@SD 08/07/2026 09:40PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Shane Baz (43772518),Shane Baz,43772518,P,7800,BAL@TEX 08/07/2026 08:15PM ET,BAL,14.30
,,,,,,,,,,,,,,,SP,Trevor Rogers (43773140),Trevor Rogers,43773140,P,7800,BAL@TEX 08/07/2026 08:15PM ET,BAL,13.80
,,,,,,,,,,,,,,,SP,Brandon Young (43773141),Brandon Young,43773141,P,7800,BAL@TEX 08/07/2026 08:15PM ET,BAL,14.66
,,,,,,,,,,,,,,,SP,Kyle Bradish (43773142),Kyle Bradish,43773142,P,7800,BAL@TEX 08/07/2026 08:15PM ET,BAL,14.88
,,,,,,,,,,,,,,,SP,Zach Eflin (43773143),Zach Eflin,43773143,P,7800,BAL@TEX 08/07/2026 08:15PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Pablo Lopez (43773137),Pablo Lopez,43773137,P,7800,MIN@MIL 08/07/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Bailey Ober (43773138),Bailey Ober,43773138,P,7800,MIN@MIL 08/07/2026 07:40PM ET,MIN,12.19
,,,,,,,,,,,,,,,SP,Mick Abel (43773139),Mick Abel,43773139,P,7800,MIN@MIL 08/07/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,RP,Joey Cantillo (43773146),Joey Cantillo,43773146,P,7700,CLE@CWS 08/07/2026 07:40PM ET,CLE,14.48
,,,,,,,,,,,,,,,SP,Tanner Bibee (43773148),Tanner Bibee,43773148,P,7700,CLE@CWS 08/07/2026 07:40PM ET,CLE,13.85
,,,,,,,,,,,,,,,RP,Griffin Jax (43773147),Griffin Jax,43773147,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,9.95
,,,,,,,,,,,,,,,RP,Joe Boyle (43773158),Joe Boyle,43773158,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,13.02
,,,,,,,,,,,,,,,SP,Freddy Peralta (43773159),Freddy Peralta,43773159,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,11.77
,,,,,,,,,,,,,,,RP,Nick Martinez (43773160),Nick Martinez,43773160,P,7700,TB@SEA 08/07/2026 09:45PM ET,TB,14.42
,,,,,,,,,,,,,,,SP,Kyle Leahy (43772519),Kyle Leahy,43772519,P,7700,COL@STL 08/07/2026 08:15PM ET,STL,13.37
,,,,,,,,,,,,,,,SP,Michael McGreevy (43773155),Michael McGreevy,43773155,P,7700,COL@STL 08/07/2026 08:15PM ET,STL,12.11
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43773156),Hunter Dobbins,43773156,P,7700,COL@STL 08/07/2026 08:15PM ET,STL,13.28
,,,,,,,,,,,,,,,RP,Andre Pallante (43773157),Andre Pallante,43773157,P,7700,COL@STL 08/07/2026 08:15PM ET,STL,14.1
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43773144),Clarke Schmidt,43773144,P,7700,ATL@NYY 08/07/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Will Warren (43773145),Will Warren,43773145,P,7700,ATL@NYY 08/07/2026 07:05PM ET,NYY,13.7
,,,,,,,,,,,,,,,RP,Owen Murphy (43773149),Owen Murphy,43773149,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,5.2
,,,,,,,,,,,,,,,SP,Bryce Elder (43773150),Bryce Elder,43773150,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,14.94
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43773151),Reynaldo Lopez,43773151,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Tyler Mahle (43773152),Tyler Mahle,43773152,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,11.92
,,,,,,,,,,,,,,,RP,Martin Perez (43773153),Martin Perez,43773153,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,12.25
,,,,,,,,,,,,,,,SP,JR Ritchie (43773154),JR Ritchie,43773154,P,7700,ATL@NYY 08/07/2026 07:05PM ET,ATL,9.08
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43773161),Brandon Pfaadt,43773161,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,8.76
,,,,,,,,,,,,,,,SP,Michael Soroka (43773162),Michael Soroka,43773162,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43773163),Eduardo Rodriguez,43773163,P,7600,LAD@ARI 08/07/2026 09:40PM ET,ARI,15.10
,,,,,,,,,,,,,,,SP,Shota Imanaga (43773165),Shota Imanaga,43773165,P,7500,CHC@KC 08/07/2026 08:10PM ET,CHC,16.68
,,,,,,,,,,,,,,,SP,Justin Steele (43773166),Justin Steele,43773166,P,7500,CHC@KC 08/07/2026 08:10PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Matthew Boyd (43773167),Matthew Boyd,43773167,P,7500,CHC@KC 08/07/2026 08:10PM ET,CHC,15.62
,,,,,,,,,,,,,,,SP,Edward Cabrera (43773169),Edward Cabrera,43773169,P,7500,CHC@KC 08/07/2026 08:10PM ET,CHC,12.11
,,,,,,,,,,,,,,,SP,Cade Horton (43773170),Cade Horton,43773170,P,7500,CHC@KC 08/07/2026 08:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Keider Montero (43772520),Keider Montero,43772520,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.57
,,,,,,,,,,,,,,,SP,Jack Flaherty (43773164),Jack Flaherty,43773164,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.89
,,,,,,,,,,,,,,,RP,Landen Roupp (43773168),Landen Roupp,43773168,P,7500,DET@SF 08/07/2026 10:15PM ET,SF,14.82
,,,,,,,,,,,,,,,RP,Framber Valdez (43773171),Framber Valdez,43773171,P,7500,DET@SF 08/07/2026 10:15PM ET,DET,12.67
,,,,,,,,,,,,,,,RP,J.T. Ginn (43773172),J.T. Ginn,43773172,P,7400,ATH@BOS 08/07/2026 07:10PM ET,ATH,14.08
,,,,,,,,,,,,,,,SP,Roki Sasaki (43772521),Roki Sasaki,43772521,P,7300,LAD@ARI 08/07/2026 09:40PM ET,LAD,13.81
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43773174),Emmet Sheehan,43773174,P,7300,LAD@ARI 08/07/2026 09:40PM ET,LAD,12.80
,,,,,,,,,,,,,,,RP,David Sandlin (43773173),David Sandlin,43773173,P,7300,CLE@CWS 08/07/2026 07:40PM ET,CWS,12.62
,,,,,,,,,,,,,,,SP,Davis Martin (43773175),Davis Martin,43773175,P,7300,CLE@CWS 08/07/2026 07:40PM ET,CWS,14.20
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43773176),Jonathan Cannon,43773176,P,7300,CLE@CWS 08/07/2026 07:40PM ET,CWS,-3.8
,,,,,,,,,,,,,,,SP,Luis Castillo (43773177),Luis Castillo,43773177,P,7300,CLE@CWS 08/07/2026 07:40PM ET,CWS,10.22
,,,,,,,,,,,,,,,RP,Shane Smith (43773178),Shane Smith,43773178,P,7300,CLE@CWS 08/07/2026 07:40PM ET,CWS,2.52
,,,,,,,,,,,,,,,RP,Randy Dobnak (43773179),Randy Dobnak,43773179,P,7300,CHC@KC 08/07/2026 08:10PM ET,KC,12.92
,,,,,,,,,,,,,,,SP,Slade Cecconi (43773180),Slade Cecconi,43773180,P,7200,CLE@CWS 08/07/2026 07:40PM ET,CLE,9.34
,,,,,,,,,,,,,,,SP,Dustin May (43773181),Dustin May,43773181,P,7200,MIN@MIL 08/07/2026 07:40PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Chad Patrick (43773182),Chad Patrick,43773182,P,7200,MIN@MIL 08/07/2026 07:40PM ET,MIL,6.30
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43773189),Patrick Sandoval,43773189,P,7000,ATH@BOS 08/07/2026 07:10PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Tanner Houck (43773195),Tanner Houck,43773195,P,7000,ATH@BOS 08/07/2026 07:10PM ET,BOS,0
