Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5209342971,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,1. Column A lists all of your contest entries for this draftgroup
5209352493,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,2. Your current lineup is listed next to each entry (blank for reservations)
5209352494,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5209352495,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5209352496,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,5. For faster processing only include entries you are changing in the file you upload
5209352497,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,
5209352498,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,SP,Payton Tolle (43755908),Payton Tolle,43755908,P,8800,CWS@BOS 08/05/2026 07:10PM ET,BOS,17.85
,,,,,,,,,,,,,,,SP,Ranger Suarez (43755909),Ranger Suarez,43755909,P,8800,CWS@BOS 08/05/2026 07:10PM ET,BOS,16.33
,,,,,,,,,,,,,,,RP,Drew Anderson (43755910),Drew Anderson,43755910,P,8800,DET@SEA 08/05/2026 09:40PM ET,DET,5.08
,,,,,,,,,,,,,,,RP,Ryan Weathers (43755906),Ryan Weathers,43755906,P,8800,STL@NYY 08/05/2026 07:05PM ET,NYY,16.53
,,,,,,,,,,,,,,,SP,Carlos Rodon (43755907),Carlos Rodon,43755907,P,8800,STL@NYY 08/05/2026 07:05PM ET,NYY,17.21
,,,,,,,,,,,,,,,SP,Max Fried (43755911),Max Fried,43755911,P,8800,STL@NYY 08/05/2026 07:05PM ET,NYY,17.16
,,,,,,,,,,,,,,,SP,Sean Burke (43755558),Sean Burke,43755558,P,8700,CWS@BOS 08/05/2026 07:10PM ET,CWS,18.94
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (43755912),Braxton Ashcraft,43755912,P,8600,PIT@MIL 08/05/2026 07:40PM ET,PIT,18.43
,,,,,,,,,,,,,,,SP,Corbin Burnes (43755913),Corbin Burnes,43755913,P,8500,SD@ARI 08/05/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Kyle Harrison (43755559),Kyle Harrison,43755559,P,8500,PIT@MIL 08/05/2026 07:40PM ET,MIL,18.23
,,,,,,,,,,,,,,,RP,Shane Drohan (43755914),Shane Drohan,43755914,P,8500,PIT@MIL 08/05/2026 07:40PM ET,MIL,12.2
,,,,,,,,,,,,,,,SP,Brandon Sproat (43755915),Brandon Sproat,43755915,P,8500,PIT@MIL 08/05/2026 07:40PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Robert Gasser (43755916),Robert Gasser,43755916,P,8500,PIT@MIL 08/05/2026 07:40PM ET,MIL,13.29
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43755917),AJ Smith-Shawver,43755917,P,8400,MIA@ATL 08/05/2026 07:15PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Eury Perez (43755560),Eury Perez,43755560,P,8300,MIA@ATL 08/05/2026 07:15PM ET,MIA,17.14
,,,,,,,,,,,,,,,SP,Sandy Alcantara (43755922),Sandy Alcantara,43755922,P,8300,MIA@ATL 08/05/2026 07:15PM ET,MIA,16.58
,,,,,,,,,,,,,,,SP,Jake Bennett (43755920),Jake Bennett,43755920,P,8300,CWS@BOS 08/05/2026 07:10PM ET,BOS,16.51
,,,,,,,,,,,,,,,SP,Mick Abel (43755918),Mick Abel,43755918,P,8300,MIN@KC 08/05/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Taj Bradley (43755919),Taj Bradley,43755919,P,8300,MIN@KC 08/05/2026 07:40PM ET,MIN,18.34
,,,,,,,,,,,,,,,SP,Pablo Lopez (43755921),Pablo Lopez,43755921,P,8300,MIN@KC 08/05/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Robbie Ray (43755561),Robbie Ray,43755561,P,8000,SD@ARI 08/05/2026 09:40PM ET,SD,15.94
,,,,,,,,,,,,,,,RP,Michael King (43755924),Michael King,43755924,P,8000,SD@ARI 08/05/2026 09:40PM ET,SD,15.05
,,,,,,,,,,,,,,,SP,Joe Musgrove (43755925),Joe Musgrove,43755925,P,8000,SD@ARI 08/05/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Emerson Hancock (43755923),Emerson Hancock,43755923,P,8000,DET@SEA 08/05/2026 09:40PM ET,SEA,16.11
,,,,,,,,,,,,,,,SP,Jack Flaherty (43755926),Jack Flaherty,43755926,P,7800,DET@SEA 08/05/2026 09:40PM ET,DET,12.89
,,,,,,,,,,,,,,,RP,Keider Montero (43755927),Keider Montero,43755927,P,7800,DET@SEA 08/05/2026 09:40PM ET,DET,12.57
,,,,,,,,,,,,,,,SP,Will Warren (43755562),Will Warren,43755562,P,7800,STL@NYY 08/05/2026 07:05PM ET,NYY,13.81
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43755928),Clarke Schmidt,43755928,P,7800,STL@NYY 08/05/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,RP,Randy Dobnak (43755933),Randy Dobnak,43755933,P,7600,MIN@KC 08/05/2026 07:40PM ET,KC,12.92
,,,,,,,,,,,,,,,SP,Jared Jones (43755929),Jared Jones,43755929,P,7600,PIT@MIL 08/05/2026 07:40PM ET,PIT,14.23
,,,,,,,,,,,,,,,SP,Bubba Chandler (43755930),Bubba Chandler,43755930,P,7600,PIT@MIL 08/05/2026 07:40PM ET,PIT,11.44
,,,,,,,,,,,,,,,SP,Mitch Keller (43755931),Mitch Keller,43755931,P,7600,PIT@MIL 08/05/2026 07:40PM ET,PIT,10.28
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43755932),Carmen Mlodzinski,43755932,P,7600,PIT@MIL 08/05/2026 07:40PM ET,PIT,9.76
,,,,,,,,,,,,,,,RP,Michael Soroka (43755934),Michael Soroka,43755934,P,7500,SD@ARI 08/05/2026 09:40PM ET,ARI,17.47
,,,,,,,,,,,,,,,RP,Eduardo Rodriguez (43755936),Eduardo Rodriguez,43755936,P,7500,SD@ARI 08/05/2026 09:40PM ET,ARI,15.10
,,,,,,,,,,,,,,,SP,Dustin May (43755935),Dustin May,43755935,P,7500,PIT@MIL 08/05/2026 07:40PM ET,MIL,13.72
,,,,,,,,,,,,,,,SP,Chad Patrick (43755937),Chad Patrick,43755937,P,7500,PIT@MIL 08/05/2026 07:40PM ET,MIL,6.40
,,,,,,,,,,,,,,,SP,Bryce Elder (43755563),Bryce Elder,43755563,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,14.60
,,,,,,,,,,,,,,,RP,Owen Murphy (43755938),Owen Murphy,43755938,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43755939),Reynaldo Lopez,43755939,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Tyler Mahle (43755940),Tyler Mahle,43755940,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,11.92
,,,,,,,,,,,,,,,RP,Martin Perez (43755941),Martin Perez,43755941,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,12.26
,,,,,,,,,,,,,,,SP,JR Ritchie (43755942),JR Ritchie,43755942,P,7400,MIA@ATL 08/05/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,SP,Robby Snelling (43755943),Robby Snelling,43755943,P,7300,MIA@ATL 08/05/2026 07:15PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,David Sandlin (43755944),David Sandlin,43755944,P,7200,CWS@BOS 08/05/2026 07:10PM ET,CWS,12.62
,,,,,,,,,,,,,,,SP,Davis Martin (43755945),Davis Martin,43755945,P,7200,CWS@BOS 08/05/2026 07:10PM ET,CWS,14.20
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43755946),Jonathan Cannon,43755946,P,7200,CWS@BOS 08/05/2026 07:10PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Shane Smith (43755947),Shane Smith,43755947,P,7200,CWS@BOS 08/05/2026 07:10PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Logan Evans (43755948),Logan Evans,43755948,P,7000,DET@SEA 08/05/2026 09:40PM ET,SEA,0
,,,,,,,,,,,,,,,RP,Cooper Criswell (43755949),Cooper Criswell,43755949,P,7000,DET@SEA 08/05/2026 09:40PM ET,SEA,2.95
,,,,,,,,,,,,,,,SP,Andre Pallante (43755564),Andre Pallante,43755564,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,13.90
,,,,,,,,,,,,,,,RP,Kyle Leahy (43755950),Kyle Leahy,43755950,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,13.37
,,,,,,,,,,,,,,,SP,Michael McGreevy (43755951),Michael McGreevy,43755951,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,12.11
,,,,,,,,,,,,,,,SP,Quinn Mathews (43755952),Quinn Mathews,43755952,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,7.85
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43755953),Matthew Liberatore,43755953,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,11.77
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43755954),Hunter Dobbins,43755954,P,7000,STL@NYY 08/05/2026 07:05PM ET,STL,13.28
,,,,,,,,,,,,,,,RP,Grant Holmes (43755955),Grant Holmes,43755955,P,6900,MIA@ATL 08/05/2026 07:15PM ET,ATL,12.64
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43755961),Patrick Sandoval,43755961,P,6800,CWS@BOS 08/05/2026 07:10PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Tanner Houck (43755962),Tanner Houck,43755962,P,6800,CWS@BOS 08/05/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43755963),Kutter Crawford,43755963,P,6800,CWS@BOS 08/05/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,RP,Eduardo Rivera (43755964),Eduardo Rivera,43755964,P,6800,CWS@BOS 08/05/2026 07:10PM ET,BOS,5.02
,,,,,,,,,,,,,,,RP,Framber Valdez (43755957),Framber Valdez,43755957,P,6800,DET@SEA 08/05/2026 09:40PM ET,DET,12.09
,,,,,,,,,,,,,,,SP,Reese Olson (43755958),Reese Olson,43755958,P,6800,DET@SEA 08/05/2026 09:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Jackson Jobe (43755959),Jackson Jobe,43755959,P,6800,DET@SEA 08/05/2026 09:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Justin Verlander (43755960),Justin Verlander,43755960,P,6800,DET@SEA 08/05/2026 09:40PM ET,DET,-4.55
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43755956),Ryan Yarbrough,43755956,P,6800,STL@NYY 08/05/2026 07:05PM ET,NYY,3.01
,,,,,,,,,,,,,,,SP,Noah Cameron (43755565),Noah Cameron,43755565,P,6600,MIN@KC 08/05/2026 07:40PM ET,KC,13.43
,,,,,,,,,,,,,,,SP,Cole Ragans (43755965),Cole Ragans,43755965,P,6600,MIN@KC 08/05/2026 07:40PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Michael Wacha (43755966),Michael Wacha,43755966,P,6600,MIN@KC 08/05/2026 07:40PM ET,KC,15.74
,,,,,,,,,,,,,,,RP,Seth Lugo (43755967),Seth Lugo,43755967,P,6600,MIN@KC 08/05/2026 07:40PM ET,KC,11.59
,,,,,,,,,,,,,,,RP,Lake Bachar (43755968),Lake Bachar,43755968,P,6600,PIT@MIL 08/05/2026 07:40PM ET,PIT,4.4
,,,,,,,,,,,,,,,SP,Ryne Nelson (43755971),Ryne Nelson,43755971,P,6500,SD@ARI 08/05/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43755972),Brandon Pfaadt,43755972,P,6500,SD@ARI 08/05/2026 09:40PM ET,ARI,8.76
,,,,,,,,,,,,,,,SP,Merrill Kelly (43755973),Merrill Kelly,43755973,P,6500,SD@ARI 08/05/2026 09:40PM ET,ARI,10.60
,,,,,,,,,,,,,,,SP,JP Sears (43755974),JP Sears,43755974,P,6500,SD@ARI 08/05/2026 09:40PM ET,SD,9.24
,,,,,,,,,,,,,,,SP,Walker Buehler (43755975),Walker Buehler,43755975,P,6500,SD@ARI 08/05/2026 09:40PM ET,SD,10.44
,,,,,,,,,,,,,,,SP,German Marquez (43755976),German Marquez,43755976,P,6500,SD@ARI 08/05/2026 09:40PM ET,SD,7.59
,,,,,,,,,,,,,,,SP,Lucas Giolito (43755977),Lucas Giolito,43755977,P,6500,SD@ARI 08/05/2026 09:40PM ET,SD,6.16
,,,,,,,,,,,,,,,SP,Colton Gordon (43755969),Colton Gordon,43755969,P,6500,PIT@MIL 08/05/2026 07:40PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Quinn Priester (43755970),Quinn Priester,43755970,P,6500,PIT@MIL 08/05/2026 07:40PM ET,MIL,0
,,,,,,,,,,,,,,,RP,Joey Wentz (43755978),Joey Wentz,43755978,P,6400,MIA@ATL 08/05/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Victor Mederos (43755979),Victor Mederos,43755979,P,6400,MIA@ATL 08/05/2026 07:15PM ET,ATL,3.66
,,,,,,,,,,,,,,,RP,Didier Fuentes (43755980),Didier Fuentes,43755980,P,6400,MIA@ATL 08/05/2026 07:15PM ET,ATL,4.76
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43755981),Hurston Waldrep,43755981,P,6400,MIA@ATL 08/05/2026 07:15PM ET,ATL,2.33
,,,,,,,,,,,,,,,RP,Janson Junk (43755987),Janson Junk,43755987,P,6300,MIA@ATL 08/05/2026 07:15PM ET,MIA,11.69
,,,,,,,,,,,,,,,RP,Tyler Phillips (43755988),Tyler Phillips,43755988,P,6300,MIA@ATL 08/05/2026 07:15PM ET,MIA,7.16
,,,,,,,,,,,,,,,SP,Dean Kremer (43755566),Dean Kremer,43755566,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,11.37
,,,,,,,,,,,,,,,SP,Connor Prielipp (43755982),Connor Prielipp,43755982,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,13.50
,,,,,,,,,,,,,,,RP,Jack Anderson (43755983),Jack Anderson,43755983,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Zebby Matthews (43755984),Zebby Matthews,43755984,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,12.63
,,,,,,,,,,,,,,,SP,Bailey Ober (43755985),Bailey Ober,43755985,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,12.71
,,,,,,,,,,,,,,,SP,David Festa (43755986),David Festa,43755986,P,6300,MIN@KC 08/05/2026 07:40PM ET,MIN,0
,,,,,,,,,,,,,,,RP,Jose Urquidy (43755989),Jose Urquidy,43755989,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,0.81
,,,,,,,,,,,,,,,RP,Trevor Richards (43755990),Trevor Richards,43755990,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,4.28
,,,,,,,,,,,,,,,RP,Mike Vasil (43755991),Mike Vasil,43755991,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Joe Rock (43755992),Joe Rock,43755992,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,6.21
,,,,,,,,,,,,,,,SP,Erick Fedde (43755993),Erick Fedde,43755993,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,9.55
,,,,,,,,,,,,,,,RP,Anthony Kay (43755994),Anthony Kay,43755994,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,11.22
,,,,,,,,,,,,,,,SP,Luis Castillo (43755995),Luis Castillo,43755995,P,6200,CWS@BOS 08/05/2026 07:10PM ET,CWS,10.49
