Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5211218443,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,1. Column A lists all of your contest entries for this draftgroup
5211218638,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,2. Your current lineup is listed next to each entry (blank for reservations)
5211218639,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5211218640,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5211218641,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,5. For faster processing only include entries you are changing in the file you upload
5211218642,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,
5211218643,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5211218654,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Hunter Greene (43773834),Hunter Greene,43773834,P,8500,CIN@WSH 08/07/2026 06:45PM ET,CIN,14.29
5211218655,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Jose Soriano (43773671),Jose Soriano,43773671,P,7700,TOR@PHI 08/07/2026 06:40PM ET,TOR,17.27
5211218656,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Cody Ponce (43773836),Cody Ponce,43773836,P,7700,TOR@PHI 08/07/2026 06:40PM ET,TOR,8.05
5211218976,MLB $1.5K Chin Music [Single Entry] (Turbo),193355923,$5,Jose Soriano (43773671),Zack Wheeler (43773669),Tyler Stephenson (43773727),Sal Stewart (43773682),Nasim Nunez (43773705),Brady House (43773717),Elly De La Cruz (43773677),JJ Bleday (43773690),Daylen Lile (43773685),Hector Rodriguez (43773762),,SP,Spencer Arrighetti (43773837),Spencer Arrighetti,43773837,P,7700,TOR@PHI 08/07/2026 06:40PM ET,TOR,13.58
,,,,,,,,,,,,,,,SP,Shane Bieber (43773838),Shane Bieber,43773838,P,7700,TOR@PHI 08/07/2026 06:40PM ET,TOR,9.01
,,,,,,,,,,,,,,,SP,Tylor Megill (43773835),Tylor Megill,43773835,P,7700,NYM@PIT 08/07/2026 06:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Andrew Abbott (43773839),Andrew Abbott,43773839,P,7500,CIN@WSH 08/07/2026 06:45PM ET,CIN,12.28
,,,,,,,,,,,,,,,SP,Aaron Nola (43773840),Aaron Nola,43773840,P,7500,TOR@PHI 08/07/2026 06:40PM ET,PHI,11.81
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43773841),Jackson Rutledge,43773841,P,7500,TOR@PHI 08/07/2026 06:40PM ET,PHI,-11.8
,,,,,,,,,,,,,,,SP,Cade Cavalli (43773672),Cade Cavalli,43773672,P,7000,CIN@WSH 08/07/2026 06:45PM ET,WSH,15.67
,,,,,,,,,,,,,,,SP,Jake Irvin (43773844),Jake Irvin,43773844,P,7000,CIN@WSH 08/07/2026 06:45PM ET,WSH,11.22
,,,,,,,,,,,,,,,RP,Andrew Alvarez (43773845),Andrew Alvarez,43773845,P,7000,CIN@WSH 08/07/2026 06:45PM ET,WSH,10.31
,,,,,,,,,,,,,,,SP,Jared Jones (43773842),Jared Jones,43773842,P,7000,NYM@PIT 08/07/2026 06:40PM ET,PIT,14.23
,,,,,,,,,,,,,,,SP,Bubba Chandler (43773843),Bubba Chandler,43773843,P,7000,NYM@PIT 08/07/2026 06:40PM ET,PIT,11.44
,,,,,,,,,,,,,,,SP,Jose Berrios (43773852),Jose Berrios,43773852,P,6700,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Patrick Corbin (43773853),Patrick Corbin,43773853,P,6700,TOR@PHI 08/07/2026 06:40PM ET,TOR,7.50
,,,,,,,,,,,,,,,SP,Jameson Taillon (43773854),Jameson Taillon,43773854,P,6700,TOR@PHI 08/07/2026 06:40PM ET,TOR,9.89
,,,,,,,,,,,,,,,SP,Max Scherzer (43773855),Max Scherzer,43773855,P,6700,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.3
,,,,,,,,,,,,,,,SP,Zac Thornton (43773673),Zac Thornton,43773673,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,14.84
,,,,,,,,,,,,,,,SP,Christian Scott (43773846),Christian Scott,43773846,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,15.70
,,,,,,,,,,,,,,,RP,Chayce McDermott (43773847),Chayce McDermott,43773847,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,4.45
,,,,,,,,,,,,,,,RP,Justin Hagenman (43773848),Justin Hagenman,43773848,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Tobias Myers (43773849),Tobias Myers,43773849,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,2.58
,,,,,,,,,,,,,,,RP,Xzavion Curry (43773850),Xzavion Curry,43773850,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,3.61
,,,,,,,,,,,,,,,SP,Sean Manaea (43773851),Sean Manaea,43773851,P,6700,NYM@PIT 08/07/2026 06:40PM ET,NYM,9.73
,,,,,,,,,,,,,,,SS,CJ Abrams (43773675),CJ Abrams,43773675,SS,6500,CIN@WSH 08/07/2026 06:45PM ET,WSH,10.13
,,,,,,,,,,,,,,,SP,Brady Singer (43773856),Brady Singer,43773856,P,6500,CIN@WSH 08/07/2026 06:45PM ET,CIN,11.74
,,,,,,,,,,,,,,,SP,Nick Lodolo (43773857),Nick Lodolo,43773857,P,6500,CIN@WSH 08/07/2026 06:45PM ET,CIN,10.75
,,,,,,,,,,,,,,,SP,Rhett Lowder (43773858),Rhett Lowder,43773858,P,6500,CIN@WSH 08/07/2026 06:45PM ET,CIN,8.83
,,,,,,,,,,,,,,,SP,Lenny Torres (43773859),Lenny Torres,43773859,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Moises Chace (43773860),Moises Chace,43773860,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Brian Keller (43773861),Brian Keller,43773861,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,9.55
,,,,,,,,,,,,,,,SP,Alex McFarlane (43773862),Alex McFarlane,43773862,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,1.65
,,,,,,,,,,,,,,,RP,Caleb Kilian (43773863),Caleb Kilian,43773863,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.94
,,,,,,,,,,,,,,,SP,Andrew Painter (43773864),Andrew Painter,43773864,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,7.38
,,,,,,,,,,,,,,,RP,Alan Rangel (43773865),Alan Rangel,43773865,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,8.85
,,,,,,,,,,,,,,,RP,Brad Keller (43773866),Brad Keller,43773866,P,6500,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.75
,,,,,,,,,,,,,,,OF,James Wood (43773771),James Wood,43773771,OF,6200,CIN@WSH 08/07/2026 06:45PM ET,WSH,10.82
,,,,,,,,,,,,,,,OF,Kyle Schwarber (43773676),Kyle Schwarber,43773676,OF,6000,TOR@PHI 08/07/2026 06:40PM ET,PHI,8.92
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43773674),Carmen Mlodzinski,43773674,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,9.76
,,,,,,,,,,,,,,,SP,Mitch Keller (43773867),Mitch Keller,43773867,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,10.28
,,,,,,,,,,,,,,,RP,Lake Bachar (43773868),Lake Bachar,43773868,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.41
,,,,,,,,,,,,,,,RP,Antwone Kelly (43773869),Antwone Kelly,43773869,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.43
,,,,,,,,,,,,,,,RP,Wilber Dotel (43773870),Wilber Dotel,43773870,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.94
,,,,,,,,,,,,,,,RP,Thomas Harrington (43773871),Thomas Harrington,43773871,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,0
,,,,,,,,,,,,,,,RP,Hunter Barco (43773872),Hunter Barco,43773872,P,6000,NYM@PIT 08/07/2026 06:40PM ET,PIT,1.53
,,,,,,,,,,,,,,,SS,Elly De La Cruz (43773677),Elly De La Cruz,43773677,SS,5800,CIN@WSH 08/07/2026 06:45PM ET,CIN,9.93
,,,,,,,,,,,,,,,SP,Matt Waldron (43773873),Matt Waldron,43773873,P,5700,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.97
,,,,,,,,,,,,,,,RP,Mason Fluharty (43773874),Mason Fluharty,43773874,P,5700,TOR@PHI 08/07/2026 06:40PM ET,TOR,2.47
,,,,,,,,,,,,,,,RP,Spencer Miles (43773875),Spencer Miles,43773875,P,5700,TOR@PHI 08/07/2026 06:40PM ET,TOR,7.06
,,,,,,,,,,,,,,,RP,Bowden Francis (43773876),Bowden Francis,43773876,P,5700,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,OF,Juan Soto (43773772),Juan Soto,43773772,OF,5700,NYM@PIT 08/07/2026 06:40PM ET,NYM,9.27
,,,,,,,,,,,,,,,SP,Brandon Williamson (43773877),Brandon Williamson,43773877,P,5500,CIN@WSH 08/07/2026 06:45PM ET,CIN,6.93
,,,,,,,,,,,,,,,SP,Chase Petty (43773878),Chase Petty,43773878,P,5500,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.86
,,,,,,,,,,,,,,,SP,Connor Phillips (43773879),Connor Phillips,43773879,P,5500,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.28
,,,,,,,,,,,,,,,RP,Jose Franco (43773880),Jose Franco,43773880,P,5500,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.88
,,,,,,,,,,,,,,,SP,Luis Perales (43773881),Luis Perales,43773881,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,0
,,,,,,,,,,,,,,,SP,DJ Herz (43773882),DJ Herz,43773882,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Josiah Gray (43773883),Josiah Gray,43773883,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,0
,,,,,,,,,,,,,,,RP,Max Kranick (43773884),Max Kranick,43773884,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,0.04
,,,,,,,,,,,,,,,SP,Mitchell Parker (43773885),Mitchell Parker,43773885,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,3.42
,,,,,,,,,,,,,,,RP,Brad Lord (43773886),Brad Lord,43773886,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,5.76
,,,,,,,,,,,,,,,SP,Miles Mikolas (43773887),Miles Mikolas,43773887,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,5.55
,,,,,,,,,,,,,,,SP,Trevor Williams (43773888),Trevor Williams,43773888,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.68
,,,,,,,,,,,,,,,RP,Carson Palmquist (43773889),Carson Palmquist,43773889,P,5500,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.78
,,,,,,,,,,,,,,,2B,Brandon Lowe (43773678),Brandon Lowe,43773678,2B,5500,NYM@PIT 08/07/2026 06:40PM ET,PIT,8.65
,,,,,,,,,,,,,,,1B/OF,Bryce Harper (43773679),Bryce Harper,43773679,1B/OF,5300,TOR@PHI 08/07/2026 06:40PM ET,PHI,8.58
,,,,,,,,,,,,,,,OF,Oneil Cruz (43773773),Oneil Cruz,43773773,OF,5200,NYM@PIT 08/07/2026 06:40PM ET,PIT,10.39
,,,,,,,,,,,,,,,SP,Kodai Senga (43773890),Kodai Senga,43773890,P,5200,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.32
,,,,,,,,,,,,,,,SP,Jonah Tong (43773891),Jonah Tong,43773891,P,5200,NYM@PIT 08/07/2026 06:40PM ET,NYM,7.83
,,,,,,,,,,,,,,,OF,Bryan Reynolds (43773681),Bryan Reynolds,43773681,OF,5000,NYM@PIT 08/07/2026 06:40PM ET,PIT,8.37
,,,,,,,,,,,,,,,1B,Sal Stewart (43773682),Sal Stewart,43773682,1B,4800,CIN@WSH 08/07/2026 06:45PM ET,CIN,8.96
,,,,,,,,,,,,,,,OF,Dylan Crews (43773683),Dylan Crews,43773683,OF,4700,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.94
,,,,,,,,,,,,,,,SS,Trea Turner (43773684),Trea Turner,43773684,SS,4600,TOR@PHI 08/07/2026 06:40PM ET,PHI,7.99
,,,,,,,,,,,,,,,OF,Daylen Lile (43773685),Daylen Lile,43773685,OF,4500,CIN@WSH 08/07/2026 06:45PM ET,WSH,7.25
,,,,,,,,,,,,,,,1B,Ryan O'Hearn (43773774),Ryan O'Hearn,43773774,1B,4500,NYM@PIT 08/07/2026 06:40PM ET,PIT,7.95
,,,,,,,,,,,,,,,SS,Francisco Lindor (43773686),Francisco Lindor,43773686,SS,4400,NYM@PIT 08/07/2026 06:40PM ET,NYM,7.48
,,,,,,,,,,,,,,,1B/C,Endy Rodriguez (43773687),Endy Rodriguez,43773687,C/1B,4400,NYM@PIT 08/07/2026 06:40PM ET,PIT,7.39
,,,,,,,,,,,,,,,OF,JJ Bleday (43773690),JJ Bleday,43773690,OF,4300,CIN@WSH 08/07/2026 06:45PM ET,CIN,8.13
,,,,,,,,,,,,,,,2B,Luis Arraez (43773689),Luis Arraez,43773689,2B,4300,TOR@PHI 08/07/2026 06:40PM ET,PHI,7.90
,,,,,,,,,,,,,,,1B,Vladimir Guerrero Jr. (43773691),Vladimir Guerrero Jr.,43773691,1B,4200,TOR@PHI 08/07/2026 06:40PM ET,TOR,6.71
,,,,,,,,,,,,,,,OF,Esmerlyn Valdez (43773692),Esmerlyn Valdez,43773692,OF,4200,NYM@PIT 08/07/2026 06:40PM ET,PIT,9.04
,,,,,,,,,,,,,,,3B,Bo Bichette (43773693),Bo Bichette,43773693,3B,4100,NYM@PIT 08/07/2026 06:40PM ET,NYM,6.6
,,,,,,,,,,,,,,,1B,Spencer Horwitz (43773694),Spencer Horwitz,43773694,1B,4100,NYM@PIT 08/07/2026 06:40PM ET,PIT,7.02
,,,,,,,,,,,,,,,SP,Julian Aguiar (43773897),Julian Aguiar,43773897,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,0
,,,,,,,,,,,,,,,SP,Tony Santillan (43773899),Tony Santillan,43773899,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.00
,,,,,,,,,,,,,,,RP,Tom Cosgrove (43773905),Tom Cosgrove,43773905,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.96
,,,,,,,,,,,,,,,RP,Zach McCambley (43773906),Zach McCambley,43773906,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,1.31
,,,,,,,,,,,,,,,RP,Graham Ashcraft (43773907),Graham Ashcraft,43773907,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.42
,,,,,,,,,,,,,,,RP,Will Dion (43773908),Will Dion,43773908,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,4.49
,,,,,,,,,,,,,,,RP,Riley Cornelio (43773909),Riley Cornelio,43773909,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,4.26
,,,,,,,,,,,,,,,RP,Yovanny Cruz (43773914),Yovanny Cruz,43773914,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,3.59
,,,,,,,,,,,,,,,RP,Cole Henry (43773915),Cole Henry,43773915,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.87
,,,,,,,,,,,,,,,RP,Clayton Beeter (43773916),Clayton Beeter,43773916,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.91
,,,,,,,,,,,,,,,RP,Luis Mey (43773920),Luis Mey,43773920,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.07
,,,,,,,,,,,,,,,RP,Zak Kent (43773921),Zak Kent,43773921,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.92
,,,,,,,,,,,,,,,RP,Brock Burke (43773924),Brock Burke,43773924,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.86
,,,,,,,,,,,,,,,RP,Emilio Pagan (43773927),Emilio Pagan,43773927,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.18
,,,,,,,,,,,,,,,RP,Paxton Schultz (43773928),Paxton Schultz,43773928,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.29
,,,,,,,,,,,,,,,RP,Tejay Antone (43773932),Tejay Antone,43773932,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.06
,,,,,,,,,,,,,,,RP,Sam Moll (43773936),Sam Moll,43773936,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.25
,,,,,,,,,,,,,,,RP,PJ Poulin (43773940),PJ Poulin,43773940,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.72
,,,,,,,,,,,,,,,RP,Gus Varland (43773943),Gus Varland,43773943,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.59
,,,,,,,,,,,,,,,RP,Jake Bird (43773944),Jake Bird,43773944,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.75
,,,,,,,,,,,,,,,RP,Eddy Yean (43773946),Eddy Yean,43773946,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,3.67
,,,,,,,,,,,,,,,RP,Orlando Ribalta (43773948),Orlando Ribalta,43773948,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.50
,,,,,,,,,,,,,,,SP,Ken Waldichuk (43773951),Ken Waldichuk,43773951,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.8
