Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5213207899,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,1. Column A lists all of your contest entries for this draftgroup
5213219422,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,2. Your current lineup is listed next to each entry (blank for reservations)
5213219423,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5213219424,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5213219425,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,5. For faster processing only include entries you are changing in the file you upload
5213219426,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,
5213219427,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5213219438,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Chris Sale (43791172),Chris Sale,43791172,P,9700,ATL@NYY 08/09/2026 01:35PM ET,ATL,23.10
5213219439,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Spencer Schwellenbach (43791174),Spencer Schwellenbach,43791174,P,9500,ATL@NYY 08/09/2026 01:35PM ET,ATL,0
5213219440,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Brandon Woodruff (43791175),Brandon Woodruff,43791175,P,9400,MIN@MIL 08/09/2026 02:10PM ET,MIL,16.73
5213219421,MLB $7.5K Chin Music [Single Entry],193451390,$5,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Jacob deGrom (43791176),Jacob deGrom,43791176,P,9300,BAL@TEX 08/09/2026 02:35PM ET,TEX,18.39
,,,,,,,,,,,,,,,SP,Max Meyer (43791177),Max Meyer,43791177,P,9300,LAA@MIA 08/09/2026 01:40PM ET,MIA,19.10
,,,,,,,,,,,,,,,RP,Spencer Strider (43791178),Spencer Strider,43791178,P,9300,ATL@NYY 08/09/2026 01:35PM ET,ATL,14.67
,,,,,,,,,,,,,,,SP,Nathan Eovaldi (43791182),Nathan Eovaldi,43791182,P,9200,BAL@TEX 08/09/2026 02:35PM ET,TEX,17.65
,,,,,,,,,,,,,,,SP,Parker Messick (43791183),Parker Messick,43791183,P,9200,CLE@CWS 08/09/2026 02:10PM ET,CLE,19.64
,,,,,,,,,,,,,,,SP,Carlos Rodon (43791179),Carlos Rodon,43791179,P,9200,ATL@NYY 08/09/2026 01:35PM ET,NYY,17.21
,,,,,,,,,,,,,,,SP,Gerrit Cole (43791180),Gerrit Cole,43791180,P,9200,ATL@NYY 08/09/2026 01:35PM ET,NYY,19.05
,,,,,,,,,,,,,,,RP,Ryan Weathers (43791181),Ryan Weathers,43791181,P,9200,ATL@NYY 08/09/2026 01:35PM ET,NYY,16.53
,,,,,,,,,,,,,,,SP,Max Fried (43791184),Max Fried,43791184,P,9100,ATL@NYY 08/09/2026 01:35PM ET,NYY,17.74
,,,,,,,,,,,,,,,SP,Garrett Crochet (43791185),Garrett Crochet,43791185,P,9000,ATH@BOS 08/09/2026 01:35PM ET,BOS,13.78
,,,,,,,,,,,,,,,SP,Payton Tolle (43791186),Payton Tolle,43791186,P,9000,ATH@BOS 08/09/2026 01:35PM ET,BOS,19.13
,,,,,,,,,,,,,,,SP,Taj Bradley (43791187),Taj Bradley,43791187,P,8900,MIN@MIL 08/09/2026 02:10PM ET,MIN,18.18
,,,,,,,,,,,,,,,RP,Shane Drohan (43791188),Shane Drohan,43791188,P,8900,MIN@MIL 08/09/2026 02:10PM ET,MIL,11.65
,,,,,,,,,,,,,,,SP,Sonny Gray (43791191),Sonny Gray,43791191,P,8800,ATH@BOS 08/09/2026 01:35PM ET,BOS,18.00
,,,,,,,,,,,,,,,SP,Joe Ryan (43791189),Joe Ryan,43791189,P,8800,MIN@MIL 08/09/2026 02:10PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Brandon Sproat (43791190),Brandon Sproat,43791190,P,8800,MIN@MIL 08/09/2026 02:10PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43791192),MacKenzie Gore,43791192,P,8700,BAL@TEX 08/09/2026 02:35PM ET,TEX,15.16
,,,,,,,,,,,,,,,SP,Nolan McLean (43791193),Nolan McLean,43791193,P,8700,NYM@PIT 08/09/2026 01:35PM ET,NYM,19
,,,,,,,,,,,,,,,SP,Ranger Suarez (43791195),Ranger Suarez,43791195,P,8600,ATH@BOS 08/09/2026 01:35PM ET,BOS,15.67
,,,,,,,,,,,,,,,SP,Reid Detmers (43791196),Reid Detmers,43791196,P,8600,LAA@MIA 08/09/2026 01:40PM ET,LAA,17.13
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (43791194),Braxton Ashcraft,43791194,P,8600,NYM@PIT 08/09/2026 01:35PM ET,PIT,18.08
,,,,,,,,,,,,,,,SP,Eury Perez (43791197),Eury Perez,43791197,P,8500,LAA@MIA 08/09/2026 01:40PM ET,MIA,17.08
,,,,,,,,,,,,,,,SP,Trey Yesavage (43791198),Trey Yesavage,43791198,P,8500,TOR@PHI 08/09/2026 01:35PM ET,TOR,15.08
,,,,,,,,,,,,,,,SP,Matthew Boyd (43790669),Matthew Boyd,43790669,P,8500,CHC@KC 08/09/2026 02:10PM ET,CHC,15.62
,,,,,,,,,,,,,,,SP,Foster Griffin (43791200),Foster Griffin,43791200,P,8400,CLE@CWS 08/09/2026 02:10PM ET,CLE,17.41
,,,,,,,,,,,,,,,SP,Aaron Nola (43791199),Aaron Nola,43791199,P,8400,TOR@PHI 08/09/2026 01:35PM ET,PHI,12.08
,,,,,,,,,,,,,,,RP,Joey Cantillo (43790670),Joey Cantillo,43790670,P,8300,CLE@CWS 08/09/2026 02:10PM ET,CLE,14.48
,,,,,,,,,,,,,,,SP,Sean Burke (43791202),Sean Burke,43791202,P,8300,CLE@CWS 08/09/2026 02:10PM ET,CWS,18.54
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43791201),AJ Smith-Shawver,43791201,P,8300,ATL@NYY 08/09/2026 01:35PM ET,ATL,10.15
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43791203),Clarke Schmidt,43791203,P,8300,ATL@NYY 08/09/2026 01:35PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Cody Ponce (43791205),Cody Ponce,43791205,P,8200,TOR@PHI 08/09/2026 01:35PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Jared Jones (43790671),Jared Jones,43790671,P,8200,NYM@PIT 08/09/2026 01:35PM ET,PIT,14.23
,,,,,,,,,,,,,,,SP,Will Warren (43791204),Will Warren,43791204,P,8200,ATL@NYY 08/09/2026 01:35PM ET,NYY,13.7
,,,,,,,,,,,,,,,SP,Tanner Bibee (43791209),Tanner Bibee,43791209,P,8100,CLE@CWS 08/09/2026 02:10PM ET,CLE,13.85
,,,,,,,,,,,,,,,RP,Ben Brown (43791207),Ben Brown,43791207,P,8100,CHC@KC 08/09/2026 02:10PM ET,CHC,11.57
,,,,,,,,,,,,,,,SP,Dustin May (43791206),Dustin May,43791206,P,8100,MIN@MIL 08/09/2026 02:10PM ET,MIL,13.97
,,,,,,,,,,,,,,,SP,Bailey Ober (43791208),Bailey Ober,43791208,P,8100,MIN@MIL 08/09/2026 02:10PM ET,MIN,12.19
,,,,,,,,,,,,,,,SP,Trevor Rogers (43791212),Trevor Rogers,43791212,P,8000,BAL@TEX 08/09/2026 02:35PM ET,BAL,13.80
,,,,,,,,,,,,,,,RP,Walbert Urena (43791216),Walbert Urena,43791216,P,8000,LAA@MIA 08/09/2026 01:40PM ET,LAA,14.44
,,,,,,,,,,,,,,,SP,Kevin Gausman (43791211),Kevin Gausman,43791211,P,8000,CHC@KC 08/09/2026 02:10PM ET,CHC,14.82
,,,,,,,,,,,,,,,RP,Clay Holmes (43791214),Clay Holmes,43791214,P,8000,CHC@KC 08/09/2026 02:10PM ET,CHC,15.93
,,,,,,,,,,,,,,,SP,Robert Gasser (43791210),Robert Gasser,43791210,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIL,12.56
,,,,,,,,,,,,,,,SP,Pablo Lopez (43791213),Pablo Lopez,43791213,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Mick Abel (43791215),Mick Abel,43791215,P,8000,MIN@MIL 08/09/2026 02:10PM ET,MIN,14.19
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43791218),Jackson Rutledge,43791218,P,7900,TOR@PHI 08/09/2026 01:35PM ET,PHI,-11.8
,,,,,,,,,,,,,,,SP,Michael Wacha (43791219),Michael Wacha,43791219,P,7900,CHC@KC 08/09/2026 02:10PM ET,KC,15.45
,,,,,,,,,,,,,,,SP,Tylor Megill (43791220),Tylor Megill,43791220,P,7900,NYM@PIT 08/09/2026 01:35PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Chad Patrick (43791217),Chad Patrick,43791217,P,7900,MIN@MIL 08/09/2026 02:10PM ET,MIL,6.2
,,,,,,,,,,,,,,,SP,Brandon Young (43791222),Brandon Young,43791222,P,7800,BAL@TEX 08/09/2026 02:35PM ET,BAL,14.66
,,,,,,,,,,,,,,,RP,J.T. Ginn (43790672),J.T. Ginn,43790672,P,7800,ATH@BOS 08/09/2026 01:35PM ET,ATH,14.08
,,,,,,,,,,,,,,,RP,Martin Perez (43791221),Martin Perez,43791221,P,7800,ATL@NYY 08/09/2026 01:35PM ET,ATL,12.25
,,,,,,,,,,,,,,,RP,Sandy Alcantara (43791227),Sandy Alcantara,43791227,P,7700,LAA@MIA 08/09/2026 01:40PM ET,MIA,17.25
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43791224),Spencer Arrighetti,43791224,P,7700,TOR@PHI 08/09/2026 01:35PM ET,TOR,13.58
,,,,,,,,,,,,,,,SP,Jose Soriano (43791228),Jose Soriano,43791228,P,7700,TOR@PHI 08/09/2026 01:35PM ET,TOR,16.97
,,,,,,,,,,,,,,,RP,Owen Murphy (43791223),Owen Murphy,43791223,P,7700,ATL@NYY 08/09/2026 01:35PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43791225),Reynaldo Lopez,43791225,P,7700,ATL@NYY 08/09/2026 01:35PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Bryce Elder (43791226),Bryce Elder,43791226,P,7700,ATL@NYY 08/09/2026 01:35PM ET,ATL,14.94
,,,,,,,,,,,,,,,SP,Tyler Mahle (43791229),Tyler Mahle,43791229,P,7700,ATL@NYY 08/09/2026 01:35PM ET,ATL,12.80
,,,,,,,,,,,,,,,SP,Shane Baz (43791230),Shane Baz,43791230,P,7600,BAL@TEX 08/09/2026 02:35PM ET,BAL,15.07
,,,,,,,,,,,,,,,SP,Zach Eflin (43791231),Zach Eflin,43791231,P,7600,BAL@TEX 08/09/2026 02:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43790673),Patrick Sandoval,43790673,P,7600,ATH@BOS 08/09/2026 01:35PM ET,BOS,13.08
,,,,,,,,,,,,,,,SP,Slade Cecconi (43791234),Slade Cecconi,43791234,P,7600,CLE@CWS 08/09/2026 02:10PM ET,CLE,9.34
,,,,,,,,,,,,,,,RP,Kyle Leahy (43791232),Kyle Leahy,43791232,P,7600,COL@STL 08/09/2026 02:15PM ET,STL,13.78
,,,,,,,,,,,,,,,SP,JR Ritchie (43791233),JR Ritchie,43791233,P,7600,ATL@NYY 08/09/2026 01:35PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,David Sandlin (43791238),David Sandlin,43791238,P,7500,CLE@CWS 08/09/2026 02:10PM ET,CWS,10.5
,,,,,,,,,,,,,,,SP,Shane Bieber (43790674),Shane Bieber,43790674,P,7500,TOR@PHI 08/09/2026 01:35PM ET,TOR,9.01
,,,,,,,,,,,,,,,SP,Bubba Chandler (43791237),Bubba Chandler,43791237,P,7500,NYM@PIT 08/09/2026 01:35PM ET,PIT,12.03
,,,,,,,,,,,,,,,SP,Hunter Dobbins (43791235),Hunter Dobbins,43791235,P,7500,COL@STL 08/09/2026 02:15PM ET,STL,13.28
,,,,,,,,,,,,,,,RP,Andre Pallante (43791236),Andre Pallante,43791236,P,7500,COL@STL 08/09/2026 02:15PM ET,STL,14.1
,,,,,,,,,,,,,,,SP,Kyle Bradish (43791240),Kyle Bradish,43791240,P,7400,BAL@TEX 08/09/2026 02:35PM ET,BAL,14.93
,,,,,,,,,,,,,,,SP,Yusei Kikuchi (43791241),Yusei Kikuchi,43791241,P,7400,LAA@MIA 08/09/2026 01:40PM ET,LAA,9.39
,,,,,,,,,,,,,,,SP,Luis Castillo (43791239),Luis Castillo,43791239,P,7400,CLE@CWS 08/09/2026 02:10PM ET,CWS,10.22
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43791243),Jonathan Cannon,43791243,P,7300,CLE@CWS 08/09/2026 02:10PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Shane Smith (43791246),Shane Smith,43791246,P,7300,CLE@CWS 08/09/2026 02:10PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,Shota Imanaga (43791242),Shota Imanaga,43791242,P,7300,CHC@KC 08/09/2026 02:10PM ET,CHC,16.68
,,,,,,,,,,,,,,,SP,Justin Steele (43791247),Justin Steele,43791247,P,7300,CHC@KC 08/09/2026 02:10PM ET,CHC,0
,,,,,,,,,,,,,,,RP,Kendry Rojas (43791244),Kendry Rojas,43791244,P,7300,MIN@MIL 08/09/2026 02:10PM ET,MIN,7.43
,,,,,,,,,,,,,,,RP,Jack Anderson (43791245),Jack Anderson,43791245,P,7300,MIN@MIL 08/09/2026 02:10PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Kutter Crawford (43791248),Kutter Crawford,43791248,P,7200,ATH@BOS 08/09/2026 01:35PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Tanner Houck (43791249),Tanner Houck,43791249,P,7200,ATH@BOS 08/09/2026 01:35PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Jake Bennett (43791253),Jake Bennett,43791253,P,7200,ATH@BOS 08/09/2026 01:35PM ET,BOS,15.9
,,,,,,,,,,,,,,,SP,Sean Manaea (43790675),Sean Manaea,43790675,P,7200,NYM@PIT 08/09/2026 01:35PM ET,NYM,9.73
,,,,,,,,,,,,,,,SP,Zebby Matthews (43791250),Zebby Matthews,43791250,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,12.58
,,,,,,,,,,,,,,,SP,Dean Kremer (43791251),Dean Kremer,43791251,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,11.23
,,,,,,,,,,,,,,,SP,David Festa (43791252),David Festa,43791252,P,7200,MIN@MIL 08/09/2026 02:10PM ET,MIN,0
,,,,,,,,,,,,,,,RP,Moises Chace (43791255),Moises Chace,43791255,P,7100,TOR@PHI 08/09/2026 01:35PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Brian Keller (43791256),Brian Keller,43791256,P,7100,TOR@PHI 08/09/2026 01:35PM ET,PHI,9.55
,,,,,,,,,,,,,,,SP,Lenny Torres (43791257),Lenny Torres,43791257,P,7100,TOR@PHI 08/09/2026 01:35PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Caleb Kilian (43791258),Caleb Kilian,43791258,P,7100,TOR@PHI 08/09/2026 01:35PM ET,PHI,2.88
,,,,,,,,,,,,,,,SP,Alex McFarlane (43791259),Alex McFarlane,43791259,P,7100,TOR@PHI 08/09/2026 01:35PM ET,PHI,1.65
,,,,,,,,,,,,,,,RP,Randy Dobnak (43790676),Randy Dobnak,43790676,P,7100,CHC@KC 08/09/2026 02:10PM ET,KC,12.92
,,,,,,,,,,,,,,,SP,Edward Cabrera (43791260),Edward Cabrera,43791260,P,7100,CHC@KC 08/09/2026 02:10PM ET,CHC,12.11
,,,,,,,,,,,,,,,SP,Cade Horton (43791261),Cade Horton,43791261,P,7100,CHC@KC 08/09/2026 02:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Christian Scott (43791254),Christian Scott,43791254,P,7100,NYM@PIT 08/09/2026 01:35PM ET,NYM,15.70
,,,,,,,,,,,,,,,RP,Eduardo Rivera (43791264),Eduardo Rivera,43791264,P,7000,ATH@BOS 08/09/2026 01:35PM ET,BOS,5.02
,,,,,,,,,,,,,,,SP,Logan Allen (43791266),Logan Allen,43791266,P,7000,CLE@CWS 08/09/2026 02:10PM ET,CLE,11.75
,,,,,,,,,,,,,,,RP,Alan Rangel (43791262),Alan Rangel,43791262,P,7000,TOR@PHI 08/09/2026 01:35PM ET,PHI,8.85
,,,,,,,,,,,,,,,SP,Andrew Painter (43791263),Andrew Painter,43791263,P,7000,TOR@PHI 08/09/2026 01:35PM ET,PHI,7.38
,,,,,,,,,,,,,,,RP,Brad Keller (43791265),Brad Keller,43791265,P,7000,TOR@PHI 08/09/2026 01:35PM ET,PHI,2.75
,,,,,,,,,,,,,,,SP,Connor Prielipp (43790677),Connor Prielipp,43790677,P,7000,MIN@MIL 08/09/2026 02:10PM ET,MIN,13.50
,,,,,,,,,,,,,,,SP,Colton Gordon (43791267),Colton Gordon,43791267,P,7000,MIN@MIL 08/09/2026 02:10PM ET,MIL,1
,,,,,,,,,,,,,,,RP,Cody Bradford (43791272),Cody Bradford,43791272,P,6900,BAL@TEX 08/09/2026 02:35PM ET,TEX,15.55
,,,,,,,,,,,,,,,SP,Jose Berrios (43791270),Jose Berrios,43791270,P,6900,TOR@PHI 08/09/2026 01:35PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Patrick Corbin (43791271),Patrick Corbin,43791271,P,6900,TOR@PHI 08/09/2026 01:35PM ET,TOR,7.50
,,,,,,,,,,,,,,,SP,Jameson Taillon (43791277),Jameson Taillon,43791277,P,6900,TOR@PHI 08/09/2026 01:35PM ET,TOR,9.89
,,,,,,,,,,,,,,,SP,Zac Thornton (43791269),Zac Thornton,43791269,P,6900,NYM@PIT 08/09/2026 01:35PM ET,NYM,15.24
