Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232134955,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,1. Column A lists all of your contest entries for this draftgroup
5232135488,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,2. Your current lineup is listed next to each entry (blank for reservations)
5232135489,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232135490,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232135491,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,5. For faster processing only include entries you are changing in the file you upload
5232135492,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,
5232135493,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5232135504,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Logan Henderson (43947799),Logan Henderson,43947799,P,9000,MIL@NYM 08/27/2026 07:10PM ET,MIL,20.63
5232135505,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,RP,Kyle Harrison (43947800),Kyle Harrison,43947800,P,9000,MIL@NYM 08/27/2026 07:10PM ET,MIL,18.60
5232135506,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Peter Lambert (43947801),Peter Lambert,43947801,P,8600,HOU@NYY 08/27/2026 07:05PM ET,HOU,15.93
5232135507,MLB $5K Skipper [Single Entry],194501915,$25,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Hunter Brown (43947802),Hunter Brown,43947802,P,8600,HOU@NYY 08/27/2026 07:05PM ET,HOU,15.10
5232135508,MLB $5K Base Hit [Single Entry],194501916,$12,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Gerrit Cole (43947546),Gerrit Cole,43947546,P,8500,HOU@NYY 08/27/2026 07:05PM ET,NYY,19.53
,,,,,,,,,,,,,,,SP,Max Fried (43947803),Max Fried,43947803,P,8500,HOU@NYY 08/27/2026 07:05PM ET,NYY,17.43
,,,,,,,,,,,,,,,SP,Carlos Rodon (43947804),Carlos Rodon,43947804,P,8500,HOU@NYY 08/27/2026 07:05PM ET,NYY,16.00
,,,,,,,,,,,,,,,RP,Ryan Weathers (43947805),Ryan Weathers,43947805,P,8500,HOU@NYY 08/27/2026 07:05PM ET,NYY,16.10
,,,,,,,,,,,,,,,SP,Cole Ragans (43947806),Cole Ragans,43947806,P,8400,KC@TOR 08/27/2026 07:07PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Michael Wacha (43947807),Michael Wacha,43947807,P,8400,KC@TOR 08/27/2026 07:07PM ET,KC,15.64
,,,,,,,,,,,,,,,SP,Jose Soriano (43947808),Jose Soriano,43947808,P,8300,KC@TOR 08/27/2026 07:07PM ET,TOR,16.29
,,,,,,,,,,,,,,,SP,Jose Berrios (43947809),Jose Berrios,43947809,P,8300,KC@TOR 08/27/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Trey Yesavage (43947810),Trey Yesavage,43947810,P,8300,KC@TOR 08/27/2026 07:07PM ET,TOR,15.08
,,,,,,,,,,,,,,,RP,Spencer Strider (43947811),Spencer Strider,43947811,P,8200,LAD@ATL 08/27/2026 07:15PM ET,ATL,14.67
,,,,,,,,,,,,,,,SP,Tylor Megill (43947812),Tylor Megill,43947812,P,8100,MIL@NYM 08/27/2026 07:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Christian Scott (43947813),Christian Scott,43947813,P,8100,MIL@NYM 08/27/2026 07:10PM ET,NYM,15.2
,,,,,,,,,,,,,,,SP,Zac Thornton (43947814),Zac Thornton,43947814,P,8100,MIL@NYM 08/27/2026 07:10PM ET,NYM,14.32
,,,,,,,,,,,,,,,SP,Corbin Burnes (43947816),Corbin Burnes,43947816,P,8000,ARI@SF 08/27/2026 09:45PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Michael Soroka (43947817),Michael Soroka,43947817,P,8000,ARI@SF 08/27/2026 09:45PM ET,ARI,15.91
,,,,,,,,,,,,,,,RP,Eduardo Rodriguez (43947818),Eduardo Rodriguez,43947818,P,8000,ARI@SF 08/27/2026 09:45PM ET,ARI,16.79
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (43947819),Brandon Pfaadt,43947819,P,8000,ARI@SF 08/27/2026 09:45PM ET,ARI,10.30
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43947815),Brandon Woodruff,43947815,P,8000,MIL@NYM 08/27/2026 07:10PM ET,MIL,16.73
,,,,,,,,,,,,,,,SP,Logan Webb (43947547),Logan Webb,43947547,P,7800,ARI@SF 08/27/2026 09:45PM ET,SF,15.65
,,,,,,,,,,,,,,,RP,Landen Roupp (43947820),Landen Roupp,43947820,P,7800,ARI@SF 08/27/2026 09:45PM ET,SF,14.07
,,,,,,,,,,,,,,,SP,Kris Bubic (43947821),Kris Bubic,43947821,P,7600,LAD@ATL 08/27/2026 07:15PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Roki Sasaki (43947822),Roki Sasaki,43947822,P,7600,LAD@ATL 08/27/2026 07:15PM ET,LAD,13.14
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43947823),Justin Wrobleski,43947823,P,7600,LAD@ATL 08/27/2026 07:15PM ET,LAD,16.28
,,,,,,,,,,,,,,,SP,Brandon Walter (43947824),Brandon Walter,43947824,P,7600,HOU@NYY 08/27/2026 07:05PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43947825),Clarke Schmidt,43947825,P,7500,HOU@NYY 08/27/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Will Warren (43947826),Will Warren,43947826,P,7500,HOU@NYY 08/27/2026 07:05PM ET,NYY,12.90
,,,,,,,,,,,,,,,SP,Shane Bieber (43947827),Shane Bieber,43947827,P,7300,KC@TOR 08/27/2026 07:07PM ET,TOR,11.75
,,,,,,,,,,,,,,,SP,Tyler Mahle (43947828),Tyler Mahle,43947828,P,7200,LAD@ATL 08/27/2026 07:15PM ET,ATL,13.58
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43947829),Reynaldo Lopez,43947829,P,7200,LAD@ATL 08/27/2026 07:15PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Bryce Elder (43947830),Bryce Elder,43947830,P,7200,LAD@ATL 08/27/2026 07:15PM ET,ATL,14.27
,,,,,,,,,,,,,,,RP,Martin Perez (43947831),Martin Perez,43947831,P,7200,LAD@ATL 08/27/2026 07:15PM ET,ATL,11.85
,,,,,,,,,,,,,,,SP,Sean Manaea (43947548),Sean Manaea,43947548,P,7100,MIL@NYM 08/27/2026 07:10PM ET,NYM,10.93
,,,,,,,,,,,,,,,SP,Brandon Sproat (43947832),Brandon Sproat,43947832,P,7000,MIL@NYM 08/27/2026 07:10PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Dustin May (43947833),Dustin May,43947833,P,7000,MIL@NYM 08/27/2026 07:10PM ET,MIL,12.67
,,,,,,,,,,,,,,,SP,Robert Gasser (43947834),Robert Gasser,43947834,P,7000,MIL@NYM 08/27/2026 07:10PM ET,MIL,12.77
,,,,,,,,,,,,,,,SP,Chad Patrick (43947835),Chad Patrick,43947835,P,7000,MIL@NYM 08/27/2026 07:10PM ET,MIL,5.81
,,,,,,,,,,,,,,,RP,Shane Drohan (43947836),Shane Drohan,43947836,P,7000,MIL@NYM 08/27/2026 07:10PM ET,MIL,11.37
,,,,,,,,,,,,,,,SP,Noah Cameron (43947549),Noah Cameron,43947549,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,15.25
,,,,,,,,,,,,,,,RP,Randy Dobnak (43947837),Randy Dobnak,43947837,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,12.76
,,,,,,,,,,,,,,,RP,Mason Black (43947838),Mason Black,43947838,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,2.82
,,,,,,,,,,,,,,,RP,Ryan Bergert (43947839),Ryan Bergert,43947839,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,RP,Seth Lugo (43947840),Seth Lugo,43947840,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,11.53
,,,,,,,,,,,,,,,SP,Tony Gonsolin (43947841),Tony Gonsolin,43947841,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,RP,Stephen Kolek (43947842),Stephen Kolek,43947842,P,6900,KC@TOR 08/27/2026 07:07PM ET,KC,11.51
,,,,,,,,,,,,,,,RP,Trevor McDonald (43947843),Trevor McDonald,43947843,P,6800,ARI@SF 08/27/2026 09:45PM ET,SF,10.13
,,,,,,,,,,,,,,,SP,Blade Tidwell (43947844),Blade Tidwell,43947844,P,6800,ARI@SF 08/27/2026 09:45PM ET,SF,6.46
,,,,,,,,,,,,,,,SP,Emmet Sheehan (43947845),Emmet Sheehan,43947845,P,6600,LAD@ATL 08/27/2026 07:15PM ET,LAD,12.80
,,,,,,,,,,,,,,,RP,Eric Lauer (43947846),Eric Lauer,43947846,P,6600,LAD@ATL 08/27/2026 07:15PM ET,LAD,10.23
,,,,,,,,,,,,,,,SP,Hayden Wesneski (43947550),Hayden Wesneski,43947550,P,6600,HOU@NYY 08/27/2026 07:05PM ET,HOU,14.25
,,,,,,,,,,,,,,,SP,Cristian Javier (43947847),Cristian Javier,43947847,P,6600,HOU@NYY 08/27/2026 07:05PM ET,HOU,5.95
,,,,,,,,,,,,,,,SP,Tatsuya Imai (43947848),Tatsuya Imai,43947848,P,6600,HOU@NYY 08/27/2026 07:05PM ET,HOU,11.14
,,,,,,,,,,,,,,,SP,Ronel Blanco (43947849),Ronel Blanco,43947849,P,6600,HOU@NYY 08/27/2026 07:05PM ET,HOU,6.3
,,,,,,,,,,,,,,,RP,Jason Alexander (43947850),Jason Alexander,43947850,P,6600,HOU@NYY 08/27/2026 07:05PM ET,HOU,4.31
,,,,,,,,,,,,,,,OF,Yordan Alvarez (43947553),Yordan Alvarez,43947553,OF,6500,HOU@NYY 08/27/2026 07:05PM ET,HOU,10.15
,,,,,,,,,,,,,,,1B/OF,Shohei Ohtani (43947554),Shohei Ohtani,43947554,1B/OF,6400,LAD@ATL 08/27/2026 07:15PM ET,LAD,9.72
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43947551),Spencer Arrighetti,43947551,P,6300,KC@TOR 08/27/2026 07:07PM ET,TOR,13.18
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43947556),Bobby Witt Jr.,43947556,SS,6300,KC@TOR 08/27/2026 07:07PM ET,KC,9.41
,,,,,,,,,,,,,,,SP,Cody Ponce (43947851),Cody Ponce,43947851,P,6300,KC@TOR 08/27/2026 07:07PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Patrick Corbin (43947852),Patrick Corbin,43947852,P,6300,KC@TOR 08/27/2026 07:07PM ET,TOR,7.50
,,,,,,,,,,,,,,,SP,Max Scherzer (43947853),Max Scherzer,43947853,P,6300,KC@TOR 08/27/2026 07:07PM ET,TOR,5.31
,,,,,,,,,,,,,,,SP,Jameson Taillon (43947854),Jameson Taillon,43947854,P,6300,KC@TOR 08/27/2026 07:07PM ET,TOR,10.05
,,,,,,,,,,,,,,,RP,Joey Wentz (43947855),Joey Wentz,43947855,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43947856),AJ Smith-Shawver,43947856,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,6.52
,,,,,,,,,,,,,,,RP,Owen Murphy (43947857),Owen Murphy,43947857,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Victor Mederos (43947858),Victor Mederos,43947858,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,4.29
,,,,,,,,,,,,,,,RP,Didier Fuentes (43947859),Didier Fuentes,43947859,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,4.81
,,,,,,,,,,,,,,,RP,Grant Holmes (43947860),Grant Holmes,43947860,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,12.43
,,,,,,,,,,,,,,,SP,JR Ritchie (43947861),JR Ritchie,43947861,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43947862),Hurston Waldrep,43947862,P,6200,LAD@ATL 08/27/2026 07:15PM ET,ATL,2.33
,,,,,,,,,,,,,,,1B/C,Ben Rice (43947557),Ben Rice,43947557,C/1B,6000,HOU@NYY 08/27/2026 07:05PM ET,NYY,9.03
,,,,,,,,,,,,,,,SP,Ryne Nelson (43947863),Ryne Nelson,43947863,P,6000,ARI@SF 08/27/2026 09:45PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Merrill Kelly (43947864),Merrill Kelly,43947864,P,6000,ARI@SF 08/27/2026 09:45PM ET,ARI,9.55
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43947559),Ronald Acuna Jr.,43947559,OF,5800,LAD@ATL 08/27/2026 07:15PM ET,ATL,8.32
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (43947865),Carson Whisenhunt,43947865,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,6.78
,,,,,,,,,,,,,,,SP,Miguel Mendez (43947866),Miguel Mendez,43947866,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,SP,Keaton Winn (43947867),Keaton Winn,43947867,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,2.42
,,,,,,,,,,,,,,,RP,Jose Butto (43947868),Jose Butto,43947868,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,-0.5
,,,,,,,,,,,,,,,RP,Tristan Beck (43947869),Tristan Beck,43947869,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,0.7
,,,,,,,,,,,,,,,RP,JT Brubaker (43947870),JT Brubaker,43947870,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,2.92
,,,,,,,,,,,,,,,RP,Dylan Smith (43947871),Dylan Smith,43947871,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,2.9
,,,,,,,,,,,,,,,SP,Adrian Houser (43947872),Adrian Houser,43947872,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,8.71
,,,,,,,,,,,,,,,RP,Hayden Birdsong (43947873),Hayden Birdsong,43947873,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Carson Seymour (43947874),Carson Seymour,43947874,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,3.02
,,,,,,,,,,,,,,,RP,Matt Wilkinson (43947875),Matt Wilkinson,43947875,P,5800,ARI@SF 08/27/2026 09:45PM ET,SF,1.98
,,,,,,,,,,,,,,,OF,Juan Soto (43947707),Juan Soto,43947707,OF,5700,MIL@NYM 08/27/2026 07:10PM ET,NYM,9.27
,,,,,,,,,,,,,,,SP,Gavin Stone (43947876),Gavin Stone,43947876,P,5600,LAD@ATL 08/27/2026 07:15PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Bobby Miller (43947877),Bobby Miller,43947877,P,5600,LAD@ATL 08/27/2026 07:15PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Landon Knack (43947878),Landon Knack,43947878,P,5600,LAD@ATL 08/27/2026 07:15PM ET,LAD,4.22
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43947879),Kai-Wei Teng,43947879,P,5600,HOU@NYY 08/27/2026 07:05PM ET,HOU,7.08
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43947880),AJ Blubaugh,43947880,P,5600,HOU@NYY 08/27/2026 07:05PM ET,HOU,4.85
,,,,,,,,,,,,,,,SP,Mike Burrows (43947881),Mike Burrows,43947881,P,5600,HOU@NYY 08/27/2026 07:05PM ET,HOU,9.02
,,,,,,,,,,,,,,,SP,Ethan Pecko (43947882),Ethan Pecko,43947882,P,5600,HOU@NYY 08/27/2026 07:05PM ET,HOU,2.2
,,,,,,,,,,,,,,,OF,Jackson Chourio (43947560),Jackson Chourio,43947560,OF,5600,MIL@NYM 08/27/2026 07:10PM ET,MIL,8.85
,,,,,,,,,,,,,,,OF,Aaron Judge (43947708),Aaron Judge,43947708,OF,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,9.71
,,,,,,,,,,,,,,,SP,Chase Hampton (43947883),Chase Hampton,43947883,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,,RP,Paul Blackburn (43947884),Paul Blackburn,43947884,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,4.63
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43947885),Ryan Yarbrough,43947885,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,3.49
,,,,,,,,,,,,,,,SP,Elmer Rodriguez (43947886),Elmer Rodriguez,43947886,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,7.39
,,,,,,,,,,,,,,,SP,Luis Gil (43947887),Luis Gil,43947887,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,5.52
