Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5226681299,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,1. Column A lists all of your contest entries for this draftgroup
5226681392,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,2. Your current lineup is listed next to each entry (blank for reservations)
5226681393,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5226681394,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5226681395,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,5. For faster processing only include entries you are changing in the file you upload
5226681396,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,
5226681397,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5226681408,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Max Meyer (43905866),Max Meyer,43905866,P,8700,WSH@MIA 08/22/2026 04:10PM ET,MIA,19.10
5226681409,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Eury Perez (43905719),Eury Perez,43905719,P,8500,WSH@MIA 08/22/2026 04:10PM ET,MIA,17.8
5226681410,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Will Warren (43905867),Will Warren,43905867,P,8500,TOR@NYY 08/22/2026 01:35PM ET,NYY,13.02
5226681391,MLB $5K Chin Music [Single Entry] (Early),194183883,$5,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Carlos Rodon (43905868),Carlos Rodon,43905868,P,8500,TOR@NYY 08/22/2026 01:35PM ET,NYY,16.74
,,,,,,,,,,,,,,,SP,Cody Ponce (43905869),Cody Ponce,43905869,P,8400,TOR@NYY 08/22/2026 01:35PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Cade Cavalli (43905870),Cade Cavalli,43905870,P,8300,WSH@MIA 08/22/2026 04:10PM ET,WSH,17.61
,,,,,,,,,,,,,,,SP,Connelly Early (43905871),Connelly Early,43905871,P,8100,WSH@MIA 08/22/2026 04:10PM ET,WSH,16.23
,,,,,,,,,,,,,,,SP,Dustin May (43905872),Dustin May,43905872,P,8100,ATL@MIL 08/22/2026 02:10PM ET,MIL,13.17
,,,,,,,,,,,,,,,SP,Brandon Sproat (43905873),Brandon Sproat,43905873,P,8100,ATL@MIL 08/22/2026 02:10PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,Robert Gasser (43905874),Robert Gasser,43905874,P,8100,ATL@MIL 08/22/2026 02:10PM ET,MIL,12.20
,,,,,,,,,,,,,,,SP,Chad Patrick (43905875),Chad Patrick,43905875,P,8000,ATL@MIL 08/22/2026 02:10PM ET,MIL,6.09
,,,,,,,,,,,,,,,RP,Shane Drohan (43905876),Shane Drohan,43905876,P,8000,ATL@MIL 08/22/2026 02:10PM ET,MIL,11.40
,,,,,,,,,,,,,,,SP,Trey Yesavage (43905877),Trey Yesavage,43905877,P,8000,TOR@NYY 08/22/2026 01:35PM ET,TOR,15.08
,,,,,,,,,,,,,,,RP,Sandy Alcantara (43905879),Sandy Alcantara,43905879,P,7900,WSH@MIA 08/22/2026 04:10PM ET,MIA,16.63
,,,,,,,,,,,,,,,SP,Tyler Mahle (43905878),Tyler Mahle,43905878,P,7900,ATL@MIL 08/22/2026 02:10PM ET,ATL,13.48
,,,,,,,,,,,,,,,RP,Ryan Weathers (43905720),Ryan Weathers,43905720,P,7900,TOR@NYY 08/22/2026 01:35PM ET,NYY,16.57
,,,,,,,,,,,,,,,RP,Spencer Strider (43905881),Spencer Strider,43905881,P,7800,ATL@MIL 08/22/2026 02:10PM ET,ATL,14.67
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (43905882),Reynaldo Lopez,43905882,P,7800,ATL@MIL 08/22/2026 02:10PM ET,ATL,8.04
,,,,,,,,,,,,,,,SP,Bryce Elder (43905883),Bryce Elder,43905883,P,7800,ATL@MIL 08/22/2026 02:10PM ET,ATL,14.36
,,,,,,,,,,,,,,,SP,Jose Soriano (43905880),Jose Soriano,43905880,P,7800,TOR@NYY 08/22/2026 01:35PM ET,TOR,16.60
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43905884),Spencer Arrighetti,43905884,P,7800,TOR@NYY 08/22/2026 01:35PM ET,TOR,13.18
,,,,,,,,,,,,,,,SP,Clarke Schmidt (43905885),Clarke Schmidt,43905885,P,7700,TOR@NYY 08/22/2026 01:35PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Jose Berrios (43905886),Jose Berrios,43905886,P,7200,TOR@NYY 08/22/2026 01:35PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Paul Blackburn (43905887),Paul Blackburn,43905887,P,7000,TOR@NYY 08/22/2026 01:35PM ET,NYY,4.46
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43905888),Ryan Yarbrough,43905888,P,7000,TOR@NYY 08/22/2026 01:35PM ET,NYY,3.52
,,,,,,,,,,,,,,,SP,Jackson Kent (43905889),Jackson Kent,43905889,P,6900,WSH@MIA 08/22/2026 04:10PM ET,WSH,3.92
,,,,,,,,,,,,,,,SP,Miles Mikolas (43905892),Miles Mikolas,43905892,P,6900,WSH@MIA 08/22/2026 04:10PM ET,WSH,5.63
,,,,,,,,,,,,,,,SP,Robby Snelling (43905893),Robby Snelling,43905893,P,6900,WSH@MIA 08/22/2026 04:10PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Martin Perez (43905721),Martin Perez,43905721,P,6900,ATL@MIL 08/22/2026 02:10PM ET,ATL,12.06
,,,,,,,,,,,,,,,SP,Elmer Rodriguez (43905890),Elmer Rodriguez,43905890,P,6900,TOR@NYY 08/22/2026 01:35PM ET,NYY,5.11
,,,,,,,,,,,,,,,SP,Luis Gil (43905891),Luis Gil,43905891,P,6900,TOR@NYY 08/22/2026 01:35PM ET,NYY,5.52
,,,,,,,,,,,,,,,RP,Andrew Alvarez (43905894),Andrew Alvarez,43905894,P,6800,WSH@MIA 08/22/2026 04:10PM ET,WSH,10.87
,,,,,,,,,,,,,,,RP,Janson Junk (43905895),Janson Junk,43905895,P,6600,WSH@MIA 08/22/2026 04:10PM ET,MIA,11.02
,,,,,,,,,,,,,,,RP,AJ Smith-Shawver (43905896),AJ Smith-Shawver,43905896,P,6500,ATL@MIL 08/22/2026 02:10PM ET,ATL,6.55
,,,,,,,,,,,,,,,RP,Owen Murphy (43905897),Owen Murphy,43905897,P,6500,ATL@MIL 08/22/2026 02:10PM ET,ATL,5.2
,,,,,,,,,,,,,,,RP,Grant Holmes (43905898),Grant Holmes,43905898,P,6500,ATL@MIL 08/22/2026 02:10PM ET,ATL,12.43
,,,,,,,,,,,,,,,SP,JR Ritchie (43905899),JR Ritchie,43905899,P,6500,ATL@MIL 08/22/2026 02:10PM ET,ATL,9.08
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43905900),Hurston Waldrep,43905900,P,6500,ATL@MIL 08/22/2026 02:10PM ET,ATL,2.33
,,,,,,,,,,,,,,,SP,Patrick Corbin (43905901),Patrick Corbin,43905901,P,6400,TOR@NYY 08/22/2026 01:35PM ET,TOR,7.50
,,,,,,,,,,,,,,,SP,Shane Bieber (43905902),Shane Bieber,43905902,P,6300,TOR@NYY 08/22/2026 01:35PM ET,TOR,11.75
,,,,,,,,,,,,,,,RP,Jameson Taillon (43905903),Jameson Taillon,43905903,P,6300,TOR@NYY 08/22/2026 01:35PM ET,TOR,10.05
,,,,,,,,,,,,,,,RP,Ryan Gusto (43905910),Ryan Gusto,43905910,P,6200,WSH@MIA 08/22/2026 04:10PM ET,MIA,7.55
,,,,,,,,,,,,,,,SP,Coleman Crow (43905905),Coleman Crow,43905905,P,6200,ATL@MIL 08/22/2026 02:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,RP,DL Hall (43905906),DL Hall,43905906,P,6200,ATL@MIL 08/22/2026 02:10PM ET,MIL,4.20
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43905907),Antonio Senzatela,43905907,P,6200,ATL@MIL 08/22/2026 02:10PM ET,MIL,4.14
,,,,,,,,,,,,,,,RP,Bryse Wilson (43905908),Bryse Wilson,43905908,P,6200,ATL@MIL 08/22/2026 02:10PM ET,MIL,5.16
,,,,,,,,,,,,,,,SP,Colton Gordon (43905909),Colton Gordon,43905909,P,6200,ATL@MIL 08/22/2026 02:10PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Max Scherzer (43905904),Max Scherzer,43905904,P,6200,TOR@NYY 08/22/2026 01:35PM ET,TOR,4.90
,,,,,,,,,,,,,,,SP,DJ Herz (43905911),DJ Herz,43905911,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Josiah Gray (43905912),Josiah Gray,43905912,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Luis Perales (43905913),Luis Perales,43905913,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Trevor Williams (43905914),Trevor Williams,43905914,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,7.83
,,,,,,,,,,,,,,,SP,Mitchell Parker (43905915),Mitchell Parker,43905915,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,3.42
,,,,,,,,,,,,,,,RP,Max Kranick (43905916),Max Kranick,43905916,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,0.84
,,,,,,,,,,,,,,,RP,Zak Kent (43905917),Zak Kent,43905917,P,6100,WSH@MIA 08/22/2026 04:10PM ET,WSH,1.92
,,,,,,,,,,,,,,,RP,Dax Fulton (43905919),Dax Fulton,43905919,P,6100,WSH@MIA 08/22/2026 04:10PM ET,MIA,5.02
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43905723),Ronald Acuna Jr.,43905723,OF,6100,ATL@MIL 08/22/2026 02:10PM ET,ATL,8.49
,,,,,,,,,,,,,,,SP,Quinn Priester (43905918),Quinn Priester,43905918,P,6100,ATL@MIL 08/22/2026 02:10PM ET,MIL,0
,,,,,,,,,,,,,,,SS,CJ Abrams (43905724),CJ Abrams,43905724,SS,6000,WSH@MIA 08/22/2026 04:10PM ET,WSH,9.90
,,,,,,,,,,,,,,,SP,Adam Mazur (43905920),Adam Mazur,43905920,P,6000,WSH@MIA 08/22/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Carson Palmquist (43905921),Carson Palmquist,43905921,P,5900,WSH@MIA 08/22/2026 04:10PM ET,WSH,1.78
,,,,,,,,,,,,,,,SP,Bradley Blalock (43905922),Bradley Blalock,43905922,P,5900,WSH@MIA 08/22/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Tyler Phillips (43905923),Tyler Phillips,43905923,P,5900,WSH@MIA 08/22/2026 04:10PM ET,MIA,7.42
,,,,,,,,,,,,,,,1B/C,Ben Rice (43905725),Ben Rice,43905725,C/1B,5900,TOR@NYY 08/22/2026 01:35PM ET,NYY,8.96
,,,,,,,,,,,,,,,OF,Aaron Judge (43905818),Aaron Judge,43905818,OF,5900,TOR@NYY 08/22/2026 01:35PM ET,NYY,9.71
,,,,,,,,,,,,,,,SP,Jake Irvin (43905722),Jake Irvin,43905722,P,5800,WSH@MIA 08/22/2026 04:10PM ET,WSH,10.54
,,,,,,,,,,,,,,,OF,Jackson Chourio (43905727),Jackson Chourio,43905727,OF,5700,ATL@MIL 08/22/2026 02:10PM ET,MIL,9.04
,,,,,,,,,,,,,,,RP,Joey Wentz (43905924),Joey Wentz,43905924,P,5700,ATL@MIL 08/22/2026 02:10PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Victor Mederos (43905925),Victor Mederos,43905925,P,5600,ATL@MIL 08/22/2026 02:10PM ET,ATL,3.99
,,,,,,,,,,,,,,,RP,Didier Fuentes (43905926),Didier Fuentes,43905926,P,5600,ATL@MIL 08/22/2026 02:10PM ET,ATL,4.81
,,,,,,,,,,,,,,,RP,Mason Fluharty (43905927),Mason Fluharty,43905927,P,5600,TOR@NYY 08/22/2026 01:35PM ET,TOR,2.45
,,,,,,,,,,,,,,,RP,Spencer Miles (43905928),Spencer Miles,43905928,P,5600,TOR@NYY 08/22/2026 01:35PM ET,TOR,6.13
,,,,,,,,,,,,,,,OF,James Wood (43905819),James Wood,43905819,OF,5500,WSH@MIA 08/22/2026 04:10PM ET,WSH,10.82
,,,,,,,,,,,,,,,RP,Brad Lord (43905930),Brad Lord,43905930,P,5500,WSH@MIA 08/22/2026 04:10PM ET,WSH,5.63
,,,,,,,,,,,,,,,2B,Brice Turang (43905728),Brice Turang,43905728,2B,5500,ATL@MIL 08/22/2026 02:10PM ET,MIL,9.13
,,,,,,,,,,,,,,,1B,Matt Olson (43905729),Matt Olson,43905729,1B,5500,ATL@MIL 08/22/2026 02:10PM ET,ATL,9.10
,,,,,,,,,,,,,,,RP,Bowden Francis (43905929),Bowden Francis,43905929,P,5500,TOR@NYY 08/22/2026 01:35PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Simeon Woods Richardson (43905931),Simeon Woods Richardson,43905931,P,5400,TOR@NYY 08/22/2026 01:35PM ET,TOR,4.33
,,,,,,,,,,,,,,,C,Drake Baldwin (43905730),Drake Baldwin,43905730,C,5200,ATL@MIL 08/22/2026 02:10PM ET,ATL,8.36
,,,,,,,,,,,,,,,1B/OF,Jake Bauers (43905731),Jake Bauers,43905731,1B/OF,5100,ATL@MIL 08/22/2026 02:10PM ET,MIL,8.66
,,,,,,,,,,,,,,,1B,Luis Garcia Jr. (43905733),Luis Garcia Jr.,43905733,1B,5100,TOR@NYY 08/22/2026 01:35PM ET,NYY,7.69
,,,,,,,,,,,,,,,2B,Jazz Chisholm Jr. (43905734),Jazz Chisholm Jr.,43905734,2B,5000,TOR@NYY 08/22/2026 01:35PM ET,NYY,7.62
,,,,,,,,,,,,,,,OF,Trent Grisham (43905735),Trent Grisham,43905735,OF,4900,TOR@NYY 08/22/2026 01:35PM ET,NYY,7.38
,,,,,,,,,,,,,,,OF,Cody Bellinger (43905820),Cody Bellinger,43905820,OF,4700,TOR@NYY 08/22/2026 01:35PM ET,NYY,7.79
,,,,,,,,,,,,,,,1B,Kyle Stowers (43905821),Kyle Stowers,43905821,1B,4600,WSH@MIA 08/22/2026 04:10PM ET,MIA,7.62
,,,,,,,,,,,,,,,OF,Dylan Crews (43905736),Dylan Crews,43905736,OF,4500,WSH@MIA 08/22/2026 04:10PM ET,WSH,6.44
,,,,,,,,,,,,,,,OF,Michael Harris II (43905737),Michael Harris II,43905737,OF,4500,ATL@MIL 08/22/2026 02:10PM ET,ATL,7.72
,,,,,,,,,,,,,,,OF,Daylen Lile (43905738),Daylen Lile,43905738,OF,4400,WSH@MIA 08/22/2026 04:10PM ET,WSH,7.20
,,,,,,,,,,,,,,,SS,Otto Lopez (43905740),Otto Lopez,43905740,SS,4300,WSH@MIA 08/22/2026 04:10PM ET,MIA,8.50
,,,,,,,,,,,,,,,OF,Christian Yelich (43905739),Christian Yelich,43905739,OF,4300,ATL@MIL 08/22/2026 02:10PM ET,MIL,7.57
,,,,,,,,,,,,,,,C,William Contreras (43905741),William Contreras,43905741,C,4200,ATL@MIL 08/22/2026 02:10PM ET,MIL,7.13
,,,,,,,,,,,,,,,2B,Ozzie Albies (43905742),Ozzie Albies,43905742,2B,4200,ATL@MIL 08/22/2026 02:10PM ET,ATL,7.20
,,,,,,,,,,,,,,,OF,Giancarlo Stanton (43905822),Giancarlo Stanton,43905822,OF,4200,TOR@NYY 08/22/2026 01:35PM ET,NYY,6.79
,,,,,,,,,,,,,,,1B/C,Gary Sanchez (43905743),Gary Sanchez,43905743,C/1B,4100,ATL@MIL 08/22/2026 02:10PM ET,MIL,5.99
,,,,,,,,,,,,,,,OF,Heliot Ramos (43905745),Heliot Ramos,43905745,OF,4100,TOR@NYY 08/22/2026 01:35PM ET,NYY,6.43
,,,,,,,,,,,,,,,1B,Vladimir Guerrero Jr. (43905823),Vladimir Guerrero Jr.,43905823,1B,4100,TOR@NYY 08/22/2026 01:35PM ET,TOR,6.76
,,,,,,,,,,,,,,,RP,Jack Ralston (43905934),Jack Ralston,43905934,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Erik Tolman (43905935),Erik Tolman,43905935,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,0
,,,,,,,,,,,,,,,RP,Josh White (43905938),Josh White,43905938,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,-10.1
,,,,,,,,,,,,,,,RP,Gus Varland (43905940),Gus Varland,43905940,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,1.59
,,,,,,,,,,,,,,,RP,Anthony Bender (43905941),Anthony Bender,43905941,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,3.48
,,,,,,,,,,,,,,,SP,Ken Waldichuk (43905942),Ken Waldichuk,43905942,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,2.8
,,,,,,,,,,,,,,,RP,Michael Petersen (43905943),Michael Petersen,43905943,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,3.36
,,,,,,,,,,,,,,,RP,Calvin Faucher (43905945),Calvin Faucher,43905945,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,3.10
,,,,,,,,,,,,,,,RP,John King (43905949),John King,43905949,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,2.51
,,,,,,,,,,,,,,,RP,Will Dion (43905953),Will Dion,43905953,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,6.52
,,,,,,,,,,,,,,,RP,Orlando Ribalta (43905956),Orlando Ribalta,43905956,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,2.62
,,,,,,,,,,,,,,,RP,Riley Cornelio (43905958),Riley Cornelio,43905958,P,4000,WSH@MIA 08/22/2026 04:10PM ET,WSH,4.26
,,,,,,,,,,,,,,,RP,Andrew Nardi (43905959),Andrew Nardi,43905959,P,4000,WSH@MIA 08/22/2026 04:10PM ET,MIA,2.85
