Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
5229987113,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],193028206,$5,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,1. Column A lists all of your contest entries for this draftgroup
5230681933,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,2. Your current lineup is listed next to each entry (blank for reservations)
5230886123,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5230886134,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5230886135,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,5. For faster processing only include entries you are changing in the file you upload
5230894825,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,
5230894832,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,RB,Bucky Irving (43727359),Bucky Irving,43727359,RB/FLEX,5700,TB@CIN 09/13/2026 01:00PM ET,TB,14.25
,,,,,,,,,,,,,,WR,Alec Pierce (43727665),Alec Pierce,43727665,WR/FLEX,5700,BAL@IND 09/13/2026 01:00PM ET,IND,12.62
,,,,,,,,,,,,,,QB,Jordan Love (43727244),Jordan Love,43727244,QB,5700,GB@MIN 09/13/2026 04:25PM ET,GB,17.64
,,,,,,,,,,,,,,WR,Terry McLaurin (43727663),Terry McLaurin,43727663,WR/FLEX,5700,WAS@PHI 09/13/2026 04:25PM ET,WAS,11.42
,,,,,,,,,,,,,,WR,DJ Moore (43727667),DJ Moore,43727667,WR/FLEX,5600,BUF@HOU 09/13/2026 01:00PM ET,BUF,10.85
,,,,,,,,,,,,,,QB,Tyler Shough (43727245),Tyler Shough,43727245,QB,5600,NO@DET 09/13/2026 01:00PM ET,NO,15.63
,,,,,,,,,,,,,,WR,Parker Washington (43727669),Parker Washington,43727669,WR/FLEX,5600,CLE@JAX 09/13/2026 01:00PM ET,JAX,12.8
,,,,,,,,,,,,,,RB,Tony Pollard (43727361),Tony Pollard,43727361,RB/FLEX,5600,NYJ@TEN 09/13/2026 01:00PM ET,TEN,11.64
,,,,,,,,,,,,,,QB,Kyler Murray (43727246),Kyler Murray,43727246,QB,5500,GB@MIN 09/13/2026 04:25PM ET,MIN,16.36
,,,,,,,,,,,,,,RB,Quinshon Judkins (43727363),Quinshon Judkins,43727363,RB/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.34
,,,,,,,,,,,,,,WR,Brian Thomas Jr. (43727671),Brian Thomas Jr.,43727671,WR/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,JAX,9.93
,,,,,,,,,,,,,,RB,Chuba Hubbard (43727365),Chuba Hubbard,43727365,RB/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CAR,9.14
,,,,,,,,,,,,,,WR,Luther Burden III (43727673),Luther Burden III,43727673,WR/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CHI,8.59
,,,,,,,,,,,,,,QB,Daniel Jones (43727247),Daniel Jones,43727247,QB,5400,BAL@IND 09/13/2026 01:00PM ET,IND,18.73
,,,,,,,,,,,,,,RB,Jordan Mason (43727367),Jordan Mason,43727367,RB/FLEX,5400,GB@MIN 09/13/2026 04:25PM ET,MIN,8.31
,,,,,,,,,,,,,,RB,Jaylen Warren (43727369),Jaylen Warren,43727369,RB/FLEX,5400,ATL@PIT 09/13/2026 01:00PM ET,PIT,13.46
,,,,,,,,,,,,,,WR,DK Metcalf (43727675),DK Metcalf,43727675,WR/FLEX,5400,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.46
,,,,,,,,,,,,,,WR,Rome Odunze (43727677),Rome Odunze,43727677,WR/FLEX,5400,CHI@CAR 09/13/2026 01:00PM ET,CHI,11.78
,,,,,,,,,,,,,,RB,Aaron Jones Sr. (43727371),Aaron Jones Sr.,43727371,RB/FLEX,5300,GB@MIN 09/13/2026 04:25PM ET,MIN,9.98
,,,,,,,,,,,,,,RB,Jacory Croskey-Merritt (43727373),Jacory Croskey-Merritt,43727373,RB/FLEX,5300,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.72
,,,,,,,,,,,,,,WR,Michael Wilson (43727681),Michael Wilson,43727681,WR/FLEX,5300,ARI@LAC 09/13/2026 04:25PM ET,ARI,13.51
,,,,,,,,,,,,,,QB,Malik Willis (43727248),Malik Willis,43727248,QB,5300,MIA@LV 09/13/2026 04:25PM ET,MIA,13.04
,,,,,,,,,,,,,,WR,Carnell Tate (43727679),Carnell Tate,43727679,WR/FLEX,5300,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0
,,,,,,,,,,,,,,QB,Aaron Rodgers (43727249),Aaron Rodgers,43727249,QB,5300,ATL@PIT 09/13/2026 01:00PM ET,PIT,14.05
,,,,,,,,,,,,,,TE,Colston Loveland (43728219),Colston Loveland,43728219,TE/FLEX,5300,CHI@CAR 09/13/2026 01:00PM ET,CHI,11.36
,,,,,,,,,,,,,,RB,Kenny Gainwell (43727377),Kenny Gainwell,43727377,RB/FLEX,5200,TB@CIN 09/13/2026 01:00PM ET,TB,12.83
,,,,,,,,,,,,,,WR,Chris Godwin Jr. (43727683),Chris Godwin Jr.,43727683,WR/FLEX,5200,TB@CIN 09/13/2026 01:00PM ET,TB,9.56
,,,,,,,,,,,,,,WR,Josh Downs (43727685),Josh Downs,43727685,WR/FLEX,5200,BAL@IND 09/13/2026 01:00PM ET,IND,8.59
,,,,,,,,,,,,,,QB,C.J. Stroud (43727250),C.J. Stroud,43727250,QB,5200,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.01
,,,,,,,,,,,,,,RB,Rachaad White (43727379),Rachaad White,43727379,RB/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.41
,,,,,,,,,,,,,,WR,Stefon Diggs (43824688),Stefon Diggs,43824688,WR/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.20
,,,,,,,,,,,,,,RB,Rico Dowdle (43727375),Rico Dowdle,43727375,RB/FLEX,5200,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.71
,,,,,,,,,,,,,,QB,Bryce Young (43727251),Bryce Young,43727251,QB,5200,CHI@CAR 09/13/2026 01:00PM ET,CAR,15.35
,,,,,,,,,,,,,,WR,Makai Lemon (43727689),Makai Lemon,43727689,WR/FLEX,5100,WAS@PHI 09/13/2026 04:25PM ET,PHI,0
,,,,,,,,,,,,,,WR,Jordyn Tyson (43727687),Jordyn Tyson,43727687,WR/FLEX,5100,NO@DET 09/13/2026 01:00PM ET,NO,0
,,,,,,,,,,,,,,RB,Chris Rodriguez Jr. (43727385),Chris Rodriguez Jr.,43727385,RB/FLEX,5100,CLE@JAX 09/13/2026 01:00PM ET,JAX,7.08
,,,,,,,,,,,,,,QB,Jacoby Brissett (43727253),Jacoby Brissett,43727253,QB,5100,ARI@LAC 09/13/2026 04:25PM ET,ARI,17.96
,,,,,,,,,,,,,,QB,Cam Ward (43727252),Cam Ward,43727252,QB,5100,NYJ@TEN 09/13/2026 01:00PM ET,TEN,11.80
,,,,,,,,,,,,,,RB,Tyjae Spears (43727383),Tyjae Spears,43727383,RB/FLEX,5100,NYJ@TEN 09/13/2026 01:00PM ET,TEN,8.59
,,,,,,,,,,,,,,RB,Kyle Monangai (43727381),Kyle Monangai,43727381,RB/FLEX,5100,CHI@CAR 09/13/2026 01:00PM ET,CHI,8.94
,,,,,,,,,,,,,,RB,Woody Marks (43727387),Woody Marks,43727387,RB/FLEX,5000,BUF@HOU 09/13/2026 01:00PM ET,HOU,9.77
,,,,,,,,,,,,,,RB,Isiah Pacheco (43727389),Isiah Pacheco,43727389,RB/FLEX,5000,NO@DET 09/13/2026 01:00PM ET,DET,6.72
,,,,,,,,,,,,,,WR,Jakobi Meyers (43727691),Jakobi Meyers,43727691,WR/FLEX,5000,CLE@JAX 09/13/2026 01:00PM ET,JAX,10.53
,,,,,,,,,,,,,,WR,Marvin Harrison Jr. (43727693),Marvin Harrison Jr.,43727693,WR/FLEX,5000,ARI@LAC 09/13/2026 04:25PM ET,ARI,10.65
,,,,,,,,,,,,,,QB,Kirk Cousins (43727254),Kirk Cousins,43727254,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,11.25
,,,,,,,,,,,,,,QB,Fernando Mendoza (43727255),Fernando Mendoza,43727255,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,0
,,,,,,,,,,,,,,RB,Jonathon Brooks (43727391),Jonathon Brooks,43727391,RB/FLEX,5000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0
,,,,,,,,,,,,,,QB,Anthony Richardson Sr. (43727256),Anthony Richardson Sr.,43727256,QB,4900,BAL@IND 09/13/2026 01:00PM ET,IND,1.08
,,,,,,,,,,,,,,TE,Tyler Warren (43728221),Tyler Warren,43728221,TE/FLEX,4900,BAL@IND 09/13/2026 01:00PM ET,IND,11.09
,,,,,,,,,,,,,,WR,Jayden Reed (43727695),Jayden Reed,43727695,WR/FLEX,4900,GB@MIN 09/13/2026 04:25PM ET,GB,8.02
,,,,,,,,,,,,,,RB,Tank Bigsby (43727397),Tank Bigsby,43727397,RB/FLEX,4900,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.26
,,,,,,,,,,,,,,RB,Alvin Kamara (43727393),Alvin Kamara,43727393,RB/FLEX,4900,NO@DET 09/13/2026 01:00PM ET,NO,9.34
,,,,,,,,,,,,,,RB,Tyler Allgeier (43727395),Tyler Allgeier,43727395,RB/FLEX,4900,ARI@LAC 09/13/2026 04:25PM ET,ARI,7.24
,,,,,,,,,,,,,,WR,Michael Pittman Jr. (43727697),Michael Pittman Jr.,43727697,WR/FLEX,4900,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.08
,,,,,,,,,,,,,,WR,Khalil Shakir (43727701),Khalil Shakir,43727701,WR/FLEX,4800,BUF@HOU 09/13/2026 01:00PM ET,BUF,11.39
,,,,,,,,,,,,,,RB,MarShawn Lloyd (43727399),MarShawn Lloyd,43727399,RB/FLEX,4800,GB@MIN 09/13/2026 04:25PM ET,GB,0
,,,,,,,,,,,,,,RB,Keaton Mitchell (43727401),Keaton Mitchell,43727401,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,4.26
,,,,,,,,,,,,,,RB,Kimani Vidal (43727403),Kimani Vidal,43727403,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,9.57
,,,,,,,,,,,,,,RB,Nick Singleton (43727405),Nick Singleton,43727405,RB/FLEX,4800,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0
,,,,,,,,,,,,,,WR,Wan'Dale Robinson (43727699),Wan'Dale Robinson,43727699,WR/FLEX,4800,NYJ@TEN 09/13/2026 01:00PM ET,TEN,14.18
,,,,,,,,,,,,,,QB,Tua Tagovailoa (43727257),Tua Tagovailoa,43727257,QB,4800,ATL@PIT 09/13/2026 01:00PM ET,ATL,12.84
,,,,,,,,,,,,,,QB,Michael Penix Jr. (43727258),Michael Penix Jr.,43727258,QB,4800,ATL@PIT 09/13/2026 01:00PM ET,ATL,14.25
,,,,,,,,,,,,,,RB,Sean Tucker (43727411),Sean Tucker,43727411,RB/FLEX,4700,TB@CIN 09/13/2026 01:00PM ET,TB,5.55
,,,,,,,,,,,,,,WR,Matthew Golden (43727705),Matthew Golden,43727705,WR/FLEX,4700,GB@MIN 09/13/2026 04:25PM ET,GB,5.89
,,,,,,,,,,,,,,QB,Deshaun Watson (43727259),Deshaun Watson,43727259,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,0
,,,,,,,,,,,,,,QB,Shedeur Sanders (43727260),Shedeur Sanders,43727260,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.36
,,,,,,,,,,,,,,RB,Dylan Sampson (43727413),Dylan Sampson,43727413,RB/FLEX,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,5.91
,,,,,,,,,,,,,,WR,Quentin Johnston (43727703),Quentin Johnston,43727703,WR/FLEX,4700,ARI@LAC 09/13/2026 04:25PM ET,LAC,12.01
,,,,,,,,,,,,,,RB,Braelon Allen (43727409),Braelon Allen,43727409,RB/FLEX,4700,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,4.08
,,,,,,,,,,,,,,RB,Brian Robinson Jr. (43727407),Brian Robinson Jr.,43727407,RB/FLEX,4700,ATL@PIT 09/13/2026 01:00PM ET,ATL,3.38
,,,,,,,,,,,,,,TE,Kyle Pitts Sr. (43728223),Kyle Pitts Sr.,43728223,TE/FLEX,4700,ATL@PIT 09/13/2026 01:00PM ET,ATL,12.58
,,,,,,,,,,,,,,RB,Samaje Perine (43727419),Samaje Perine,43727419,RB/FLEX,4600,TB@CIN 09/13/2026 01:00PM ET,CIN,5.33
,,,,,,,,,,,,,,RB,Ray Davis (43727417),Ray Davis,43727417,RB/FLEX,4600,BUF@HOU 09/13/2026 01:00PM ET,BUF,3.76
,,,,,,,,,,,,,,TE,Dalton Kincaid (43728225),Dalton Kincaid,43728225,TE/FLEX,4600,BUF@HOU 09/13/2026 01:00PM ET,BUF,11.73
,,,,,,,,,,,,,,RB,Kaytron Allen (43727421),Kaytron Allen,43727421,RB/FLEX,4600,WAS@PHI 09/13/2026 04:25PM ET,WAS,0
,,,,,,,,,,,,,,WR,KC Concepcion (43727709),KC Concepcion,43727709,WR/FLEX,4600,CLE@JAX 09/13/2026 01:00PM ET,CLE,0
,,,,,,,,,,,,,,RB,Mike Washington Jr. (43727415),Mike Washington Jr.,43727415,RB/FLEX,4600,MIA@LV 09/13/2026 04:25PM ET,LV,0
,,,,,,,,,,,,,,QB,Geno Smith (43727261),Geno Smith,43727261,QB,4600,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,12.99
,,,,,,,,,,,,,,WR,Jalen Coker (43727707),Jalen Coker,43727707,WR/FLEX,4600,CHI@CAR 09/13/2026 01:00PM ET,CAR,10.23
,,,,,,,,,,,,,,RB,Jawhar Jordan (43727423),Jawhar Jordan,43727423,RB/FLEX,4500,BUF@HOU 09/13/2026 01:00PM ET,HOU,8.18
,,,,,,,,,,,,,,WR,Jayden Higgins (43727711),Jayden Higgins,43727711,WR/FLEX,4500,BUF@HOU 09/13/2026 01:00PM ET,HOU,7.80
,,,,,,,,,,,,,,QB,J.J. McCarthy (43727262),J.J. McCarthy,43727262,QB,4500,GB@MIN 09/13/2026 04:25PM ET,MIN,13.94
,,,,,,,,,,,,,,RB,Chris Brooks (43727431),Chris Brooks,43727431,RB/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,2.02
,,,,,,,,,,,,,,TE,Tucker Kraft (43728227),Tucker Kraft,43728227,TE/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,15.4
,,,,,,,,,,,,,,QB,Marcus Mariota (43727263),Marcus Mariota,43727263,QB,4500,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.32
,,,,,,,,,,,,,,RB,Jaylen Wright (43727425),Jaylen Wright,43727425,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,5.22
,,,,,,,,,,,,,,RB,Ollie Gordon II (43727427),Ollie Gordon II,43727427,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,3.18
,,,,,,,,,,,,,,WR,Calvin Ridley (43727713),Calvin Ridley,43727713,WR/FLEX,4500,NYJ@TEN 09/13/2026 01:00PM ET,TEN,7.19
,,,,,,,,,,,,,,RB,Trevor Etienne (43727429),Trevor Etienne,43727429,RB/FLEX,4500,CHI@CAR 09/13/2026 01:00PM ET,CAR,0.67
,,,,,,,,,,,,,,QB,Joe Flacco (43727264),Joe Flacco,43727264,QB,4400,TB@CIN 09/13/2026 01:00PM ET,CIN,12.74
,,,,,,,,,,,,,,WR,Jalen McMillan (43727717),Jalen McMillan,43727717,WR/FLEX,4400,TB@CIN 09/13/2026 01:00PM ET,TB,8.22
,,,,,,,,,,,,,,QB,Riley Leonard (43727265),Riley Leonard,43727265,QB,4400,BAL@IND 09/13/2026 01:00PM ET,IND,6.8
